Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florin Andone,ro ROU,FW,La Coruña,24,1993,29,16,1 636,18.févr,7,3,10,7,0,1,6,0,11.avr,10.juin,0.9,11.mai,41,11,144,0.39,0.17,0.55,0.39,0.55,0.63,0.05,0.68,0.58,0.63
Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,22,15,1 442,16.0,4,3,7,4,0,1,3,0,05.juil,04.sept,01.mai,06.avr,16,18,87,0.25,0.19,0.44,0.25,0.44,0.35,0.09,0.45,0.31,0.40
José Ángel,es ESP,DF,Eibar,27,1989,30,28,2 426,27.0,0,8,8,0,0,0,4,0,0.5,0.5,04.janv,04.juin,44,128,89,0.00,0.30,0.30,0.00,0.30,0.02,0.15,0.17,0.02,0.17
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,9,9,764,08.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vitorino Antunes,pt POR,DF,Getafe,30,1987,34,31,2 799,31.janv,0,2,2,0,0,1,14,0,01.juil,0.9,03.avr,04.mars,45,116,65,0.00,0.06,0.06,0.00,0.06,0.05,0.11,0.16,0.03,0.14
Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,21,15,1 297,14.avr,0,0,0,0,0,0,4,0,0.7,0.7,0.5,01.févr,8,80,12,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08
Mauro Arambarri,uy URU,MF,Getafe,21,1995,27,26,2 124,23.juin,1,1,2,1,0,0,9,1,01.juin,01.juin,01.sept,03.juin,12,76,15,0.04,0.04,0.08,0.04,0.08,0.07,0.08,0.15,0.07,0.15
Guilherme Arana,br BRA,DF,Sevilla,20,1997,3,2,193,02.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Araujo,ar ARG,MF FW,Las Palmas,25,1992,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Anaitz Arbilla,es ESP,DF,Eibar,30,1987,29,26,2 414,26.août,2,1,3,2,0,0,8,0,0.8,0.8,0.4,01.févr,34,158,2,0.07,0.04,0.11,0.07,0.11,0.03,0.01,0.04,0.03,0.04
José Arnaiz,es ESP,MF,Barcelona,22,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,11,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Sergio Arribas,es ESP,MF,Leganés,22,1995,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,2 7,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Aythami Artiles,es ESP,DF,Las Palmas,31,1986,3,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,23,2 07,23.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
