Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Dennis Appiah,fr FRA,DF MF,Nantes,30,1992,15,9,795,08.août,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15,39,51,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06
Stredair Appuah,fr FRA,DF MF,Nantes,18,2004,5,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,3,10,0.00,0.00,0.00,0.00,0.00,0.09,0.29,0.38,0.09,0.38
Taïryk Arconte,fr FRA,FW,Brest,18,2003,4,1,128,01.avr,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,1,8,0.00,0.00,0.00,0.00,0.00,0.19,0.10,0.29,0.19,0.29
Mohamed El Arouch,fr FRA,MF,Lyon,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lorenz Assignon,tg TOG,DF,Rennes,22,2000,12,2,261,02.sept,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,10,11,13,0.00,0.34,0.34,0.00,0.34,0.11,0.10,0.22,0.11,0.22
Youcef Atal,dz ALG,DF MF,Nice,26,1996,18,8,779,08.juil,1,0,1,1,0,0,1,0,1.0,1.0,01.mars,02.mars,38,39,63,0.12,0.00,0.12,0.12,0.12,0.12,0.15,0.27,0.12,0.27
Valentin Atangana Edoa,fr FRA,MF,Reims,16,2005,7,2,174,01.sept,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,5,6,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
Mathias Autret,fr FRA,MF FW,Auxerre,31,1991,23,16,1 29,14.mars,2,2,4,1,1,1,0,0,02.mai,01.juil,2.0,03.juil,20,77,58,0.14,0.14,0.28,0.07,0.21,0.17,0.14,0.31,0.12,0.26
Cédric Avinel,gp GLP,DF,Ajaccio,35,1986,24,19,1 794,19.sept,1,0,1,1,0,0,2,1,1.0,1.0,0.0,1.0,3,31,1,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05
Loïc Bade,fr FRA,DF,Rennes,22,2000,1,1,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,0,3,0,0.00,1.00,1.00,0.00,1.00,0.20,0.06,0.26,0.20,0.26
Benoît Badiashile,fr FRA,DF,Monaco,21,2001,11,9,839,09.mars,2,0,2,2,0,0,3,0,0.6,0.6,0.4,1.0,3,39,0,0.21,0.00,0.21,0.21,0.21,0.07,0.04,0.11,0.07,0.11
Eric Bailly,ci CIV,DF,Marseille,28,1994,17,5,543,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,12,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Dénys Bain,fr FRA,DF,Auxerre,29,1993,2,1,126,01.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brandon Baiye,be BEL,MF,Clermont Foot,21,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21
Cédric Bakambu,cd COD,MF,Marseille,31,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1,0,4,0.00,janv.53,janv.53,0.00,janv.53,0.00,janv.56,janv.56,0.00,janv.56
Thierno Balde,fr FRA,DF MF,Troyes,20,2002,31,25,2 153,23.sept,0,1,1,0,0,0,1,0,0.3,0.3,01.janv,01.avr,66,60,118,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06
Carlos Baleba,cm CMR,MF,Lille,18,2004,19,5,478,05.mars,0,0,0,0,0,0,3,1,0.5,0.5,0.1,0.6,16,33,12,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11
Leonardo Balerdi,ar ARG,DF,Marseille,23,1999,35,30,2 639,29.mars,0,1,1,0,0,0,9,1,01.mars,01.mars,0.2,01.avr,15,97,19,0.00,0.03,0.03,0.00,0.03,0.04,0.01,0.05,0.04,0.05
Folarin Balogun,us USA,FW,Reims,21,2001,37,34,2 999,33.3,21,2,23,15,6,7,5,0,26.juin,21.0,03.août,24.août,56,55,283,0.63,0.06,0.69,0.45,0.51,0.80,0.11,0.91,0.63,0.74
Abdoulaye Bamba,ci CIV,DF,Angers,32,1990,21,12,1 364,15.févr,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,8,36,19,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Jonathan Bamba,ci CIV,FW,Lille,26,1996,34,32,2 783,30.sept,6,7,13,6,0,0,6,0,08.févr,08.févr,06.mai,14.juil,111,146,345,0.19,0.23,0.42,0.19,0.42,0.27,0.21,0.47,0.27,0.47
Bradley Barcola,fr FRA,FW MF,Lyon,19,2002,26,15,1 44,16.0,5,8,13,5,0,0,3,0,03.avr,03.avr,03.sept,07.avr,51,39,156,0.31,0.50,0.81,0.31,0.81,0.22,0.25,0.46,0.22,0.46
Melvin Bard,fr FRA,DF,Nice,21,2000,33,28,2 456,27.mars,0,0,0,0,0,0,6,0,0.5,0.5,0.9,01.avr,61,96,126,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Ross Barkley,eng ENG,MF FW,Nice,28,1993,27,9,960,10.juil,4,2,6,4,0,0,1,0,04.mars,04.mars,02.avr,06.juil,30,48,46,0.37,0.19,0.56,0.37,0.56,0.42,0.23,0.65,0.42,0.65
Mickaël Barreto,fr FRA,MF,Ajaccio,31,1991,20,15,1 325,14.juil,1,1,2,1,0,0,1,0,0.9,0.9,01.sept,02.août,26,87,53,0.07,0.07,0.14,0.07,0.14,0.06,0.13,0.19,0.06,0.19
