Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Amadou Onana,19,Belgium,Defensive Midfield,3000000,Hamburger SV,13570000
Edon Zhegrova,22,Kosovo,Right Winger,2000000,FC Basel,7000000
Gabriel Gudmundsson,22,Sweden,Left-Back,1800000,FC Groningen,6000000
Achraf Hakimi,22,Morocco,Right-Back,60000000,Inter Milan,68000000
Danilo Pereira,29,Portugal,Centre-Back,20000000,FC Porto,16000000
Myron Boadu,20,Netherlands,Centre-Forward,14000000,AZ Alkmaar,17000000
Vanderson,20,Brazil,Right-Back,8500000,Grêmio,11000000
Jean Lucas,23,Brazil,Central Midfield,4500000,Olympique Lyon,11000000
Ismail Jakobs,21,Senegal,Left-Back,7000000,1.FC Köln,7300000
Romain Faivre,23,France,Attacking Midfield,15000000,Stade Brestois 29,15000000
Loïc Badé,21,France,Centre-Back,12000000,RC Lens,17000000
Kamaldeen Sulemana,19,Ghana,Left Winger,9000000,FC Nordsjaelland,17000000
Gaëtan Laborde,27,France,Centre-Forward,15000000,Montpellier HSC,15000000
Baptiste Santamaria,26,France,Defensive Midfield,15000000,SC Freiburg,14000000
Lovro Majer,23,Croatia,Attacking Midfield,13000000,Dinamo Zagreb,12000000
Kevin Danso,22,Austria,Centre-Back,5000000,FC Augsburg,8000000
Gaël Kakuta,30,DR Congo,Attacking Midfield,8000000,Amiens SC,5000000
Jean-Clair Todibo,21,France,Centre-Back,12000000,FC Barcelona,16500000
Calvin Stengs,22,Netherlands,Attacking Midfield,14000000,AZ Alkmaar,15000000
Andy Delort,29,Algeria,Centre-Forward,16000000,Montpellier HSC,10000000
Billal Brahimi,21,Algeria,Right Winger,1200000,Angers SCO,7000000
Pablo Rosario,24,Dominican Republic,Defensive Midfield,6000000,PSV Eindhoven,6000000
Mario Lemina,27,Gabon,Defensive Midfield,10000000,Southampton,5500000
Gerson,24,Brazil,Central Midfield,20000000,CR Flamengo,20500000
Pol Lirola,24,Spain,Right-Back,9000000,Fiorentina,13000000
Leonardo Balerdi,22,Argentina,Centre-Back,8000000,Borussia Dortmund,11000000
Jens Cajuste,22,Sweden,Defensive Midfield,5000000,FC Midtjylland,10000000
Metinho,18,DR Congo,Central Midfield,5000000,Fluminense,5000000
Alban Lafont,22,Cote d'Ivoire,Goalkeeper,10000000,Fiorentina,7500000
