Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Dušan Vlahović,22,Serbia,Centre-Forward,70000000,Fiorentina,83500000
Tammy Abraham,23,England,Centre-Forward,38000000,Chelsea,41000000
Nico González,23,Argentina,Left Winger,22000000,Stuttgart,27370000
Weston McKennie,22,USA,Central Midfield,25000000,FC Schalke 04,21900000
Eldor Shomurodov,26,Uzbekistan,Centre-Forward,7000000,Genoa,19600000
Arthur Cabral,23,Brazil,Centre-Forward,15000000,Basel,15500000
Jonathan Ikoné,23,France,Right Winger,22000000,Lille,15400000
Musa Barrow,22,Gambia,Left Winger,20000000,Atalanta,14340000
Sandro Tonali,21,Italy,Defensive Midfield,27000000,Brescia,14280000
Teun Koopmeiners,23,Netherlands,Attacking Midfield,16500000,AZ Alkmaar,14000000
Denis Zakaria,25,Switzerland,Defensive Midfield,27000000,Mönchengladbach,11350000
Yacine Adli,21,France,Attacking Midfield,9000000,G. Bordeaux,9000000
Hamed Traoré,21,Ivory Coast,Left Winger,20000000,FC Empoli,16000000
Ivan Ilić,20,Serbia,Central Midfield,8000000,Man City U23,7500000
Toma Bašić,24,Croatia,Central Midfield,9000000,G. Bordeaux,7100000
Kaio Jorge,19,Brazil,Centre-Forward,12000000,Santos,7000000
Kelvin Yeboah,21,Italy,Centre-Forward,4000000,Sturm Graz,6500000
Kevin Lasagna,28,Italy,Centre-Forward,6000000,Udinese,6500000
Éderson,22,Brazil,Central Midfield,5000000,Corinthians,6500000
Marko Arnautović,32,Austria,Centre-Forward,10000000,SH Port,6000000
Gianluca Busio,19,USA,Centre-Forward,6000000,Kansas City,6000000
Antonín Barák,26,Czech Republic,Attacking Midfield,14000000,Udinese,6000000
Thomas Henry,26,France,Centre-Forward,5000000,OH Leuven,5500000
Ernesto Torregrossa,29,Italy,Centre-Forward,5500000,Brescia,5500000
Antonino La Gumina,25,Italy,Centre-Forward,2000000,FC Empoli,5500000
