Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Brenden Aaronson,us USA,MF FW,Union Berlin,22,2000,30,14,1 267,14.janv,2,2,4,2,0,0,3,1,2.0,2.0,01.sept,03.août,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27
Paxten Aaronson,us USA,MF,Eint Frankfurt,19,2003,7,1,101,01.janv,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19
Junior Adamu,at AUT,FW MF,Freiburg,22,2001,15,0,105,01.févr,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.16,0.05,0.16
Sargis Adamyan,am ARM,FW MF,Köln,30,1993,20,8,801,08.sept,1,2,3,1,0,0,2,0,04.janv,04.janv,2.0,06.janv,15,18,42,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69
Karim Adeyemi,de GER,FW MF,Dortmund,21,2002,21,10,913,10.janv,3,1,4,3,0,0,6,1,03.mai,03.mai,2.0,05.mai,52,26,96,0.30,0.10,0.39,0.30,0.39,0.34,0.20,0.54,0.34,0.54
Amine Adli,ma MAR,MF FW,Leverkusen,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,03.mars,03.mars,02.mars,05.juin,32,39,131,0.40,0.60,1.00,0.40,1.00,0.33,0.23,0.56,0.33,0.56
Felix Agu,ng NGA,DF MF,Werder Bremen,23,1999,24,19,1 614,17.sept,0,0,0,0,0,0,2,0,0.9,0.9,0.6,01.mai,32,32,90,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08
Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,26,15,1 36,15.janv,2,0,2,2,0,2,4,0,05.mars,03.juil,1.0,04.juil,5,21,88,0.13,0.00,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,17,11,1 097,12.févr,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05
Faride Alidou,de GER,FW MF,Köln,22,2001,26,14,1 282,14.févr,4,0,4,4,0,0,4,0,3.0,3.0,0.6,03.juin,51,33,95,0.28,0.00,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26
Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,6,1,123,01.avr,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6,0.73,0.00,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27
Nadiem Amiri,de GER,MF,Mainz 05,26,1996,15,15,1 315,14.juin,1,4,5,1,0,1,5,0,02.févr,01.avr,04.mars,05.juil,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.30,0.45,0.10,0.39
