Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Ousmane Dembélé,20,France,Centre-Forward,33000000,Dortmund,148000000
Philippe Coutinho,25,Brazil,Attacking Midfield,90000000,Liverpool,135000000
Paulinho,29,Brazil,Central Midfield,15000000,GZ Evergrande,40000000
Diego Costa,29,Spain,Centre-Forward,50000000,Chelsea,60000000
Vitolo,27,Spain,Left Winger,25000000,Sevilla FC,35600000
Enes Ünal,20,Turkey,Centre-Forward,10000000,Man City,14000000
Emre Mor,20,Turkey,Right Winger,5000000,Dortmund,13000000
Pablo Fornals,21,Spain,Central Midfield,10000000,Málaga CF,12000000
Simone Zaza,26,Italy,Centre-Forward,15000000,Juventus,16000000
Luis Muriel,26,Colombia,Centre-Forward,17000000,Sampdoria,24500000
Éver Banega,29,Argentina,Central Midfield,16000000,Inter,7000000
Nolito,30,Spain,Left Winger,12000000,Man City,7000000
Marc Bartra,27,Spain,Centre-Back,15000000,Dortmund,10500000
Ryad Boudebouz,27,Algeria,Attacking Midfield,10000000,Montpellier,7000000
Víctor Camarasa,23,Spain,Central Midfield,5000000,Levante,7000000
Dani Ceballos,20,Spain,Central Midfield,10000000,Real Betis,16500000
