Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Abner,br BRA,DF,Betis,22,2000,13,7,607,06.juil,0,0,0,0,0,0,2,0,01.juil,01.juil,0.1,01.août,8,16,25,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27
Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,1 912,21.févr,3,2,5,3,0,0,10,3,01.févr,01.févr,04.mars,05.mai,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.20,0.26,0.05,0.26
Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,07.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,18,1 888,21.0,1,2,3,1,0,0,4,0,1.0,1.0,02.févr,03.févr,29,139,50,0.05,0.10,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15
Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,3 119,34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,01.janv,15,95,2,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03
Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,2 297,25.mai,1,0,1,1,0,0,5,0,01.mai,01.mai,2.0,03.mai,60,58,84,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paul Akouokou,ci CIV,MF DF,Betis,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,1 838,20.avr,1,3,4,1,0,0,3,0,0.8,0.8,01.janv,01.sept,16,67,60,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09
Ángel Alarcón,es ESP,FW MF,Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,2,223,02.mai,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Jordi Alba,es ESP,DF,Barcelona,33,1989,24,14,1 419,15.août,2,3,5,2,0,0,6,1,0.8,0.8,06.févr,7.0,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.40,0.44,0.05,0.44
Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,24,2 119,23.mai,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,12,100,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,22,2 043,22.juil,3,0,3,1,2,3,11,1,4.0,01.juin,01.mars,02.sept,30,105,20,0.13,0.00,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13
Omar Alderete,py PAR,DF,Getafe,25,1996,25,23,2 047,22.juil,1,1,2,1,0,0,9,0,0.6,0.6,0.8,01.avr,28,96,8,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06
Iván Alejo,es ESP,MF FW,Cádiz,27,1995,31,13,1 311,14.juin,0,1,1,0,0,0,13,1,01.févr,01.févr,02.avr,03.juin,52,16,103,0.00,0.07,0.07,0.00,0.07,0.08,0.17,0.25,0.08,0.25
Carles Aleñá,es ESP,MF FW,Getafe,24,1998,35,26,2 119,23.mai,2,2,4,2,0,0,12,1,02.mars,02.mars,01.juin,03.sept,24,87,78,0.08,0.08,0.17,0.08,0.17,0.10,0.07,0.17,0.10,0.17
Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
