Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,Club
Corentin Tolisso,22,France,Central Midfield,22000000,Olympique Lyon,41500000,Bayern Munich
Andriy Yarmolenko,27,Ukraine,Right Winger,18000000,Dynamo Kyiv,25000000,Borussia Dortmund
Jadon Sancho,17,England,Left Winger,5000000,Manchester City U18,20590000,Borussia Dortmund
Maximilian Philipp,23,Germany,Second Striker,15000000,SC Freiburg,20000000,Borussia Dortmund
Kingsley Coman,21,France,Left Winger,20000000,Juventus,21000000,Bayern Munich
Sandro Wagner,30,Germany,Centre-Forward,9000000,TSG Hoffenheim,13000000,Bayern Munich
Jean-Kévin Augustin,20,France,Centre-Forward,3000000,Paris Saint-Germain,16000000,RB Leipzig
Bruma,22,Portugal,Left Winger,11000000,Galatasaray,15000000,RB Leipzig
Jhon Córdoba,24,Colombia,Centre-Forward,7000000,1.FSV Mainz 05,17000000,1.FC Köln
Sébastien Haller,23,France,Centre-Forward,8000000,FC Utrecht,12000000,Eintracht Frankfurt
Yevgen Konoplyanka,27,Ukraine,Left Winger,10000000,Sevilla FC,12500000,FC Schalke 04
Amine Harit,20,Morocco,Attacking Midfield,2000000,FC Nantes,8000000,FC Schalke 04
Serge Gnabry,21,Germany,Second Striker,15000000,SV Werder Bremen,8000000,Bayern Munich
Milot Rashica,21,Kosovo,Right Winger,5000000,Vitesse Arnhem,8100000,SV Werder Bremen
Lucas Alario,24,Argentina,Centre-Forward,12000000,River Plate,19000000,Bayer Leverkusen
Landry Dimata,19,Belgium,Centre-Forward,6500000,KV Oostende,11500000,VfL Wolfsburg
Admir Mehmedi,26,Switzerland,Second Striker,3500000,Bayer Leverkusen,8000000,VfL Wolfsburg
Chadrac Akolo,22,DR Congo,Centre-Forward,2500000,FC Sion,6000000,VfB Stuttgart
Michael Gregoritsch,23,Austria,Centre-Forward,3500000,Hamburger SV,5500000,FC Augsburg
