Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Andrija Balić,hr CRO,MF,Udinese,18,1997,4,3,239,02.juil,1,0,1,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38
Norbert Balogh,hu HUN,FW,Palermo,20,1996,16,6,532,05.sept,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Éver Banega,ar ARG,MF,Inter,28,1988,28,20,1555,17.mars,6,6,12,6,0,0,4,1,0.35,0.35,0.69,0.35,0.69
Federico Barba,it ITA,DF,Empoli,22,1993,11,9,812,9.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Andrea Barberis,it ITA,MF,Crotone,22,1993,26,23,2059,22.sept,0,3,3,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13
Gabriel Barbosa,br BRA,FW MF,Inter,19,1996,9,0,120,01.mars,1,0,1,1,0,0,3,0,0.75,0.00,0.75,0.75,0.75
Nicolò Barella,it ITA,MF,Cagliari,19,1997,28,22,1908,21.févr,0,1,1,0,0,0,11,1,0.00,0.05,0.05,0.00,0.05
Antonio Barreca,it ITA,DF MF,Torino,21,1995,28,25,2362,26.févr,0,2,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08
Édgar Barreto,py PAR,MF,Sampdoria,32,1984,32,32,2679,29.août,2,0,2,2,0,0,4,1,0.07,0.00,0.07,0.07,0.07
Andrea Barzagli,it ITA,DF,Juventus,35,1981,23,17,1532,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Daniele Baselli,it ITA,MF,Torino,24,1992,37,28,2288,25.avr,6,5,11,6,0,0,6,0,0.24,0.20,0.43,0.24,0.43
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Dušan Basta,rs SRB,DF MF,Lazio,31,1984,27,24,212,23.juin,1,2,3,1,0,0,2,0,0.04,0.08,0.13,0.04,0.13
Samuel Bastien,cd COD,MF,Chievo,19,1996,12,8,799,08.sept,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11
Alessandro Bastoni,it ITA,DF,Atalanta,17,1999,3,1,155,01.juil,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bastos,ao ANG,DF,Lazio,25,1991,11,10,774,08.juin,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00
Andrea Beghetto,it ITA,DF MF,Genoa,21,1994,3,1,152,01.juil,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Giuseppe Bellusci,it ITA,DF,Empoli,26,1989,33,33,297,33.0,1,0,1,1,0,0,15,0,0.03,0.00,0.03,0.03,0.03
Andrea Belotti,it ITA,FW,Torino,22,1993,35,34,307,34.1,26,7,33,24,2,5,5,0,0.76,0.21,0.97,0.70,0.91
Ahmad Benali,ly LBY,FW MF,Pescara,24,1992,33,31,249,27.juil,6,2,8,6,0,0,6,1,0.22,0.07,0.29,0.22,0.29
Marco Benassi,it ITA,MF,Torino,21,1994,28,24,2044,22.juil,5,3,8,5,0,0,5,0,0.22,0.13,0.35,0.22,0.35
Medhi Benatia,ma MAR,DF,Juventus,29,1987,15,14,1179,13.janv,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08
Accursio Bentivegna,it ITA,FW,Palermo,20,1996,3,2,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Domenico Berardi,it ITA,FW MF,Sassuolo,21,1994,21,20,1732,19.févr,5,9,14,3,2,3,6,0,0.26,0.47,0.73,0.16,0.62
Bartosz Bereszyński,pl POL,DF FW,Sampdoria,24,1992,13,11,1051,11.juil,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
