Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,33,33,2889,32.1,3,0,3,3,0,0,4,1,01.sept,01.sept,0.3,02.févr,18,99,3,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07
Mehdi Abeid,dz ALG,MF,Nantes,27,1992,18,15,132,14.juil,0,0,0,0,0,0,5,0,1.0,1.0,0.8,01.août,32,65,16,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12
Laurent Abergel,fr FRA,MF,Lorient,27,1993,38,32,2963,32.9,3,1,4,3,0,0,5,0,01.mai,01.mai,01.juil,03.mars,32,138,35,0.09,0.03,0.12,0.09,0.12,0.05,0.05,0.10,0.05,0.10
Charles Abi,fr FRA,FWMF,Saint-Étienne,20,2000,24,9,912,10.janv,3,2,5,3,0,0,1,0,02.janv,02.janv,0.3,02.avr,13,21,48,0.30,0.20,0.49,0.30,0.49,0.21,0.03,0.24,0.21,0.24
Matthis Abline,fr FRA,FW,Rennes,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pape Abou Cissé,sn SEN,DF,Saint-Étienne,24,1995,14,14,126,14.0,0,0,0,0,0,0,1,0,01.avr,01.avr,0.1,01.mai,2,31,1,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11
Yacine Adli,fr FRA,MF,Bordeaux,20,2000,35,25,2418,26.sept,2,5,7,2,0,0,6,0,01.sept,01.sept,04.avr,06.mars,54,188,48,0.07,0.19,0.26,0.07,0.26,0.07,0.16,0.23,0.07,0.23
Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35,35,3147,35.0,3,1,4,3,0,0,6,0,03.févr,03.févr,0.7,4.0,14,136,2,0.09,0.03,0.11,0.09,0.11,0.09,0.02,0.11,0.09,0.11
Ruben Aguilar,fr FRA,DFMF,Monaco,27,1993,33,27,2225,24.juil,1,3,4,1,0,0,6,0,0.9,0.9,04.juil,05.juin,74,101,231,0.04,0.12,0.16,0.04,0.16,0.03,0.19,0.23,0.03,0.23
Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,20,10,899,10.0,2,0,2,2,0,0,0,0,01.avr,01.avr,0.2,01.mai,31,25,17,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26,1994,27,26,2146,23.août,2,2,4,2,0,0,9,0,02.mars,02.janv,01.mars,03.avr,26,92,25,0.08,0.08,0.17,0.08,0.17,0.10,0.05,0.15,0.09,0.14
Jean-Eudes Aholou,ci CIV,MF,Monaco,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Rayan Aït-Nouri,dz ALG,DF,Angers,19,2001,3,2,187,02.janv,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,7,11,18,0.00,0.48,0.48,0.00,0.48,0.03,0.13,0.16,0.03,0.16
Ludovic Ajorque,fr FRA,FW,Strasbourg,26,1994,35,34,2967,33.0,16,4,20,12,4,5,5,0,15.juil,11.août,03.sept,15.juil,33,61,224,0.49,0.12,0.61,0.36,0.49,0.48,0.12,0.60,0.36,0.48
Marley Aké,fr FRA,FW,Marseille,19,2001,9,0,146,01.juin,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,4,5,12,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64
Sofiane Alakouch,ma MAR,DF,Nîmes,22,1998,22,17,1505,16.juil,0,2,2,0,0,0,4,0,0.2,0.2,01.mars,01.mai,35,65,47,0.00,0.12,0.12,0.00,0.12,0.01,0.08,0.09,0.01,0.09
Mohamed Ali Cho,fr FRA,FWMF,Angers,16,2004,21,1,348,03.sept,0,0,0,0,0,0,1,0,01.sept,01.sept,0.1,2.0,15,4,26,0.00,0.00,0.00,0.00,0.00,0.49,0.02,0.51,0.49,0.51
Rachid Alioui,ma MAR,FW,Angers,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saturnin Allagbé,bj BEN,GK,Dijon,26,1993,12,12,108,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibrahim Amadou,fr FRA,MF,Angers,27,1993,24,20,1504,16.juil,0,0,0,0,0,0,6,0,01.mai,01.mai,0.2,01.juil,14,63,14,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
Romain Amalfitano,fr FRA,FWDF,Dijon,30,1989,2,1,116,01.mars,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,8,8,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Jordan Amavi,fr FRA,DF,Marseille,26,1994,13,10,813,9.0,1,0,1,1,0,0,3,1,0.2,0.2,0.3,0.5,17,25,33,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06
Thierry Ambrose,gp GLP,FW,Metz,23,1997,23,5,753,08.avr,0,1,1,0,0,0,4,0,1.0,1.0,01.avr,02.avr,26,30,77,0.00,0.12,0.12,0.00,0.12,0.12,0.16,0.29,0.12,0.29
Joachim Andersen,dk DEN,DF,Lyon,24,1996,3,2,192,02.janv,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,12,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Benjamin André,fr FRA,MF,Lille,29,1990,35,35,2885,32.1,0,1,1,0,0,0,10,0,01.juin,01.juin,01.janv,02.juil,28,200,64,0.00,0.03,0.03,0.00,0.03,0.05,0.03,0.08,0.05,0.08
Victorien Angban,ci CIV,MF,Metz,23,1996,26,21,1672,18.juin,0,1,1,0,0,0,5,0,0.5,0.5,0.5,1.0,20,90,30,0.00,0.05,0.05,0.00,0.05,0.03,0.03,0.05,0.03,0.05
Houssem Aouar,dz ALG,MFFW,Lyon,22,1998,30,23,1781,19.août,7,3,10,5,2,2,3,1,09.sept,08.mars,4.0,12.mars,74,130,172,0.35,0.15,0.51,0.25,0.40,0.50,0.20,0.70,0.42,0.62
Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,18,2002,34,21,1731,19.févr,2,5,7,2,0,0,2,0,03.avr,03.avr,05.août,09.févr,56,87,92,0.10,0.26,0.36,0.10,0.36,0.17,0.30,0.48,0.17,0.48
Dennis Appiah,fr FRA,DF,Nantes,28,1992,22,16,1556,17.mars,0,2,2,0,0,0,3,0,0.3,0.3,01.févr,01.juin,34,77,80,0.00,0.12,0.12,0.00,0.12,0.02,0.07,0.09,0.02,0.09
Luiz Araújo,br BRA,MF,Lille,24,1996,28,17,1496,16.juin,4,2,6,4,0,0,5,0,03.juil,03.juil,2.0,05.juin,50,65,135,0.24,0.12,0.36,0.24,0.36,0.22,0.12,0.34,0.22,0.34
Karim Aribi,dz ALG,FW,Nîmes,26,1994,13,2,294,03.mars,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,4,2,19,0.00,0.00,0.00,0.00,0.00,0.24,0.04,0.27,0.24,0.27
Roger Assalé,ci CIV,FWMF,Dijon,26,1993,17,11,828,09.févr,1,1,2,1,0,0,0,1,01.févr,01.févr,0.2,01.avr,22,14,58,0.11,0.11,0.22,0.11,0.22,0.13,0.02,0.15,0.13,0.15
Youcef Atal,dz ALG,DFFW,Nice,24,1996,18,13,956,10.juin,1,0,1,1,0,0,1,0,0.4,0.4,0.8,01.mars,43,44,95,0.09,0.00,0.09,0.09,0.09,0.04,0.08,0.12,0.04,0.12
Jean-Kévin Augustin,fr FRA,FW,Nantes,23,1997,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ludovic Baal,gf GUF,DFMF,Brest,34,1986,7,3,296,03.mars,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,8,24,7,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
Loïc Bade,fr FRA,DF,Lens,20,2000,31,29,261,29.0,0,0,0,0,0,0,11,1,1.0,1.0,0.3,01.mars,42,113,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
Benoît Badiashile,fr FRA,DF,Monaco,19,2001,35,32,287,31.9,2,1,3,2,0,0,5,0,02.mars,02.mars,01.févr,03.mai,17,170,6,0.06,0.03,0.09,0.06,0.09,0.07,0.04,0.11,0.07,0.11
Stéphane Bahoken,cm CMR,FW,Angers,28,1992,30,18,1616,18.0,6,2,8,6,0,1,4,0,08.mars,07.mai,1.0,08.mai,34,22,110,0.33,0.11,0.45,0.33,0.45,0.46,0.06,0.52,0.42,0.48
Stefan Bajic,fr FRA,GK,Saint-Étienne,18,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mitchel Bakker,nl NED,DF,Paris S-G,20,2000,26,18,1694,18.août,0,2,2,0,0,0,1,0,0.3,0.3,01.sept,02.janv,31,77,180,0.00,0.11,0.11,0.00,0.11,0.01,0.10,0.11,0.01,0.11
Dilane Bakwa,fr FRA,FWMF,Bordeaux,17,2002,7,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,6,2,0.00,0.00,0.00,0.00,0.00,0.22,0.05,0.27,0.22,0.27
Leonardo Balerdi,ar ARG,DF,Marseille,21,1999,21,19,1634,18.févr,2,0,2,2,0,0,6,1,2.0,2.0,0.0,2.0,11,48,1,0.11,0.00,0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.11
Fodé Ballo-Touré,sn SEN,DF,Monaco,23,1997,24,6,662,07.avr,0,3,3,0,0,0,2,0,0.1,0.1,0.7,0.8,30,24,52,0.00,0.41,0.41,0.00,0.41,0.02,0.10,0.11,0.02,0.11
Abdoulaye Bamba,ci CIV,DF,Angers,30,1990,16,16,1347,15.0,0,0,0,0,0,0,2,0,0.1,0.1,01.avr,01.avr,19,53,60,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.00,0.10
Jonathan Bamba,ci CIV,MF,Lille,24,1996,38,34,2985,33.2,6,9,15,6,0,0,2,0,04.févr,04.févr,05.janv,09.mars,103,128,262,0.18,0.27,0.45,0.18,0.45,0.13,0.15,0.28,0.13,0.28
Robson Bambu,br BRA,DF,Nice,22,1997,15,12,1046,11.juin,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,10,21,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Simon Banza,cd COD,FW,Lens,23,1996,34,12,1372,15.févr,5,2,7,4,1,1,6,1,6.0,05.févr,02.janv,07.mars,17,34,115,0.33,0.13,0.46,0.26,0.39,0.39,0.14,0.53,0.34,0.48
Danilo Barbosa,br BRA,DF,Nice,24,1996,4,3,250,02.août,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,11,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Melvin Bard,fr FRA,DF,Lyon,19,2000,14,4,432,04.août,0,0,0,0,0,0,0,1,0.1,0.1,0.4,0.5,17,30,48,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Toma Bašić,hr CRO,MF,Bordeaux,23,1996,34,32,2601,28.sept,4,1,5,4,0,0,7,0,04.juin,04.juin,02.mai,7.0,31,111,76,0.14,0.03,0.17,0.14,0.17,0.16,0.09,0.24,0.16,0.24
Cristian Battocchio,it ITA,MF,Brest,28,1992,15,2,355,03.sept,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.8,5,20,6,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19
Paul Baysse,fr FRA,DF,Bordeaux,32,1988,31,29,2614,29.0,2,2,4,2,0,0,5,1,01.mai,01.mai,0.6,2.0,17,88,6,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07
Erwan Belhadji,fr FRA,MF,Dijon,19,2001,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,1,1,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18
Haris Belkebla,dz ALG,MF,Brest,26,1994,35,33,2727,30.mars,0,0,0,0,0,0,7,1,0.2,0.2,0.9,01.janv,21,127,32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03
Jean-Ricner Bellegarde,ht HAI,MFFW,Strasbourg,22,1998,36,25,2086,23.févr,1,1,2,1,0,0,3,0,02.janv,02.janv,02.mai,04.juin,64,68,97,0.04,0.04,0.09,0.04,0.09,0.09,0.11,0.20,0.09,0.20
Sami Ben Amar,ma MAR,MF,Nîmes,22,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hatem Ben Arfa,fr FRA,MFFW,Bordeaux,33,1987,24,19,1703,18.sept,2,4,6,2,0,0,2,0,02.mars,02.mars,03.août,06.janv,81,87,131,0.11,0.21,0.32,0.11,0.32,0.12,0.20,0.32,0.12,0.32
Salim Ben Seghir,fr FRA,DF,Nice,17,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
