Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
João Félix,19,Portugal,Second Striker,70000000,Benfica,127200000
Frenkie de Jong,22,Netherlands,Central Midfield,85000000,Ajax,86000000
Eden Hazard,28,Belgium,Left Wing,150000000,Chelsea,120800000
Antoine Griezmann,28,France,Second Striker,130000000,Atlético,120000000
Luka Jović,21,Serbia,Centre-Forward,60000000,Frankfurt,63000000
Pedri,16,Spain,Central Midfield,0,UD Las Palmas,23000000
Rodrygo,18,Brazil,Right Wing,40000000,Santos,45000000
Reinier,18,Brazil,Attacking Midfield,25000000,Flamengo,30000000
Martin Braithwaite,28,Denmark,Centre-Forward,10000000,CD Leganés,18000000
Raúl de Tomás,25,Spain,Centre-Forward,15000000,Benfica,22500000
Matías Vargas,22,Argentina,Left Wing,11000000,Vélez Sarsfield,10500000
Adrián Embarba,27,Spain,Right Wing,4000000,Rayo Vallecano,10000000
Paco Alcácer,26,Spain,Centre-Forward,42000000,Dortmund,25000000
Borja Iglesias,26,Spain,Centre-Forward,28000000,Espanyol,28000000
Nabil Fekir,26,France,Attacking Midfield,60000000,Lyon,19750000
Juanmi,26,Spain,Left Wing,8000000,Real Sociedad,8000000
Denis Suárez,25,Spain,Attacking Midfield,12000000,Barcelona,12900000
Alexander Isak,19,Sweden,Centre-Forward,8000000,Dortmund,15000000
Portugal,27,Portugal,Right Wing,10000000,Girona,10000000
