Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Gonçalo Guedes,21,Portugal,Left Wing,40000000,PSG,40000000
Vinicius Junior,18,Brazil,Left Wing,35000000,Flamengo,45000000
Thomas Lemar,22,France,Attacking Midfield,65000000,Monaco,72000000
Gerard Moreno,26,Spain,Centre-Forward,20000000,Espanyol,20000000
Karl Toko Ekambi,25,Cameroon,Centre-Forward,18000000,Angers SCO,18000000
Nikola Vukcevic,26,Montenegro,Defensive Midfield,7500000,Braga,8500000
Fran Beltrán,19,Spain,Central Midfield,2000000,Rayo Vallecano,8000000
Nemanja Maksimovic,23,Serbia,Central Midfield,5000000,Valencia,10000000
Youssef En-Nesyri,21,Morocco,Centre-Forward,6000000,Málaga CF,6000000
Borja Iglesias,25,Spain,Centre-Forward,1000000,Celta de Vigo,10000000
Raphael Dwamena,22,Ghana,Centre-Forward,6000000,FC Zurich,6200000
Sergi Darder,24,Spain,Central Midfield,11000000,Lyon,8000000
Nikola Kalinić,30,Croatia,Centre-Forward,14000000,AC Milan,14500000
Gelson Martins,23,Portugal,Right Wing,35000000,Sporting,22000000
Roger Martínez,24,Colombia,Centre-Forward,2500000,JS Suning,14900000
Santiago Cáseres,21,Argentina,Defensive Midfield,6000000,Vélez Sarsfield,10000000
Vicente Iborra,30,Spain,Defensive Midfield,9000000,Leicester,10000000
Quincy Promes,26,Netherlands,Left Wing,24000000,Spartak Moscow,21000000
Ibrahim Amadou,25,France,Defensive Midfield,3500000,Lille,14400000
Joris Gnagnon,21,France,Centre-Back,15000000,Stade Rennais,13500000
Aleix Vidal,28,Spain,Right Wing,7500000,Barcelona,9300000
William Carvalho,26,Portugal,Defensive Midfield,25000000,Sporting,18500000
Diego Lainez,18,Mexico,Right Wing,1500000,America,14000000
Malcolm,21,Brazil,Right Wing,45000000,G. Bordeaux,41000000
Arthur Melo,21,Brazil,Defensive Midfield,30000000,Grêmio,31000000
Arturo Vidal,31,Chile,Central Midfield,35000000,Bayern Munich,18000000
Yuri Berchiche,28,Spain,Left-back,17000000,PSG,24750000
