,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Paulo Azzi,br BRA,DF MF,Cagliari,29,1994,25,9,950,10.juin,0,0,0,0,0,0,1,0,01.févr,01.févr,0.7,01.sept,47,35,42,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18
Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,18,5,547,06.janv,2,2,4,2,0,0,4,0,0.5,0.5,0.6,1.0,4,19,8,0.33,0.33,0.66,0.33,0.66,0.08,0.09,0.17,0.08,0.17
Milan Badelj,hr CRO,MF,Genoa,34,1989,33,32,2535,28.févr,1,3,4,1,0,0,6,0,01.avr,01.avr,01.janv,02.mai,18,151,36,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09
Jaime Báez,uy URU,FW MF,Frosinone,28,1995,11,6,500,05.juin,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,12,29,39,0.18,0.00,0.18,0.18,0.18,0.08,0.10,0.18,0.08,0.18
Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nedim Bajrami,al ALB,MF FW,Sassuolo,24,1999,28,15,131,14.juin,2,2,4,2,0,0,0,0,02.mai,02.mai,02.févr,04.juil,51,49,70,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33
Mitchel Bakker,nl NED,DF,Atalanta,23,2000,14,3,382,04.févr,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,12,10,20,0.24,0.00,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08
Tommaso Baldanzi,it ITA,MF FW,Empoli,20,2003,14,8,745,08.mars,2,0,2,2,0,0,1,0,02.janv,02.janv,1.0,03.janv,20,30,40,0.24,0.00,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38
Tommaso Baldanzi,it ITA,FW MF,Roma,20,2003,13,6,518,05.août,0,0,0,0,0,0,2,0,0.9,0.9,0.7,01.mai,18,14,54,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27
