Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ignazio Abate,it ITA,DF,Milan,31,1986,19,15,1 302,14.mai,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,37,3 309,36.8,3,1,4,3,0,0,4,1,03.avr,03.avr,1.0,04.mars,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12
Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,19,1 51,16.août,2,0,2,2,0,0,4,0,01.avr,01.avr,0.8,02.févr,58,91,76,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13
Claud Adjapong,it ITA,MF FW,Sassuolo,20,1998,5,3,270,3.0,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,4,19,0.33,0.00,0.33,0.33,0.33,0.24,0.02,0.26,0.24,0.26
Ali Adnan Kadhim,iq IRQ,DF,Atalanta,24,1993,3,2,166,01.août,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,7,8,11,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,01.août,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Ola Aina,ng NGA,DF,Torino,21,1996,30,22,2 16,24.0,1,3,4,1,0,0,5,1,01.avr,01.avr,02.mai,4.0,62,97,96,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17
Luis Alberto,es ESP,MF FW,Lazio,25,1992,27,25,1 99,22.janv,4,5,9,3,1,1,5,1,04.févr,03.avr,05.sept,09.avr,100,200,132,0.18,0.23,0.41,0.14,0.36,0.19,0.27,0.46,0.16,0.42
Raúl Albiol,es ESP,DF,Napoli,32,1985,20,19,1 713,19.0,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,4,81,2,0.05,0.00,0.05,0.05,0.05,0.01,0.02,0.04,0.01,0.04
Allan,br BRA,MF,Napoli,27,1991,33,28,2 616,29.janv,1,3,4,1,0,0,10,0,1.0,1.0,02.mai,03.juin,49,236,45,0.03,0.10,0.14,0.03,0.14,0.03,0.09,0.12,0.03,0.12
Bruno Alves,pt POR,DF,Parma,36,1981,33,33,2 922,32.5,4,1,5,4,0,0,9,1,02.févr,02.févr,1.0,03.févr,4,72,5,0.12,0.03,0.15,0.12,0.15,0.07,0.03,0.10,0.07,0.10
Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32,32,2 88,32.0,0,1,1,0,0,0,7,0,1.0,1.0,0.7,01.juil,25,154,3,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05
Marco Andreolli,it ITA,DF,Cagliari,32,1986,3,1,106,01.févr,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Marco Andreolli,it ITA,DF,Chievo,32,1986,8,7,646,07.févr,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Cristian Ansaldi,ar ARG,DF MF,Torino,31,1986,24,23,1 807,20.janv,3,2,5,3,0,0,3,0,01.avr,01.avr,02.sept,04.mars,96,93,108,0.15,0.10,0.25,0.15,0.25,0.07,0.14,0.21,0.07,0.21
Mirco Antenucci,it ITA,FW,SPAL,33,1984,35,22,2 133,23.juil,5,0,5,4,1,2,0,0,06.juin,5.0,01.juin,06.mai,41,50,172,0.21,0.00,0.21,0.17,0.17,0.28,0.07,0.34,0.21,0.28
Luca Antonelli,it ITA,DF,Empoli,31,1987,13,10,755,08.avr,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,26,39,28,0.00,0.12,0.12,0.00,0.12,0.04,0.08,0.12,0.04,0.12
Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,19,19,1 682,18.juil,0,0,0,0,0,0,2,0,0.9,0.9,0.3,01.févr,9,36,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Nicolò Armini,it ITA,DF,Lazio,17,2001,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kwadwo Asamoah,gh GHA,DF,Inter,29,1988,32,30,2 671,29.juil,0,1,1,0,0,0,6,0,0.2,0.2,01.août,02.janv,90,189,153,0.00,0.03,0.03,0.00,0.03,0.01,0.06,0.07,0.01,0.07
Emil Audero,id IDN,GK,Sampdoria,21,1997,36,36,3 24,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,29,16,1 488,16.mai,7,2,9,5,2,2,0,0,07.juin,06.janv,0.9,06.sept,15,24,97,0.42,0.12,0.54,0.30,0.42,0.46,0.05,0.51,0.37,0.42
