Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Álvaro Morata,24,Spain,Centre-Forward,40000000,Real Madrid,66000000
Danny Drinkwater,27,England,Central Midfield,9000000,Leicester,37900000
Olivier Giroud,31,France,Centre-Forward,20000000,Arsenal,17000000
Ross Barkley,24,England,Central Midfield,25000000,Everton,16800000
Lucas Moura,25,Brazil,Right Wing,28000000,PSG,28400000
Fernando Llorente,32,Spain,Centre-Forward,6000000,Swansea,15100000
Bernardo Silva,22,Portugal,Attacking Midfield,40000000,Monaco,50000000
Jack Harrison,21,England,Left Wing,1750000,New York City,4000000
Olarenwaju Kayode,24,Nigeria,Centre-Forward,4000000,Austria Vienna,3800000
Luka Ilic,18,Serbia,Attacking Midfield,0,Red Star,2500000
Mohamed Salah,25,Egypt,Right Wing,35000000,Roma,42000000
Alex Oxlade-Chamberlain,24,England,Central Midfield,22000000,Arsenal,38000000
Pierre-Emerick Aubameyang,28,Gabon,Centre-Forward,65000000,Dortmund,63750000
Alexandre Lacazette,26,France,Centre-Forward,40000000,Lyon,53000000
Henrikh Mkhitaryan,29,Armenia,Central Midfield,35000000,Man Utd,34000000
Romelu Lukaku,24,Belgium,Centre-Forward,50000000,Everton,84700000
Alexis Sánchez,29,Chile,Centre-Forward,70000000,Arsenal,34000000
Gylfi Sigurdsson,27,Iceland,Attacking Midfield,25000000,Swansea,49400000
Theo Walcott,28,England,Right Wing,20000000,Arsenal,22500000
Cenk Tosun,26,Turkey,Centre-Forward,10500000,Beşiktaş,22500000
Nikola Vlašić,19,Croatia,Attacking Midfield,4000000,Hajduk Split,10800000
Henry Onyekuru,20,Nigeria,Left Wing,7000000,KAS Eupen,8000000
Sandro Ramírez,21,Spain,Centre-Forward,10000000,Málaga CF,6000000
Guido Carrillo,26,Argentina,Centre-Forward,6000000,Monaco,22000000
Oliver Burke,20,Scotland,Centre-Forward,7000000,Leipzig,15200000
Jay Rodriguez,27,England,Centre-Forward,10000000,Southampton,13700000
Yuning Zhang,20,China,Centre-Forward,700000, Vitesse,7200000
Marko Arnautović,28,Austria,Centre-Forward,15000000,Stoke City,22300000
Chicharito,29,Mexico,Centre-Forward,18000000,Leverkusen,17800000
Jordan Hugill,25,England,Centre-Forward,3000000,Preston,10200000
Sead Hakšabanović,18,Montenegro,Left Wing,400000,Halmstads BK,3000000
Kelechi Iheanacho,20,Nigeria,Centre-Forward,15000000,Man City,27700000
Adrien Silva,28,Portugal,Central Midfield,25000000,Sporting,20500000
Fousseni Diabaté,22,Mali,Right Wing,0,G. Ajaccio,2000000
George Thomas,20,Wales,Attacking Midfield,250000,Coventry,0
Alexander Sørloth,22,Norway,Centre-Forward,2000000,Central Jutland,16000000
André Ayew,28,Ghana,Centre-Forward,18000000,West Ham,22800000
Sam Clucas,26,England,Central Midfield,2500000,Hull City,16300000
Wilfried Bony,28,Ivory Coast,Centre-Forward,18000000,Man City,13000000
Roque Mesa,28,Spain,Central Midfield,12000000,UD Las Palmas,12500000
Chris Wood,25,New Zealand,Centre-Forward,6000000,Leeds,16400000
Nahki Wells,27,Bermuda,Centre-Forward,5000000,Huddersfield,5400000
Jonathan Walters,33,Ireland,Right Wing,2500000,Stoke City,2300000
Aaron Lennon,30,England,Right Wing,5000000,Everton,1700000
Andre Gray,26,England,Centre-Forward,10000000,Burnley,20400000
Richarlison,20,Brazil,Centre-Forward,2000000,Fluminense,12400000
Tom Cleverley,27,England,Central Midfield,8000000,Everton,9300000
Will Hughes,22,England,Central Midfield,8000000,Derby,9100000
Dodi Lukebakio,20,Belgium,Right Wing,3000000,R Charleroi SC,5000000
Jacob Murphy,22,England,Right Wing,1000000,Norwich,11300000
Christian Atsu,25,Ghana,Left Wing,5000000,Chelsea,7500000
Joselu,27,Spain,Centre-Forward,3500000,Stoke City,5500000
José Izquierdo,25,Colombia,Left Wing,14000000,Club Brugge,18000000
Jürgen Locadia,24,Netherlands,Centre-Forward,8500000,PSV,17000000
Davy Pröpper,25,Netherlands,Central Midfield,10000000,PSV,13000000
Pascal Groß,26,Germany,Central Midfield,4000000,FC Ingolstadt,3000000
Viktor Gyökeres,19,Sweden,Centre-Forward,500000,Brommapojkarna,1000000
Soufyan Ahannach,21,Netherlands,Left Wing,300000,Almere City,600000
Steve Mounié,22,Benin,Centre-Forward,5500000,Montpellier,13000000
Alex Pritchard,24,England,Attacking Midfield,5000000,Norwich,12350000
Tom Ince,25,England,Right Wing,7000000,Derby,9100000
Laurent Depoitre,28,Belgium,Centre-Forward,3000000,Porto,3800000
Abdelhamid Sabiri,20,Germany,Attacking Midfield,400000,1.FC Nuremberg,1500000
Elias Kachunga,25,DR Congo,Centre-Forward,3500000,FC Ingolstadt,1300000
