Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Romelu Lukaku,26,Belgium,Centre-Forward,75000000,Man Utd,74000000
Rafael Leão,20,Portugal,Left Wing,15000000,Lille,49500000
Hirving Lozano,24,Mexico,Left Wing,40000000,PSV,50000000
Dejan Kulusevski,19,Sweden,Attacking Midfield,25000000,Atalanta,39000000
Franck Kessié,22,Ivory Coast,Central Midfield,33000000,Atalanta,32000000
Nicolás Domínguez,21,Argentina,Central Midfield,12500000,Vélez Sarsfield,10980000
Nahitan Nández,23,Uruguay,Central Midfield,18000000,Boca Juniors,16200000
Pedro,22,Brazil,Centre-Forward,18000000,Fluminense,11000000
Riccardo Orsolini,22,Italy,Right Wing,15000000,Juventus,15000000
Andrea Petagna,24,Italy,Centre-Forward,20000000,SPAL,12000000
Duván Zapata,28,Colombia,Centre-Forward,45000000,Sampdoria,12000000
Ruslan Malinovskyi,26,Ukraine,Attacking Midfield,12500000,Genk,13600000
Luis Muriel,28,Colombia,Centre-Forward,13000000,Sevilla FC,21200000
Andreas Skov Olsen,19,Denmark,Right Wing,8000000,Nordsjælland,6000000
Nicola Sansone,27,Italy,Left Wing,7500000,Villarreal,8000000
Roberto Soriano,28,Italy,Attacking Midfield,7000000,Villarreal,8000000
