Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Vitinha,22,Portugal,Centre-Forward,15000000,SC Braga,32000000
Amine Gouiri,22,Algeria,Centre-Forward,42000000,OGC Nice,28000000
Arnaud Kalimuendo,20,France,Centre-Forward,18000000,Paris Saint-Germain,20000000
Ibrahim Salah,21,Morocco,Left Winger,800000,KAA Gent,6500000
Sofiane Diop,22,Morocco,Left Winger,20000000,AS Monaco,22000000
Gaëtan Laborde,28,France,Centre-Forward,18000000,Stade Rennais FC,15000000
Loïs Openda,22,Belgium,Centre-Forward,7500000,Club Brugge,15390000
Adam Buksa,25,Poland,Centre-Forward,9000000,New England Revolution,6000000
Adrien Thomasson,29,France,Attacking Midfield,5000000,RC Strasbourg Alsace,3900000
Mohamed Bayo,24,Guinea,Centre-Forward,12000000,Clermont Foot 63,14000000
Amin Sarr,21,Sweden,Centre-Forward,3500000,SC Heerenveen,11000000
Jeffinho,23,Brazil,Left Winger,1500000,Botafogo,10000000
Junya Ito,29,Japan,Right Winger,7500000,KRC Genk,10000000
Jean-Victor Makengo,24,France,Central Midfield,7500000,Udinese,11000000
Bamba Dieng,22,Senegal,Centre-Forward,8000000,Olympique Marseille,7000000
Joel Mvuka,20,Norway,Right Winger,1300000,FK Bodø/Glimt,5500000
Savinho,18,Brazil,Left Winger,6000000,Atlético Mineiro,6500000
