Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aritz Aduriz,es ESP,FW MF,Athletic Club,38,1981,14,0,208,02.mars,1,0,1,1,0,1,3,0,01.juin,0.8,0.0,0.8,2,6,15,0.43,0.00,0.43,0.43,0.43,0.67,0.00,0.67,0.33,0.33
Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,23,20,1 805,20.janv,1,0,1,1,0,0,5,1,0.3,0.3,01.juin,01.sept,60,69,66,0.05,0.00,0.05,0.05,0.05,0.01,0.08,0.09,0.01,0.09
Martin Agirregabiria,es ESP,DF,Alavés,23,1996,31,23,2 099,23.mars,1,1,2,1,0,0,5,1,0.8,0.8,0.7,01.mai,26,56,49,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.07,0.03,0.07
Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,32,27,2 502,27.août,0,1,1,0,0,0,4,0,1.0,1.0,0.7,01.août,17,89,2,0.00,0.04,0.04,0.00,0.04,0.04,0.03,0.06,0.04,0.06
Jordi Alba,es ESP,DF,Barcelona,30,1989,27,25,2 187,24.mars,2,5,7,2,0,0,7,0,01.avr,01.avr,04.mars,05.juil,42,150,244,0.08,0.21,0.29,0.08,0.29,0.06,0.18,0.23,0.06,0.23
Raúl Albiol,es ESP,DF,Villarreal,33,1985,36,36,3 237,36.0,1,0,1,1,0,0,9,0,02.mars,02.mars,0.3,02.mai,11,118,4,0.03,0.00,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07
Paco Alcácer,es ESP,FW,Villarreal,25,1993,13,11,924,10.mars,4,1,5,4,0,0,1,0,03.juil,03.juil,01.avr,05.févr,13,15,50,0.39,0.10,0.49,0.39,0.49,0.36,0.14,0.50,0.36,0.50
Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,27,20,1 927,21.avr,2,2,4,2,0,0,10,0,01.sept,01.sept,1.0,02.sept,26,100,21,0.09,0.09,0.19,0.09,0.19,0.09,0.05,0.13,0.09,0.13
Álex Alegría,es ESP,FW,Mallorca,26,1992,6,0,109,01.févr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carles Aleñá,es ESP,MF,Barcelona,21,1998,4,2,172,01.sept,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,16,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Carles Aleñá,es ESP,MF FW,Betis,21,1998,17,7,735,08.févr,1,0,1,1,0,0,1,0,01.avr,01.avr,0.1,01.mai,15,50,25,0.12,0.00,0.12,0.12,0.12,0.17,0.01,0.19,0.17,0.19
Sergio Álvarez,es ESP,MF DF,Eibar,27,1992,18,14,1 147,12.juil,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.4,6,40,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2,2,180,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,32,32,2 81,31.2,0,0,0,0,0,0,2,0,01.mars,01.mars,0.8,02.janv,29,110,4,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,10,9,770,08.juin,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.8,9,20,10,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
Amath,sn SEN,MF,Getafe,23,1996,7,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,13,9,790,08.août,1,0,1,1,0,1,0,0,02.juin,01.août,0.6,02.avr,10,17,37,0.11,0.00,0.11,0.11,0.11,0.30,0.07,0.37,0.21,0.28
José Ángel,es ESP,DF,Eibar,29,1989,28,27,2 36,26.févr,1,1,2,1,0,0,4,0,0.8,0.8,02.août,03.juin,50,154,62,0.04,0.04,0.08,0.04,0.08,0.03,0.11,0.14,0.03,0.14
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13,13,1 17,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antoñito,es ESP,DF MF,Valladolid,31,1987,15,11,1 029,11.avr,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.0,22,30,45,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09
Vitorino Antunes,pt POR,MF,Getafe,32,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anuar,ma MAR,MF FW,Valladolid,24,1995,11,1,189,02.janv,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,10,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Mauro Arambarri,uy URU,MF,Getafe,23,1995,35,34,3 069,34.1,1,1,2,1,0,0,11,1,02.janv,02.janv,02.janv,04.févr,30,113,41,0.03,0.03,0.06,0.03,0.06,0.06,0.06,0.12,0.06,0.12
