Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,3 195,35.5,3,2,5,3,0,0,3,0,02.juin,02.juin,04.avr,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.20,0.07,0.20
Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,2 459,27.mars,21,8,29,19,2,2,4,0,18.janv,16.mai,5.0,21.mai,81,76,253,0.77,0.29,01.juin,0.70,0.99,0.66,0.18,0.85,0.60,0.79
Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,3 411,37.9,4,0,4,4,0,0,3,0,03.avr,03.avr,1.0,04.avr,20,98,25,0.11,0.00,0.11,0.11,0.11,0.09,0.03,0.11,0.09,0.11
Marc Albrighton,eng ENG,FW MF,Leicester City,28,1989,27,18,1 625,18.janv,2,2,4,2,0,0,3,0,01.févr,01.févr,02.sept,04.janv,54,64,172,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23
Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,2 922,32.5,0,0,0,0,0,0,3,0,01.janv,01.janv,0.6,01.août,25,161,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,2 462,27.avr,1,12,13,1,0,0,3,0,01.juin,01.juin,06.mars,07.sept,70,157,174,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29
Alisson,br BRA,GK,Liverpool,25,1992,38,38,3 42,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dele Alli,eng ENG,MF,Tottenham,22,1996,25,22,1 825,20.mars,5,3,8,5,0,0,4,0,04.août,04.août,03.janv,07.sept,48,111,153,0.25,0.15,0.39,0.25,0.39,0.23,0.15,0.39,0.23,0.39
Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,10,9,759,08.avr,0,0,0,0,0,0,0,0,01.mai,01.mai,0.6,02.janv,31,25,45,0.00,0.00,0.00,0.00,0.00,0.18,0.07,0.25,0.17,0.24
Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,2 759,30.juil,2,4,6,2,0,0,6,0,03.avr,03.avr,03.avr,06.août,102,146,230,0.07,0.13,0.20,0.07,0.20,0.11,0.11,0.22,0.11,0.22
Daniel Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,07.janv,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,8,34,8,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06
Luke Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Felipe Anderson,br BRA,MF FW,West Ham,25,1993,36,36,3 043,33.8,9,4,13,9,0,0,3,0,05.mai,05.mai,06.janv,11.mai,201,191,253,0.27,0.12,0.38,0.27,0.38,0.16,0.18,0.34,0.16,0.34
Florin Andone,ro ROU,FW,Brighton,25,1993,23,8,881,09.août,3,0,3,3,0,0,5,0,02.mai,02.mai,0.1,02.juin,13,4,62,0.31,0.00,0.31,0.31,0.31,0.25,0.01,0.26,0.25,0.26
