Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Riyad Mahrez,27,Algeria,Right Wing,50000000,Leicester,67800000
Daniel Arzani,19,Australia,Right Wing,1500000,Melbourne City,890000
Fred,25,Brazil,Central Midfield,32000000,Shakhtar D.,59000000
Xherdan Shaqiri,26,Switzerland,Attacking Midfield,18000000,Stoke City,14700000
Christian Pulisic,20,United States,Right Wing,50000000,Dortmund,64000000
Richarlison,21,Brazil,Centre-Forward,25000000,Watford,39200000
Bernard,25,Brazil,Left Wing,16000000,Shakhtar D.,0
James Maddison,21,England,Attacking Midfield,10000000,Norwich,25000000
Rachid Ghezzal,26,Algeria,Right Wing,4000000,Monaco,14000000
Miguel Almirón,24,Paraguay,Right Wing,15000000,Atlanta,24000000
Yoshinori Muto,26,Japan,Centre-Forward,6000000,Mainz,10700000
David Brooks,20,Wales,Right Wing,5000000,Sheff Utd,11300000
Felipe Anderson,25,Brazil,Right Wing,30000000,Lazio,38000000
Andriy Yarmolenko,28,Ukraine,Right Wing,23000000,Dortmund,20000000
Lucas Pérez,29,Spain,Centre-Forward,7500000,Arsenal,4400000
Gerard Deulofeu,24,Spain,Centre-Forward,14000000,Barcelona,13000000
Ken Sema,24,Sweden,Left Wing,1000000,Östersund,2250000
Filip Stuparevic,18,Serbia,Centre-Forward,700000,Voždovac,2250000
Alireza Jahanbakhsh,24,Iran,Right Wing,18000000,AZ Alkmaar,22500000
Alexis Mac Allister,20,Argentina,Central Midfield,5000000,Argentinos Jrs.,8000000
Florin Andone,25,Romania,Centre-Forward,6000000,Dep. La Coruña,6000000
Percy Tau,24,South Africa,Right Wing,2000000,Mamelodi Sundowns,3200000
Jan Mlakar,20,Slovenia,Left Wing,750000,NK Maribor,3000000
Anders Dreyer,20,Denmark,Right Wing,600000,Esbjerg fB,2200000
Billy Arce,20,Ecuador,Left Wing,1000000,Independiente del Valle,860000
Adama Diakhaby,22,France,Attacking Midfield,5000000,Monaco,10000000
Ramadan Sobhi,21,Egypt,Attacking Midfield,7000000,Stoke City,6500000
Juninho Bacuna,20,Curaçao,Central Midfield,1500000,FC Groningen,2500000
Karlan Grant,21,England,Centre-Forward,200000,Charlton,1700000
Mohamed Elyounoussi,23,Norway,Second Striker,8500000,Basel,18000000
Stuart Armstrong,26,Scotland,Central Midfield,2000000,Celtic,7950000
Adama Traoré,22,Spain,Right Wing,8000000,Middlesbrough,20000000
Diogo Jota,21,Portugal,Left Wing,12000000,Atlético Madrid,14000000
João Moutinho,31,Portugal,Central Midfield,10000000,Monaco,5600000
Léo Bonatini,24,Brazil,Centre-Forward,5000000,Al-Hilal,4000000
Josh Murphy,23,England,Left Wing,1500000,Norwich,11400000
Bobby De Cordova-Reid,25,Jamaica,Right Wing,3000000,Bristol City,11350000
Aleksandar Mitrović,23,Serbia,Centre-Forward,15000000,Newcastle,24700000
Ryan Babel,32,Netherlands,Left Wing,5000000,Beşiktaş,2000000
