Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,36,35,3 136,34.8,22,3,25,20,2,2,3,1,14.juil,13.févr,03.mars,16.mai,98,81,288,0.63,0.09,0.72,0.57,0.66,0.42,0.09,0.52,0.38,0.47
Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,31,2 7,30.0,1,5,6,1,0,0,4,1,0.5,0.5,03.avr,03.sept,66,93,205,0.03,0.17,0.20,0.03,0.20,0.02,0.11,0.13,0.02,0.13
Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,37,37,3 148,35.0,9,2,11,9,0,0,6,0,07.mai,07.mai,02.mai,10.0,77,60,184,0.26,0.06,0.31,0.26,0.31,0.21,0.07,0.29,0.21,0.29
César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,3 229,35.9,2,6,8,2,0,0,1,0,02.avr,02.avr,6.0,08.mai,59,193,226,0.06,0.17,0.22,0.06,0.22,0.07,0.17,0.24,0.07,0.24
Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,01.juil,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,04.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,12,10,18,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.20,0.01,0.20
Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,1 177,13.janv,1,0,1,1,0,0,2,0,01.mai,01.mai,0.5,2.0,8,35,2,0.08,0.00,0.08,0.08,0.08,0.12,0.03,0.15,0.12,0.15
George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,38,3 42,38.0,2,3,5,2,0,0,7,0,0.6,0.6,01.juil,02.avr,97,103,197,0.05,0.08,0.13,0.05,0.13,0.02,0.05,0.06,0.02,0.06
Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,21,1 89,21.0,0,1,1,0,0,0,6,0,0.3,0.3,01.avr,01.juil,23,70,27,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.08,0.02,0.08
Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1 103,12.mars,1,4,5,1,0,0,0,0,02.juil,02.juil,02.mars,05.janv,46,64,63,0.08,0.33,0.41,0.08,0.41,0.22,0.19,0.41,0.22,0.41
Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,17,1 352,15.0,6,0,6,5,1,1,4,0,06.févr,05.avr,0.3,05.juil,10,18,61,0.40,0.00,0.40,0.33,0.33,0.41,0.02,0.43,0.36,0.38
Harvey Barnes,eng ENG,MF FW,Leicester City,21,1997,36,24,2 083,23.janv,6,8,14,6,0,0,0,0,08.janv,08.janv,04.janv,12.févr,95,90,221,0.26,0.35,0.60,0.26,0.60,0.35,0.18,0.53,0.35,0.53
Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3 242,36.0,0,1,1,0,0,0,4,0,0.3,0.3,01.mars,01.juin,32,82,70,0.00,0.03,0.03,0.00,0.03,0.01,0.04,0.04,0.01,0.04
Borja Bastón,es ESP,MF FW,Aston Villa,26,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,02.juil,1,1,2,1,0,0,0,0,02.avr,02.avr,0.2,02.juin,8,1,22,0.38,0.38,0.75,0.38,0.75,0.92,0.06,0.98,0.92,0.98
Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,3 057,34.0,1,1,2,1,0,0,4,0,01.janv,01.janv,01.janv,02.févr,4,90,0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.07,0.03,0.07
Héctor Bellerín,es ESP,DF MF,Arsenal,24,1995,15,13,1 158,12.sept,1,0,1,1,0,0,2,0,0.4,0.4,0.4,0.8,34,58,70,0.08,0.00,0.08,0.08,0.08,0.03,0.03,0.06,0.03,0.06
Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,06.juil,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,03.juil,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,08.mars,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,2,19,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1 261,14.0,2,1,3,2,0,0,4,1,05.janv,05.janv,02.juin,07.juil,22,28,79,0.14,0.07,0.21,0.14,0.21,0.36,0.19,0.55,0.36,0.55
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,06.sept,1,1,2,1,0,0,0,0,0.6,0.6,1.0,01.juin,18,6,31,0.14,0.14,0.29,0.14,0.29,0.09,0.14,0.23,0.09,0.23
Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,10.mai,1,1,2,1,0,0,0,0,0.6,0.6,0.6,01.mars,18,52,35,0.10,0.10,0.19,0.10,0.19,0.06,0.06,0.12,0.06,0.12
Steven Bergwijn,nl NED,FW MF,Tottenham,21,1997,14,8,704,07.août,3,1,4,3,0,0,2,0,1.0,1.0,0.9,01.sept,24,12,50,0.38,0.13,0.51,0.38,0.51,0.13,0.11,0.25,0.13,0.25
Bernard,br BRA,MF FW,Everton,26,1992,27,15,1 28,14.févr,3,2,5,3,0,0,2,0,01.août,01.août,02.avr,04.janv,40,76,106,0.21,0.14,0.35,0.21,0.35,0.13,0.17,0.29,0.13,0.29
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Bernardo,br BRA,DF MF,Brighton,24,1995,14,7,679,07.mai,0,0,0,0,0,0,1,0,0.5,0.5,01.janv,01.juin,22,56,41,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21
Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2 742,30.mai,1,1,2,1,0,0,3,1,01.juil,01.juil,03.mars,05.janv,78,130,134,0.03,0.03,0.07,0.03,0.07,0.06,0.11,0.17,0.06,0.17
Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,02.août,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,3,11,0,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.08,0.06,0.08
Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,29,2 53,28.janv,1,1,2,1,0,0,8,0,2.0,2.0,01.juil,03.juin,29,100,59,0.04,0.04,0.07,0.04,0.07,0.07,0.06,0.13,0.07,0.13
Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,15,1 259,14.0,1,0,1,1,0,0,4,0,0.4,0.4,0.2,0.6,25,63,16,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
Willy Boly,ci CIV,DF,Wolves,28,1991,22,22,1 979,22.0,0,1,1,0,0,0,3,1,0.4,0.4,01.janv,01.mai,4,48,5,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07
Gaëtan Bong,cm CMR,DF MF,Brighton,31,1988,4,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,8,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34
Sofiane Boufal,ma MAR,MF FW,Southampton,25,1993,20,8,764,08.mai,0,2,2,0,0,0,2,0,1.0,1.0,02.sept,03.sept,48,41,67,0.00,0.24,0.24,0.00,0.24,0.12,0.34,0.46,0.12,0.46
Jarrod Bowen,eng ENG,FW MF,West Ham,22,1996,13,11,917,10.févr,1,4,5,1,0,0,0,0,02.mars,02.mars,02.juil,5.0,34,19,80,0.10,0.39,0.49,0.10,0.49,0.22,0.27,0.49,0.22,0.49
Robbie Brady,ie IRL,MF,Burnley,27,1992,17,5,454,5.0,1,2,3,1,0,0,1,0,01.janv,01.janv,0.4,01.mai,5,20,23,0.20,0.40,0.59,0.20,0.59,0.22,0.07,0.29,0.22,0.29
Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,03.mars,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
