Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Jordan Ayew;gh GHA;FW MF;Swansea City;24;1991;14;9;866;09.juin;1;2;3;1;0;0;1;0;0.10;0.21;0.31;0.10;0.31
César Azpilicueta;es ESP;DF MF;Chelsea;26;1989;38;38;3 42;38.0;1;4;5;1;0;0;4;0;0.03;0.11;0.13;0.03;0.13
Eric Bailly;ci CIV;DF;Manchester Utd;22;1994;25;24;2 058;22.sept;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00
Leighton Baines;eng ENG;DF;Everton;31;1984;32;32;2 819;31.mars;2;3;5;0;2;3;4;0;0.06;0.10;0.16;0.00;0.10
Patrick Bamford;eng ENG;FW MF;Middlesbrough;22;1993;8;2;287;03.févr;1;0;1;1;0;0;1;0;0.31;0.00;0.31;0.31;0.31
Patrick Bamford;eng ENG;FW MF;Burnley;22;1993;6;0;39;0.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Phil Bardsley;sct SCO;DF;Stoke City;31;1985;15;14;1 167;13.0;0;0;0;0;0;0;6;2;0.00;0.00;0.00;0.00;0.00
Ross Barkley;eng ENG;MF;Everton;22;1993;36;32;2 899;32.2;5;8;13;5;0;0;5;0;0.16;0.25;0.40;0.16;0.40
Ashley Barnes;eng ENG;FW MF;Burnley;26;1989;28;20;1 771;19.juil;6;2;8;4;2;2;8;2;0.30;0.10;0.41;0.20;0.30
Antonio Barragán;es ESP;DF MF;Middlesbrough;29;1987;26;26;2 193;24.avr;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00
Modou Barrow;gm GAM;FW MF;Swansea City;23;1992;18;12;1 145;12.juil;0;2;2;0;0;0;1;0;0.00;0.16;0.16;0.00;0.16
Gareth Barry;eng ENG;MF;Everton;35;1981;33;23;2 108;23.avr;2;1;3;2;0;0;10;0;0.09;0.04;0.13;0.09;0.13
Joey Barton;eng ENG;MF;Burnley;33;1982;14;12;1 105;12.mars;1;0;1;1;0;0;4;0;0.08;0.00;0.08;0.08;0.08
Borja Bastón;es ESP;FW;Swansea City;23;1992;18;4;561;06.févr;1;0;1;1;0;0;0;0;0.16;0.00;0.16;0.16;0.16
Michy Batshuayi;be BEL;FW;Chelsea;22;1993;20;1;254;02.août;5;1;6;5;0;0;0;0;janv.77;0.35;févr.13;janv.77;févr.13
Asmir Begović;ba BIH;GK;Chelsea;29;1987;2;2;180;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Valon Behrami;ch SUI;DF MF;Watford;31;1985;27;26;2 03;22.juin;0;2;2;0;0;0;7;0;0.00;0.09;0.09;0.00;0.09
Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Héctor Bellerín;es ESP;DF MF;Arsenal;21;1995;33;27;2 503;27.août;1;4;5;1;0;0;4;0;0.04;0.14;0.18;0.04;0.18
Yohan Benalouane;tn TUN;DF;Leicester City;29;1987;11;11;917;10.févr;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00
Christian Benteke;be BEL;FW;Crystal Palace;25;1990;36;36;3 131;34.8;15;2;17;13;2;4;10;0;0.43;0.06;0.49;0.37;0.43
Jonathan Benteke;be BEL;FW;Crystal Palace;21;1995;1;0;7;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Saido Berahino;bi BDI;FW MF;Stoke City;22;1993;13;8;720;8.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Saido Berahino;bi BDI;FW MF;West Brom;22;1993;4;3;243;02.juil;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Jóhann Berg Guðmundsson;is ISL;FW MF;Burnley;25;1990;20;10;998;11.janv;1;2;3;1;0;0;1;0;0.09;0.18;0.27;0.09;0.27
Ryan Bertrand;eng ENG;DF MF;Southampton;26;1989;28;28;2 507;27.sept;2;3;5;2;0;0;3;0;0.07;0.11;0.18;0.07;0.18
Mame Biram Diouf;sn SEN;FW MF;Stoke City;28;1987;27;15;1 385;15.avr;1;2;3;1;0;0;3;0;0.06;0.13;0.19;0.06;0.19
Daley Blind;nl NED;DF MF;Manchester Utd;26;1990;23;20;1 83;20.mars;1;2;3;1;0;0;2;0;0.05;0.10;0.15;0.05;0.15
Yannick Bolasie;cd COD;FW MF;Crystal Palace;27;1989;1;0;25;0.3;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Yannick Bolasie;cd COD;FW MF;Everton;27;1989;13;12;1 023;11.avr;1;4;5;1;0;0;2;0;0.09;0.35;0.44;0.09;0.44
Wilfried Bony;ci CIV;FW;Stoke City;27;1988;10;9;684;07.juin;2;0;2;2;0;0;1;0;0.26;0.00;0.26;0.26;0.26
Fabio Borini;it ITA;FW MF;Sunderland;25;1991;24;19;1 741;19.mars;2;0;2;2;0;0;5;0;0.10;0.00;0.10;0.10;0.10
Artur Boruc;pl POL;GK;Bournemouth;36;1980;35;35;3 15;35.0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00
Sofiane Boufal;ma MAR;FW MF;Southampton;22;1993;24;12;1 104;12.mars;1;1;2;1;0;0;5;0;0.08;0.08;0.16;0.08;0.16
Jarrod Bowen;eng ENG;FW MF;Hull City;19;1996;7;1;181;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
George Boyd;sct SCO;FW MF;Burnley;30;1985;36;33;2 836;31.mai;2;1;3;2;0;0;3;0;0.06;0.03;0.10;0.06;0.10
Robbie Brady;ie IRL;DF FW;Burnley;24;1992;14;7;719;8.0;1;2;3;1;0;0;1;0;0.13;0.25;0.38;0.13;0.38
Claudio Bravo;cl CHI;GK;Manchester City;33;1983;22;22;1 968;21.sept;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
