Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Kai Havertz,21,Germany,Centre-Forward,81000000,Leverkusen,100000000
Timo Werner,24,Germany,Left Wing,64000000,Leipzig,53000000
Diogo Jota,23,Portugal,Left Wing,28000000,Wolves,44700000
Fábio Silva,18,Portugal,Centre-Forward,12000000,Porto,40000000
Donny van de Beek,23,Netherlands,Central Midfield,44000000,Ajax,39000000
Ollie Watkins,24,England,Centre-Forward,12000000,Brentford,34000000
Ferran Torres,20,Spain,Centre-Forward,45000000,Valencia,33500000
Rodrigo,29,Spain,Centre-Forward,40000000,Valencia,30000000
Rhian Brewster,20,England,Centre-Forward,5400000,Liverpool U23,26000000
Saïd Benrahma,25,Algeria,Left Wing,22000000,Brentford,23100000
Callum Wilson,28,England,Centre-Forward,20000000,Bournemouth,22250000
Amad Diallo,18,Ivory Coast,Right Wing,15000000,Atalanta,21300000
Raphinha,23,Brazil,Left Wing,16000000,Stade Rennais,18600000
Bertrand Traoré,25,Burkina Faso,Right Wing,9500000,Lyon,18400000
Eberechi Eze,22,England,Attacking Midfield,9000000,QPR,17800000
Helder Costa,26,Portugal,Right Wing,8000000,Wolves,17700000
Karlan Grant,23,England,Centre-Forward,8000000,Huddersfield,16500000
Morgan Sanson,26,France,Central Midfield,20000000,Marseille,15800000
Grady Diangana,22,DR Congo,Right Wing,4500000,West Ham,13500000
Facundo Pellistri,18,Uruguay,Right Wing,1800000,Peñarol,8650000
Matheus Pereira,24,Brazil,Attacking Midfield,9500000,Sporting,8250000
Nahuel Bustos,22,Argentina,Centre-Forward,6700000,CA Talleres,6500000
Oliver Burke,23,Scotland,Centre-Forward,4800000,West Brom,6500000
