Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,Club
Leroy Sané,24,Germany,Right Winger,80000000,Manchester City,49000000,Bayern Munich
Dominik Szoboszlai,20,Hungary,Attacking Midfield,25000000,Red Bull Salzburg,36000000,RB Leipzig
Jude Bellingham,17,England,Attacking Midfield,11000000,Birmingham City,30150000,Borussia Dortmund
Patrik Schick,24,Czech Republic,Centre-Forward,25000000,AS Roma,26500000,Bayer Leverkusen
Alexander Sørloth,24,Norway,Centre-Forward,20000000,Crystal Palace,20000000,RB Leipzig
Jhon Córdoba,27,Colombia,Centre-Forward,12000000,1.FC Köln,15000000,Hertha BSC
Hee-chan Hwang,24,South Korea,Centre-Forward,10000000,Red Bull Salzburg,12000000,RB Leipzig
Leonardo Bittencourt,26,Germany,Central Midfield,4800000,TSG Hoffenheim,7000000,SV Werder Bremen
Sebastian Andersson,29,Sweden,Centre-Forward,7000000,1.FC Union Berlin,6500000,1.FC Köln
Ondrej Duda,25,Slovakia,Central Midfield,7000000,Hertha BSC,7000000,1.FC Köln
Bartosz Bialek,18,Poland,Centre-Forward,3000000,Zagłębie Lubin,5000000,VfL Wolfsburg
