Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,06.févr,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,10,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,26,2 26,25.janv,1,3,4,1,0,0,10,0,01.févr,01.févr,02.sept,04.janv,73,131,153,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16
Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,17,1 616,18.0,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05
Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,01.juil,1,0,1,1,0,0,0,0,1.0,1.0,0.1,01.janv,4,3,13,0.60,0.00,0.60,0.60,0.60,0.61,0.07,0.68,0.61,0.68
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2 637,29.mars,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25,110,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1 844,20.mai,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,2,2,124,01.avr,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0.00,0.00,0.00,0.00,0.00,0.11,0.43,0.54,0.11,0.54
Paul Akouokou,ci CIV,MF,Betis,23,1997,8,6,516,05.juil,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,3,30,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,2 642,29.avr,2,3,5,2,0,0,2,0,01.juin,01.juin,02.févr,03.août,40,154,76,0.07,0.10,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13
Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,1 425,15.août,0,1,1,0,0,0,5,0,01.janv,01.janv,01.janv,02.févr,6,55,13,0.00,0.06,0.06,0.00,0.06,0.07,0.07,0.14,0.07,0.14
Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2 644,29.avr,2,10,12,2,0,0,11,0,01.mai,01.mai,07.janv,08.juil,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29
Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2 465,27.avr,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11,90,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,08.juil,1,3,4,1,0,0,1,0,03.sept,03.sept,01.juin,05.mai,4,10,45,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63
Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1 105,12.mars,2,0,2,2,0,0,7,0,01.mars,01.mars,0.9,02.mars,26,87,21,0.16,0.00,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18
Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2 403,26.juil,2,0,2,2,0,0,15,0,0.8,0.8,0.1,1.0,17,89,3,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
Iván Alejo,es ESP,MF FW,Cádiz,26,1995,20,11,1 065,11.août,2,2,4,2,0,0,7,0,01.avr,01.avr,01.août,03.févr,63,25,88,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27
Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2 32,25.août,1,2,3,1,0,0,6,1,01.août,01.août,01.mars,03.janv,33,81,65,0.04,0.08,0.12,0.04,0.12,0.07,0.05,0.12,0.07,0.12
Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,janv.39,0.00,janv.39,janv.39,janv.39
Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1 86,20.juil,0,0,0,0,0,0,6,0,0.5,0.5,0.1,0.6,16,64,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1 098,12.févr,1,3,4,1,0,0,2,1,0.3,0.3,02.mars,02.mai,33,72,25,0.08,0.25,0.33,0.08,0.33,0.02,0.19,0.21,0.02,0.21
Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,4,6,0.00,janv.14,janv.14,0.00,janv.14,0.03,0.10,0.13,0.03,0.13
Amath,sn SEN,FW MF,Mallorca,25,1996,19,9,884,09.août,0,1,1,0,0,0,5,0,01.avr,01.avr,0.9,02.mars,18,19,58,0.00,0.10,0.10,0.00,0.10,0.14,0.10,0.23,0.14,0.23
Florin Andone,ro ROU,FW,Cádiz,28,1993,5,1,176,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,2,11,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.16,0.12,0.16
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Marcos André,br BRA,FW MF,Valencia,24,1996,29,8,973,10.août,1,3,4,1,0,0,3,0,3.0,3.0,02.juin,05.juin,19,20,62,0.09,0.28,0.37,0.09,0.37,0.28,0.24,0.52,0.28,0.52
José Ángel,es ESP,DF,Osasuna,31,1989,23,12,1 083,12.0,1,1,2,1,0,0,2,1,0.2,0.2,01.mai,01.juil,22,98,35,0.08,0.08,0.17,0.08,0.17,0.02,0.13,0.14,0.02,0.14
Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,31,2 663,29.juin,0,5,5,0,0,0,13,0,01.févr,01.févr,02.févr,03.mars,32,79,47,0.00,0.17,0.17,0.00,0.17,0.04,0.07,0.11,0.04,0.11
Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,29,2 617,29.janv,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,47,83,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,2 272,25.févr,4,0,4,4,0,0,6,0,01.mai,01.mai,01.févr,02.août,30,91,14,0.16,0.00,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11
Jesús Areso,es ESP,DF,Osasuna,22,1999,3,2,188,02.janv,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Matias Arezo,uy URU,FW MF,Granada,18,2002,8,1,162,01.août,0,0,0,0,0,0,1,0,1.0,1.0,0.3,01.mars,4,3,14,0.00,0.00,0.00,0.00,0.00,0.56,0.17,0.73,0.56,0.73
Santiago Arias,co COL,DF,Granada,29,1992,12,4,440,04.sept,1,0,1,1,0,0,1,0,0.7,0.7,0.4,01.févr,5,11,21,0.20,0.00,0.20,0.20,0.20,0.15,0.09,0.24,0.15,0.24
Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,14,5,469,05.févr,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,9,3,23,0.19,0.00,0.19,0.19,0.19,0.04,0.01,0.05,0.04,0.05
Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.22,0.17,0.38,0.22,0.38
Marco Asensio,es ESP,FW MF,Real Madrid,25,1996,31,19,1 731,19.févr,10,0,10,10,0,0,2,0,07.mai,07.mai,02.avr,09.sept,56,80,143,0.52,0.00,0.52,0.52,0.52,0.39,0.13,0.52,0.39,0.52
Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,3 087,34.3,18,5,23,15,3,5,9,0,14.janv,10.févr,05.sept,16.janv,112,108,296,0.52,0.15,0.67,0.44,0.58,0.41,0.17,0.58,0.30,0.47
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1 082,12.0,11,1,12,11,0,0,0,0,07.août,07.août,01.janv,08.sept,16,16,79,0.91,0.08,1.00,0.91,1.00,0.65,0.09,0.74,0.65,0.74
Ludwig Augustinsson,se SWE,DF FW,Sevilla,27,1994,19,9,793,08.août,0,1,1,0,0,0,3,0,0.4,0.4,0.8,01.févr,12,19,46,0.00,0.11,0.11,0.00,0.11,0.04,0.09,0.13,0.04,0.13
Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,1 01,11.févr,0,1,1,0,0,0,4,0,0.8,0.8,01.avr,02.mars,21,59,53,0.00,0.09,0.09,0.00,0.09,0.07,0.13,0.20,0.07,0.20
Ezequiel Ávila,ar ARG,FW MF,Osasuna,27,1994,36,22,1 87,20.août,6,1,7,5,1,1,9,1,04.mars,03.mai,01.juin,05.févr,32,47,117,0.29,0.05,0.34,0.24,0.29,0.21,0.08,0.29,0.17,0.25
Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,1 934,21.mai,1,0,1,1,0,0,9,0,01.avr,01.avr,0.6,2.0,14,73,6,0.05,0.00,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09
Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,05.juil,0,1,1,0,0,0,3,0,0.9,0.9,01.mars,02.févr,7,10,20,0.00,0.18,0.18,0.00,0.18,0.15,0.23,0.38,0.15,0.38
Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2 16,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alejandro Balde,es ESP,DF FW,Barcelona,17,2003,5,2,188,02.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,7,23,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,03.janv,1,0,1,1,0,0,2,0,01.févr,01.févr,0.1,01.mars,6,8,10,0.32,0.00,0.32,0.32,0.32,0.39,0.03,0.42,0.39,0.42
Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,2 027,22.mai,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,29,68,66,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
