Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Jude Bellingham,20,England,Attacking Midfield,120000000,Dortmund,127000000
Arda Güler,18,Turkey,Attacking Midfield,15000000,Fenerbahçe,26000000
Vitor Roque,18,Brazil,Centre-Forward,40000000,Athletico-PR,30000000
Antoine Griezmann,32,France,Second Striker,25000000,Barcelona,22000000
Anastasios Douvikas,24,Greece,Centre-Forward,9000000,Utrecht,12000000
Luis Suárez,25,Colombia,Centre-Forward,8000000,Marseille,8000000
Pablo Fornals,27,Spain,Central Midfield,17000000,West Ham,8000000
Sergi Darder,29,Spain,Central Midfield,16000000,Espanyol,8000000
Artem Dovbyk,26,Ukraine,Centre-Forward,15000000,SC Dnipro-1,7750000
Cycle Larin,28,Canada,Centre-Forward,8000000,Real Valladolid,7500000
Abde Ezzalzouli,21,Morocco,Left Wing,15000000,Barcelona,7500000
Ibrahima Koné,24,Mali,Centre-Forward,4000000,FC Lorient,7500000
Raúl García,22,Spain,Centre-Forward,4000000,Real Betis,6500000
Johnny Cardoso,22,United States,Central Midfield,6000000,Internacional,6000000
Sergio Arribas,21,Spain,Attacking Midfield,5000000,RM Castilla,6000000
Samu Aghehowa,19,Nigeria,Centre-Forward,200000,Granada CF,6000000
Jhon Solís,18,Colombia,Central Midfield,700000,Atl. Nacional,6000000
Cédric Bakambu,32,DR Congo,Centre-Forward,2800000,Galatasaray,5000000
Yangel Herrera,25,Venezuela,Central Midfield,5000000,Man City,5000000
Sergio Camello,22,Spain,Centre-Forward,10000000,Atlético,5000000
