Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Mehmet Aydin,de GER,DF,Schalke 04,18,2002,6,6,500,05.juin,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6,7,10,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Leon Bailey,jm JAM,FW MF,Leverkusen,22,1997,30,25,2 141,23.août,9,8,17,9,0,0,6,0,06.févr,06.févr,6.0,12.févr,112,63,254,0.38,0.34,0.71,0.38,0.71,0.26,0.25,0.51,0.26,0.51
Ridle Baku,de GER,FW DF,Wolfsburg,22,1998,32,31,2 678,29.août,6,7,13,6,0,0,1,0,03.avr,03.avr,04.janv,07.juin,69,104,243,0.20,0.24,0.44,0.20,0.44,0.12,0.14,0.25,0.12,0.25
Ridle Baku,de GER,DF,Mainz 05,22,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,11,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aymen Barkok,ma MAR,MF DF,Eint Frankfurt,22,1998,26,9,977,10.sept,2,3,5,2,0,0,5,0,01.sept,01.sept,03.févr,5.0,30,46,76,0.18,0.28,0.46,0.18,0.46,0.17,0.29,0.47,0.17,0.47
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,29,27,2 303,25.juin,2,2,4,2,0,0,5,0,04.mai,04.mai,02.juil,07.janv,11,76,42,0.08,0.08,0.16,0.08,0.16,0.17,0.10,0.28,0.17,0.28
Jacob Barrett Laursen,dk DEN,DF,Arminia,25,1994,16,13,1 108,12.mars,0,1,1,0,0,0,1,0,0.1,0.1,01.janv,01.févr,13,30,20,0.00,0.08,0.08,0.00,0.08,0.01,0.09,0.10,0.01,0.10
Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31,31,2 79,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julian Baumgartlinger,at AUT,MF,Leverkusen,32,1988,17,12,1 072,11.sept,2,0,2,2,0,0,1,0,1.0,1.0,0.2,01.févr,3,51,8,0.17,0.00,0.17,0.17,0.17,0.08,0.01,0.10,0.08,0.10
Christoph Baumgartner,at AUT,MF FW,Hoffenheim,20,1999,31,28,2 369,26.mars,6,3,9,6,0,0,6,0,05.sept,05.sept,03.mai,09.avr,68,110,133,0.23,0.11,0.34,0.23,0.34,0.23,0.13,0.36,0.23,0.36
Noah Joel Sarenren Bazee,ng NGA,FW MF,Augsburg,23,1996,5,0,36,0.4,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,1,0,4,0.00,févr.50,févr.50,0.00,févr.50,0.00,janv.85,janv.85,0.00,janv.85
Ihlas Bebou,tg TOG,FW MF,Hoffenheim,26,1994,32,23,2 2,24.avr,9,7,16,9,0,0,3,0,09.sept,09.sept,5.0,14.août,70,52,225,0.37,0.29,0.65,0.37,0.65,0.40,0.20,0.61,0.40,0.61
Sheraldo Becker,sr SUR,FW MF,Union Berlin,25,1995,18,15,1 106,12.mars,3,3,6,3,0,0,2,0,01.mai,01.mai,03.janv,04.juin,61,22,87,0.24,0.24,0.49,0.24,0.49,0.12,0.25,0.37,0.12,0.37
Timo Becker,de GER,DF,Schalke 04,23,1997,20,18,1 64,18.févr,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,21,44,48,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Brian Behrendt,de GER,DF,Arminia,28,1991,3,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Maximilian Beier,de GER,FW DF,Hoffenheim,17,2002,3,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ishak Belfodil,dz ALG,FW MF,Hoffenheim,28,1992,14,7,596,06.juin,0,1,1,0,0,0,0,0,01.mai,01.mai,0.9,02.avr,9,8,54,0.00,0.15,0.15,0.00,0.15,0.23,0.13,0.36,0.23,0.36
Stefan Bell,de GER,DF,Mainz 05,28,1991,16,16,1 266,14.janv,1,1,2,1,0,0,6,0,0.5,0.5,0.8,01.mars,1,25,3,0.07,0.07,0.14,0.07,0.14,0.04,0.06,0.09,0.04,0.09
Karim Bellarabi,de GER,FW MF,Leverkusen,30,1990,22,7,798,08.sept,0,0,0,0,0,0,2,0,01.août,01.août,02.juin,04.avr,42,25,109,0.00,0.00,0.00,0.00,0.00,0.20,0.29,0.50,0.20,0.50
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,29,19,1 697,18.sept,1,3,4,1,0,0,6,1,02.mai,02.mai,03.févr,05.août,28,93,80,0.05,0.16,0.21,0.05,0.21,0.13,0.17,0.31,0.13,0.31
Lars Bender,de GER,DF,Leverkusen,31,1989,14,12,936,10.avr,1,2,3,0,1,1,2,0,01.juil,0.9,0.6,01.mai,15,55,31,0.10,0.19,0.29,0.00,0.19,0.16,0.06,0.22,0.08,0.14
Sven Bender,de GER,DF,Leverkusen,31,1989,18,14,1 17,13.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,42,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
László Bénes,sk SVK,MF,Augsburg,22,1997,12,9,660,07.mars,1,1,2,1,0,0,3,0,0.5,0.5,0.9,01.mars,7,19,20,0.14,0.14,0.27,0.14,0.27,0.07,0.12,0.18,0.07,0.18
László Bénes,sk SVK,MF,Gladbach,22,1997,7,1,150,01.juil,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,7,6,0.00,0.60,0.60,0.00,0.60,0.03,0.14,0.17,0.03,0.17
Ramy Bensebaini,dz ALG,DF,Gladbach,25,1995,25,20,1 811,20.janv,4,0,4,3,1,1,7,0,02.mars,01.juin,01.févr,02.juil,27,83,64,0.20,0.00,0.20,0.15,0.15,0.12,0.06,0.17,0.08,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Nabil Bentaleb,dz ALG,MF,Schalke 04,25,1994,9,6,548,06.janv,0,0,0,0,0,1,2,0,0.8,0.0,0.0,0.0,6,29,5,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.00,0.01
Jordan Beyer,de GER,DF,Gladbach,20,2000,4,2,188,02.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bartosz Białek,pl POL,FW MF,Wolfsburg,18,2001,19,1,270,3.0,2,0,2,2,0,0,1,0,01.sept,01.sept,0.2,02.janv,3,12,15,0.67,0.00,0.67,0.67,0.67,0.64,0.07,0.71,0.64,0.71
