Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Jesper Lindstrøm,23,Denmark,Right Winger,28000000,Frankfurt,30000000
Giacomo Raspadori,23,Italy,Second Striker,35000000,Sassuolo,28000000
El Bilal Touré,21,Mali,Centre-Forward,12000000,UD Almería,30200000
Gianluca Scamacca,24,Italy,Centre-Forward,22000000,West Ham,28000000
Manuel Locatelli,25,Italy,Defensive Midfield,30000000,Sassuolo,36400000
Moise Kean,23,Italy,Centre-Forward,18000000,Everton,30000000
Tijjani Reijnders,24,Netherlands,Central Midfield,14000000,AZ Alkmaar,24800000
Yunus Musah,20,USA,Central Midfield,18000000,Valencia,21200000
Samuel Chukwueze,24,Nigeria,Right Winger,25000000,Villarreal,21100000
Christian Pulisic,24,USA,Right Winger,25000000,Chelsea,20800000
Cyril Ngonge,23,Belgium,Right Winger,6000000,Hellas Verona,20000000
Andrea Pinamonti,24,Italy,Centre-Forward,15000000,Inter,20000000
Ruben Loftus-Cheek,27,England,Central Midfield,25000000,Chelsea,18900000
Dan Ndoye,22,Switzerland,Right Winger,3500000,Basel,16450000
Kristjan Asllani,21,Albania,Defensive Midfield,12000000,FC Empoli,15700000
Mateo Retegui,24,Italy,Centre-Forward,16000000,Tigre,15250000
Taty Castellanos,24,Argentina,Centre-Forward,15000000,New York City,15000000
Noah Okafor,23,Switzerland,Left Winger,20000000,Salzburg,15500000
Ivan Ilić,22,Serbia,Central Midfield,19000000,Hellas Verona,16500000
Boulaye Dia,26,Senegal,Centre-Forward,25000000,Villarreal,14400000
Gustav Isaksen,22,Denmark,Right Winger,7500000,Midtjylland,13400000
Santiago Castro,19,Argentina,Centre-Forward,7000000,Vélez Sarsfield,13200000
Lucas Beltrán,22,Argentina,Attacking Midfield,12000000,River Plate,12600000
M'Bala Nzola,26,Angola,Centre-Forward,8000000,Spezia Calcio,12600000
Giovanni Simeone,27,Argentina,Centre-Forward,15000000,Hellas Verona,12000000
Matteo Pessina,26,Italy,Central Midfield,15000000,Atalanta,12000000
Jens Cajuste,24,Sweden,Defensive Midfield,6000000,Stade Reims,11500000
Tommaso Baldanzi,20,Italy,Attacking Midfield,15000000,FC Empoli,11500000
Jesper Karlsson,25,Sweden,Left Winger,18000000,AZ Alkmaar,11150000
Timothy Weah,23,USA,Right Winger,14000000,Lille,11000000
Nikola Vlašić,25,Croatia,Attacking Midfield,17000000,West Ham,10600000
Brenner,23,Brazil,Centre-Forward,8000000,Cincinnati,10000000
Andrea Petagna,28,Italy,Centre-Forward,10000000,Napoli,9700000
Mitchel Bakker,23,Netherlands,Left Midfield,9000000,Leverkusen,8800000
Matteo Cancellieri,21,Italy,Right Winger,5000000,Hellas Verona,8500000
Nikola Krstović,23,Montenegro,Centre-Forward,2200000,Dunajska Streda,8150000
Gianluca Caprari,29,Italy,Second Striker,8000000,Hellas Verona,8000000
Ruslan Malinovskyi,30,Ukraine,Attacking Midfield,10000000,Marseille,7700000
Cristian Volpato,19,Italy,Attacking Midfield,3000000,Roma,7500000
Tajon Buchanan,24,Canada,Right Winger,8000000,Club
