Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Abner,br BRA,DF,Betis,23,2000,23,15,1 4,15.juin,0,1,1,0,0,0,3,0,0.1,0.1,1.0,01.janv,14,33,58,0.00,0.06,0.06,0.00,0.06,0.01,0.06,0.07,0.01,0.07
Abdel Abqar,ma MAR,DF,Alavés,24,1999,27,27,2 312,25.juil,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
Marcos Acuña,ar ARG,DF,Sevilla,31,1991,21,18,1 292,14.avr,1,2,3,1,0,0,7,0,0.3,0.3,01.mai,01.août,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,02.juin,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,fr FRA,MF,Sevilla,21,2002,12,9,777,08.juin,0,0,0,0,0,0,3,0,0.9,0.9,0.6,01.mai,7,35,9,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17
Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,6,4,407,04.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Ilias Akhomach,ma MAR,MF FW,Villarreal,19,2004,31,17,1 511,16.août,2,2,4,2,0,0,4,0,03.févr,03.févr,02.juin,05.juil,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34
Sergio Akieme,es ESP,DF,Almería,25,1997,19,19,1 675,18.juin,2,0,2,2,0,0,2,0,01.févr,01.févr,02.févr,03.mars,27,28,72,0.11,0.00,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18
Paul Akouokou,ci CIV,MF,Betis,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Alaba,at AUT,DF,Real Madrid,31,1992,14,14,1 154,12.août,0,1,1,0,0,0,2,0,1.0,1.0,0.7,01.juin,9,51,13,0.00,0.08,0.08,0.00,0.08,0.08,0.05,0.13,0.08,0.13
Raúl Albiol,es ESP,DF,Villarreal,37,1985,26,24,2 031,22.juin,0,1,1,0,0,0,6,0,0.4,0.4,0.8,01.mars,8,62,0,0.00,0.04,0.04,0.00,0.04,0.02,0.04,0.06,0.02,0.06
Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,36,36,3 134,34.8,3,1,4,1,2,2,14,0,03.mars,01.juil,01.avr,03.janv,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09
Omar Alderete,py PAR,DF,Getafe,26,1996,31,24,2 195,24.avr,0,1,1,0,0,0,8,1,01.févr,01.févr,1.0,02.févr,23,98,9,0.00,0.04,0.04,0.00,0.04,0.05,0.04,0.09,0.05,0.09
Iván Alejo,es ESP,MF,Cádiz,28,1995,30,21,1 692,18.août,0,2,2,0,0,0,17,0,0.5,0.5,01.mars,01.août,48,31,104,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10
Carles Aleñá,es ESP,MF,Getafe,25,1998,29,10,1 02,11.mars,1,1,2,1,0,0,6,0,01.févr,01.févr,01.juin,02.août,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25
Mohamed Ali Cho,fr FRA,FW MF,Real Sociedad,19,2004,11,1,249,02.août,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18
Tadeo Allende,ar ARG,MF FW,Celta Vigo,24,1999,10,2,336,03.juil,1,0,1,1,0,0,1,0,01.févr,01.févr,0.4,01.juin,9,7,25,0.27,0.00,0.27,0.27,0.27,0.33,0.10,0.43,0.33,0.43
Domingos André Ribeiro Almeida,pt POR,FW MF,Valencia,23,2000,18,12,965,10.juil,2,1,3,2,0,0,0,0,0.6,0.6,01.févr,01.août,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17,0.05,0.17
Marcos Alonso,es ESP,DF,Barcelona,32,1990,5,3,252,02.août,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21
