,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Martin Cranie,eng ENG,DF,Huddersfield,30,1986,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aaron Cresswell,eng ENG,DF,West Ham,27,1989,36,35,3 069,34.1,1,3,4,1,0,0,7,0,0.8,0.8,03.févr,03.sept,35,128,62,0.03,0.09,0.12,0.03,0.12,0.02,0.09,0.12,0.02,0.12
Peter Crouch,eng ENG,FW,Stoke City,36,1981,31,14,1 567,17.avr,5,2,7,5,0,0,4,0,04.févr,04.févr,02.août,7.0,9,41,85,0.29,0.11,0.40,0.29,0.40,0.24,0.16,0.40,0.24,0.40
Josh Cullen,ie IRL,MF,West Ham,21,1996,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Charlie Daniels,eng ENG,DF MF,Bournemouth,30,1986,35,34,3 002,33.4,1,3,4,1,0,0,0,0,0.6,0.6,02.févr,02.août,104,155,165,0.03,0.09,0.12,0.03,0.12,0.02,0.06,0.08,0.02,0.08
Danilo,br BRA,DF,Manchester City,26,1991,23,13,1 349,15.0,3,2,5,3,0,0,2,0,01.janv,01.janv,0.2,01.mars,40,89,74,0.20,0.13,0.33,0.20,0.33,0.07,0.01,0.09,0.07,0.09
Scott Dann,eng ENG,DF,Crystal Palace,30,1987,17,16,1 435,15.sept,1,0,1,1,0,0,4,0,02.mars,02.mars,0.2,02.mai,7,42,3,0.06,0.00,0.06,0.06,0.06,0.14,0.01,0.16,0.14,0.16
Karl Darlow,wls WAL,GK,Newcastle Utd,26,1990,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,8,5,444,04.sept,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,7,16,10,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Ben Davies,wls WAL,DF,Tottenham,24,1993,29,26,2 324,25.août,2,6,8,2,0,0,3,0,01.janv,01.janv,03.févr,04.mars,73,165,178,0.08,0.23,0.31,0.08,0.31,0.04,0.12,0.16,0.04,0.16
Tom Davies,eng ENG,MF,Everton,19,1998,33,20,1 9,21.janv,2,1,3,2,0,0,7,0,01.mai,01.mai,0.6,02.janv,36,62,70,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.10,0.07,0.10
Steven Davis,nir NIR,MF,Southampton,32,1985,23,17,1 521,16.sept,3,0,3,3,0,0,0,0,0.9,0.9,01.janv,2.0,23,129,56,0.18,0.00,0.18,0.18,0.18,0.05,0.07,0.12,0.05,0.12
Craig Dawson,eng ENG,DF,West Brom,27,1990,28,28,2 51,27.sept,2,0,2,2,0,0,6,0,02.mars,02.mars,01.févr,03.mai,18,83,20,0.07,0.00,0.07,0.07,0.07,0.08,0.04,0.13,0.08,0.13
Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,37,36,3 073,34.1,8,16,24,8,0,0,2,0,05.janv,05.janv,11.janv,16.févr,183,388,259,0.23,0.47,0.70,0.23,0.70,0.15,0.32,0.48,0.15,0.48
Troy Deeney,eng ENG,FW,Watford,29,1988,29,20,1 844,20.mai,5,2,7,2,3,5,1,1,06.sept,02.août,02.août,05.juil,3,71,126,0.24,0.10,0.34,0.10,0.20,0.33,0.14,0.47,0.14,0.28
Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,24,11,1 088,12.janv,4,1,5,4,0,0,1,0,03.mai,03.mai,01.janv,04.juin,9,10,59,0.33,0.08,0.41,0.33,0.41,0.29,0.09,0.38,0.29,0.38
Steven Defour,be BEL,MF,Burnley,29,1988,24,24,1 997,22.févr,1,1,2,1,0,0,6,0,0.8,0.8,01.janv,01.sept,38,117,30,0.05,0.05,0.09,0.05,0.09,0.03,0.05,0.09,0.03,0.09
Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,2,1,96,01.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabian Delph,eng ENG,DF,Manchester City,27,1989,22,21,1 741,19.mars,1,2,3,1,0,0,2,0,0.3,0.3,01.févr,01.mai,53,132,63,0.05,0.10,0.16,0.05,0.16,0.01,0.06,0.08,0.01,0.08
Mousa Dembélé,be BEL,MF,Tottenham,30,1987,28,21,1 879,20.sept,0,0,0,0,0,0,6,0,0.4,0.4,0.7,01.janv,66,211,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,33,18,1 82,20.févr,6,1,7,6,0,0,1,0,03.juil,03.juil,01.avr,05.janv,11,21,89,0.30,0.05,0.35,0.30,0.35,0.18,0.07,0.25,0.18,0.25
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,24,24,1 944,21.juin,1,0,1,1,0,0,4,0,1.0,1.0,0.6,01.juin,8,41,5,0.05,0.00,0.05,0.05,0.05,0.05,0.03,0.07,0.05,0.07
Gerard Deulofeu,es ESP,FW MF,Watford,23,1994,7,5,435,04.août,1,0,1,1,0,0,0,0,0.5,0.5,0.6,01.janv,23,13,32,0.21,0.00,0.21,0.21,0.21,0.11,0.13,0.24,0.11,0.24
Fousseni Diabaté,ml MLI,MF FW,Leicester City,21,1995,14,5,587,06.mai,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.9,26,18,56,0.00,0.15,0.15,0.00,0.15,0.08,0.05,0.13,0.08,0.13
Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,31,23,2 041,22.juil,2,0,2,2,0,0,3,0,01.avr,01.avr,0.7,02.janv,25,81,22,0.09,0.00,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09
Brahim Díaz,ma MAR,FW DF,Manchester City,17,1999,5,0,55,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,3,0,15,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.79,0.79,0.79
Eric Dier,eng ENG,MF DF,Tottenham,23,1994,34,32,2 824,31.4,0,2,2,0,0,0,4,0,2.0,2.0,01.juil,03.juil,35,213,29,0.00,0.06,0.06,0.00,0.06,0.06,0.05,0.12,0.06,0.12
Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,37,37,3 324,36.9,7,3,10,7,0,0,10,0,03.mai,03.mai,02.mars,05.sept,73,222,79,0.19,0.08,0.27,0.19,0.27,0.10,0.06,0.16,0.10,0.16
Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,11,7,769,08.mai,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,27,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,12,5,527,05.sept,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,3,32,28,0.17,0.00,0.17,0.17,0.17,0.03,0.05,0.08,0.03,0.08
Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1 08,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shane Duffy,ie IRL,DF,Brighton,25,1992,37,37,3 292,36.6,0,1,1,0,0,0,8,0,02.mars,02.mars,01.janv,03.avr,8,39,10,0.00,0.03,0.03,0.00,0.03,0.06,0.03,0.09,0.06,0.09
Paul Dummett,wls WAL,DF,Newcastle Utd,25,1991,20,19,1 602,17.août,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,57,17,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,38,3 42,38.0,1,1,2,1,0,0,7,0,02.juil,02.juil,01.févr,03.sept,25,54,5,0.03,0.03,0.05,0.03,0.05,0.07,0.03,0.10,0.07,0.10
Nathan Dyer,eng ENG,MF FW,Swansea City,29,1987,24,16,1 307,14.mai,0,0,0,0,0,0,2,0,0.9,0.9,0.8,01.juil,53,34,119,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12
Ederson,br BRA,GK,Manchester City,23,1993,36,36,3 194,35.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tom Edwards,eng ENG,DF MF,Stoke City,18,1999,6,6,481,05.mars,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,8,11,4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1 44,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,13,11,867,09.juin,0,1,1,0,0,0,3,1,0.3,0.3,0.9,01.févr,13,74,21,0.00,0.10,0.10,0.00,0.10,0.03,0.10,0.13,0.03,0.13
Christian Eriksen,dk DEN,MF FW,Tottenham,25,1992,37,37,3 218,35.8,10,10,20,10,0,0,0,0,7.0,7.0,11.juin,18.juin,83,333,237,0.28,0.28,0.56,0.28,0.56,0.20,0.32,0.52,0.20,0.52
Jonny Evans,nir NIR,DF,West Brom,29,1988,28,26,2 27,25.févr,2,2,4,2,0,0,7,0,02.janv,02.janv,0.9,3.0,21,56,9,0.08,0.08,0.16,0.08,0.16,0.08,0.03,0.12,0.08,0.12
Patrice Evra,fr FRA,DF MF,West Ham,36,1981,5,3,228,02.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,3 42,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,32,25,2 306,25.juin,2,4,6,2,0,0,6,2,02.avr,02.avr,06.août,09.févr,55,348,135,0.08,0.16,0.23,0.08,0.23,0.09,0.26,0.36,0.09,0.36
Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,16,5,621,06.sept,4,0,4,4,0,0,1,0,03.mai,03.mai,0.2,03.juil,5,19,11,0.58,0.00,0.58,0.58,0.58,0.51,0.03,0.54,0.51,0.54
Kiko Femenía,es ESP,DF FW,Watford,26,1991,23,19,1 713,19.0,1,1,2,1,0,0,2,0,0.4,0.4,01.août,02.janv,54,72,103,0.05,0.05,0.11,0.05,0.11,0.02,0.09,0.11,0.02,0.11
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Leroy Fer,nl NED,MF,Swansea City,27,1990,20,15,1 397,15.mai,1,1,2,1,0,0,5,0,01.juin,01.juin,1.0,02.juil,22,66,23,0.06,0.06,0.13,0.06,0.13,0.11,0.07,0.17,0.11,0.17
Edimilson Fernandes,ch SUI,MF DF,West Ham,21,1996,14,9,845,09.avr,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,12,20,28,0.00,0.11,0.11,0.00,0.11,0.03,0.03,0.07,0.03,0.07
Federico Fernández,ar ARG,DF,Swansea City,28,1989,30,30,2 676,29.juil,1,1,2,1,0,0,5,0,0.7,0.7,0.7,01.avr,5,72,8,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.05,0.02,0.05
Fernandinho,br BRA,MF,Manchester City,32,1985,34,33,2 881,32.0,5,3,8,5,0,0,7,0,02.janv,02.janv,02.août,04.sept,80,320,38,0.16,0.09,0.25,0.16,0.25,0.06,0.09,0.15,0.06,0.15
Sam Field,eng ENG,MF,West Brom,19,1998,10,7,537,6.0,1,0,1,1,0,0,3,0,0.5,0.5,0.2,0.8,4,32,14,0.17,0.00,0.17,0.17,0.17,0.09,0.04,0.13,0.09,0.13
Roberto Firmino,br BRA,FW,Liverpool,25,1991,37,32,2 763,30.juil,15,7,22,14,1,1,1,0,10.juil,09.sept,06.mai,16.avr,91,136,305,0.49,0.23,0.72,0.46,0.68,0.35,0.21,0.56,0.32,0.53
Darren Fletcher,sct SCO,MF,Stoke City,33,1984,27,25,2 219,24.juil,1,1,2,1,0,0,0,0,0.4,0.4,01.juin,01.sept,16,100,20,0.04,0.04,0.08,0.04,0.08,0.01,0.06,0.08,0.01,0.08
Phil Foden,eng ENG,MF FW,Manchester City,17,2000,5,0,49,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,6,0,3,0.00,janv.84,janv.84,0.00,janv.84,0.00,0.61,0.61,0.00,0.61
José Fonte,pt POR,DF,West Ham,33,1983,8,8,688,07.juin,0,1,1,0,0,0,0,0,0.6,0.6,0.3,0.9,10,34,3,0.00,0.13,0.13,0.00,0.13,0.08,0.04,0.12,0.08,0.12
Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,1 8,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,3 33,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,21,17,1 596,17.juil,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,25,56,31,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Simon Francis,eng ENG,DF,Bournemouth,32,1985,32,31,2 705,30.janv,0,1,1,0,0,0,10,1,0.6,0.6,01.mai,02.janv,33,119,90,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07
Ryan Fraser,sct SCO,MF DF,Bournemouth,23,1994,26,23,2 004,22.mars,5,3,8,5,0,0,0,0,01.août,01.août,03.mars,05.janv,74,99,168,0.22,0.13,0.36,0.22,0.36,0.08,0.15,0.23,0.08,0.23
Christian Fuchs,at AUT,DF,Leicester City,31,1986,25,21,1 921,21.mars,0,1,1,0,0,0,1,0,0.5,0.5,01.févr,01.juil,28,85,56,0.00,0.05,0.05,0.00,0.05,0.03,0.05,0.08,0.03,0.08
Jay Fulton,sct SCO,MF,Swansea City,23,1994,2,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ramiro Funes Mori,ar ARG,DF,Everton,26,1991,4,1,121,01.mars,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Manolo Gabbiadini,it ITA,FW,Southampton,25,1991,28,11,1 081,12.0,5,0,5,4,1,1,2,0,02.mai,01.juil,0.5,02.févr,12,12,58,0.42,0.00,0.42,0.33,0.33,0.21,0.04,0.25,0.14,0.18
Jesús Gámez,es ESP,DF,Newcastle Utd,32,1985,2,1,98,01.janv,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.20,0.05,0.20
Idrissa Gana Gueye,sn SEN,MF,Everton,27,1989,33,32,2 75,30.juin,2,1,3,2,0,0,8,2,01.mai,01.mai,0.8,02.avr,26,128,27,0.07,0.03,0.10,0.07,0.10,0.05,0.03,0.08,0.05,0.08
Dwight Gayle,eng ENG,FW,Newcastle Utd,26,1990,35,23,1 958,21.août,6,3,9,6,0,0,3,0,08.mars,08.mars,2.0,10.avr,23,24,115,0.28,0.14,0.41,0.28,0.41,0.38,0.09,0.48,0.38,0.48
Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David de Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3 33,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kieran Gibbs,eng ENG,DF,West Brom,27,1989,33,32,2 827,31.4,0,1,1,0,0,0,3,0,0.4,0.4,01.août,02.févr,59,97,89,0.00,0.03,0.03,0.00,0.03,0.01,0.06,0.07,0.01,0.07
Olivier Giroud,fr FRA,FW,Arsenal,30,1986,16,1,388,04.mars,4,1,5,4,0,0,0,0,03.mars,03.mars,0.9,04.févr,3,5,39,0.93,0.23,janv.16,0.93,janv.16,0.76,0.22,0.98,0.76,0.98
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Olivier Giroud,fr FRA,FW,Chelsea,30,1986,13,6,613,06.août,3,1,4,3,0,0,0,0,03.juin,03.juin,2.0,05.juin,7,21,61,0.44,0.15,0.59,0.44,0.59,0.53,0.30,0.83,0.53,0.83
Connor Goldson,eng ENG,DF,Brighton,24,1992,3,2,200,02.févr,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,3,0,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Heurelho Gomes,br BRA,GK,Watford,36,1981,24,24,2 128,23.juin,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Gomez,eng ENG,DF,Liverpool,20,1997,23,21,1 902,21.janv,0,2,2,0,0,0,3,0,0.3,0.3,01.mai,01.juil,54,154,65,0.00,0.09,0.09,0.00,0.09,0.01,0.07,0.08,0.01,0.08
Dan Gosling,eng ENG,MF,Bournemouth,27,1990,28,21,1 947,21.juin,2,1,3,2,0,0,8,0,02.janv,02.janv,0.9,3.0,18,134,25,0.09,0.05,0.14,0.09,0.14,0.10,0.04,0.14,0.10,0.14
Lee Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andre Gray,jm JAM,FW,Watford,26,1991,31,16,1 498,16.juin,5,2,7,5,0,0,1,0,06.juil,06.juil,02.janv,08.août,18,17,133,0.30,0.12,0.42,0.30,0.42,0.40,0.13,0.53,0.40,0.53
Demarai Gray,jm JAM,MF FW,Leicester City,21,1996,35,17,1 697,18.sept,3,1,4,3,0,0,2,0,02.mai,02.mai,03.avr,05.sept,80,37,126,0.16,0.05,0.21,0.16,0.21,0.13,0.18,0.31,0.13,0.31
Pascal Groß,de GER,FW MF,Brighton,26,1991,38,35,2 928,32.5,7,8,15,6,1,1,2,0,03.mars,02.mai,08.mars,10.août,54,153,241,0.22,0.25,0.46,0.18,0.43,0.10,0.25,0.36,0.08,0.33
Marko Grujić,rs SRB,MF DF,Liverpool,21,1996,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
İlkay Gündoğan,de GER,MF,Manchester City,26,1990,30,15,1 517,16.sept,4,1,5,3,1,1,3,0,3.0,02.mars,01.juil,4.0,61,154,83,0.24,0.06,0.30,0.18,0.24,0.18,0.10,0.28,0.13,0.24
Florent Hadergjonaj,xk KVX,DF MF,Huddersfield,23,1994,23,19,1 674,18.juin,0,1,1,0,0,0,3,0,0.3,0.3,01.mai,01.juil,40,62,111,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.09,0.01,0.09
Massadio Haïdara,ml MLI,FW,Newcastle Utd,24,1992,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ben Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,03.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rekeem Harper,eng ENG,MF,West Brom,17,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22
Joe Hart,eng ENG,GK,West Ham,30,1987,19,19,1 71,19.0,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.04,0.04,0.00,0.04
Isaac Hayden,jm JAM,MF,Newcastle Utd,22,1995,26,15,1 374,15.mars,1,0,1,1,0,0,7,0,1.0,1.0,0.6,01.juin,17,45,23,0.07,0.00,0.07,0.07,0.07,0.06,0.04,0.10,0.06,0.10
Eden Hazard,be BEL,FW MF,Chelsea,26,1991,34,28,2 422,26.sept,12,4,16,10,2,2,2,0,07.juil,06.févr,06.avr,12.juin,201,218,302,0.45,0.15,0.59,0.37,0.52,0.29,0.24,0.52,0.23,0.47
Tom Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,03.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michael Hefele,de GER,DF,Huddersfield,26,1990,2,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ahmed Hegazi,eg EGY,DF,West Brom,26,1991,38,38,3 386,37.6,2,0,2,2,0,0,4,0,01.juil,01.juil,0.6,02.févr,9,65,8,0.05,0.00,0.05,0.05,0.05,0.04,0.01,0.06,0.04,0.06
Tomer Hemed,il ISR,FW,Brighton,30,1987,16,9,849,09.avr,2,2,4,2,0,0,0,0,01.sept,01.sept,0.1,2.0,6,13,51,0.21,0.21,0.42,0.21,0.42,0.20,0.01,0.21,0.20,0.21
Jordan Henderson,eng ENG,MF,Liverpool,27,1990,27,25,2 171,24.janv,1,1,2,1,0,0,1,0,01.févr,01.févr,01.août,3.0,32,249,37,0.04,0.04,0.08,0.04,0.08,0.05,0.08,0.13,0.05,0.12
Jeff Hendrick,ie IRL,FW MF,Burnley,25,1992,34,29,2 331,25.sept,2,2,4,2,0,0,1,0,2.0,2.0,02.juil,04.juil,37,80,114,0.08,0.08,0.15,0.08,0.15,0.08,0.10,0.18,0.08,0.18
Wayne Hennessey,wls WAL,GK,Crystal Palace,30,1987,27,27,2 43,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Javier Hernández,mx MEX,FW,West Ham,29,1988,28,16,1 548,17.févr,8,0,8,8,0,0,3,0,5.0,5.0,01.mars,06.mars,10,31,103,0.47,0.00,0.47,0.47,0.47,0.29,0.08,0.37,0.29,0.37
Ander Herrera,es ESP,MF,Manchester Utd,27,1989,26,13,1 268,14.janv,0,2,2,0,0,0,5,0,0.4,0.4,01.juin,01.sept,12,81,19,0.00,0.14,0.14,0.00,0.14,0.03,0.11,0.14,0.03,0.14
Son Heung-min,kr KOR,FW,Tottenham,25,1992,37,27,2 301,25.juin,12,6,18,12,0,0,0,0,10.févr,10.févr,06.févr,16.avr,111,92,339,0.47,0.23,0.70,0.47,0.70,0.40,0.24,0.64,0.40,0.64
Wesley Hoedt,nl NED,DF,Southampton,23,1994,28,28,2 52,28.0,0,1,1,0,0,0,7,0,01.mars,01.mars,0.5,01.sept,21,143,3,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07
Jonathan Hogg,eng ENG,MF,Huddersfield,28,1988,30,29,2 398,26.juin,0,0,0,0,0,0,10,1,0.4,0.4,0.4,0.9,21,138,10,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Rob Holding,eng ENG,DF,Arsenal,21,1995,12,9,822,09.janv,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,6,47,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
José Holebas,gr GRE,DF,Watford,33,1984,28,26,2 382,26.mai,0,4,4,0,0,0,7,0,0.6,0.6,03.févr,03.août,53,98,84,0.00,0.15,0.15,0.00,0.15,0.02,0.12,0.14,0.02,0.14
Mason Holgate,jm JAM,DF,Everton,20,1996,15,13,1 184,13.févr,0,0,0,0,0,0,3,0,0.6,0.6,0.6,01.févr,8,44,25,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Callum Hudson-Odoi,eng ENG,FW DF,Chelsea,16,2000,2,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,2,5,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Will Hughes,eng ENG,MF,Watford,22,1995,15,11,990,11.0,2,3,5,2,0,0,0,0,0.6,0.6,01.mai,02.janv,16,60,58,0.18,0.27,0.45,0.18,0.45,0.05,0.13,0.19,0.05,0.19
Jordan Hugill,eng ENG,FW,West Ham,25,1992,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uwe Hünemeier,de GER,DF,Brighton,31,1986,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emerson Hyndman,us USA,MF,Bournemouth,21,1996,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
