Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,31,31,2 781,30.sept,4,0,4,3,1,1,5,0,03.avr,02.juin,0.3,02.sept,36,137,9,0.13,0.00,0.13,0.10,0.10,0.11,0.01,0.12,0.09,0.09
Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27,17,1 519,16.sept,0,0,0,0,0,0,2,0,0.8,0.8,0.5,01.mars,9,78,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Laurent Abergel,fr FRA,MF,Lorient,30,1993,33,32,2 86,31.août,2,1,3,2,0,0,4,0,01.janv,01.janv,02.janv,03.mars,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.10,0.04,0.10
Matthis Abline,fr FRA,FW,Nantes,20,2003,22,12,1 044,11.juin,5,0,5,5,0,0,1,0,03.août,03.août,2.0,05.août,28,20,87,0.43,0.00,0.43,0.43,0.43,0.33,0.17,0.50,0.33,0.50
Zakaria Aboukhlal,ma MAR,MF FW,Toulouse,23,2000,13,9,754,08.avr,3,0,3,2,1,1,2,0,02.août,2.0,0.2,02.févr,23,20,75,0.36,0.00,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26
Akor Adams,ng NGA,FW,Montpellier,23,2000,32,27,2 252,25.0,8,1,9,8,0,0,2,0,12.avr,12.avr,01.sept,14.mars,40,17,127,0.32,0.04,0.36,0.32,0.36,0.50,0.07,0.57,0.50,0.57
Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15,14,1 243,13.août,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Adryelson,br BRA,DF FW,Lyon,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adson,br BRA,MF FW,Nantes,22,2000,8,2,238,02.juin,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13
Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,32,29,2 596,28.août,1,1,2,1,0,0,1,0,02.avr,02.avr,01.mai,03.août,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13
Ruben Aguilar,fr FRA,DF,Lens,30,1993,25,22,1 922,21.avr,1,3,4,1,0,0,3,0,01.avr,01.avr,02.sept,04.mars,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.20,0.07,0.20
Tosin Aiyegun,bj BEN,MF FW,Lorient,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,01.août,01.août,0.3,02.janv,17,16,52,0.20,0.00,0.20,0.20,0.20,0.18,0.03,0.21,0.18,0.21
