Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
José Antonio Miranda,gq EQG,MF DF,Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,0,3,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauro Arambarri,uy URU,MF,Getafe,24,1995,34,33,2 983,33.1,3,0,3,3,0,0,11,0,02.janv,02.janv,2.0,4.0,38,119,50,0.09,0.00,0.09,0.09,0.09,0.06,0.06,0.12,0.06,0.12
Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,33,26,2 426,27.0,0,0,0,0,0,0,5,0,0.4,0.4,0.8,01.janv,26,82,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,1 51,16.août,2,1,3,2,0,0,3,0,01.août,01.août,0.2,2.0,9,43,2,0.12,0.06,0.18,0.12,0.18,0.11,0.01,0.12,0.11,0.12
Anaitz Arbilla,es ESP,DF,Eibar,33,1987,34,30,2 807,31.2,0,1,1,0,0,0,8,0,01.août,01.août,0.9,02.juil,37,173,19,0.00,0.03,0.03,0.00,0.03,0.06,0.03,0.09,0.06,0.09
Unai Arietaleanizbeaskoa,es ESP,FW MF,Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Sergio Arribas,es ESP,MF FW,Real Madrid,18,2001,8,0,135,01.mai,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,8,8,13,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36,36,3 24,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marco Asensio,es ESP,FW MF,Real Madrid,24,1996,35,21,1 869,20.août,5,2,7,5,0,0,1,0,03.août,03.août,03.mars,7.0,92,82,166,0.24,0.10,0.34,0.24,0.34,0.18,0.16,0.34,0.18,0.34
Iago Aspas,es ESP,FW,Celta Vigo,32,1987,33,33,2 864,31.août,14,13,27,9,5,5,9,0,12.avr,08.mai,9.0,17.mai,93,144,269,0.44,0.41,0.85,0.28,0.69,0.39,0.28,0.67,0.27,0.55
Miguel Atienza,es ESP,MF,Eibar,21,1999,12,9,838,09.mars,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,31,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
