Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aday,es ESP,DF MF,Girona,30,1987,10,8,645,07.févr,0,2,2,0,0,0,2,0,0.3,0.3,01.mai,01.août,35,11,40,0.00,0.28,0.28,0.00,0.28,0.04,0.21,0.25,0.04,0.25
Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,10.mai,2,0,2,0,2,2,5,0,03.mars,01.août,0.7,02.mai,8,15,57,0.19,0.00,0.19,0.00,0.00,0.32,0.07,0.38,0.17,0.23
Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,28,27,2 389,26.mai,1,3,4,1,0,0,6,2,01.janv,01.janv,02.avr,03.mai,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13
Martin Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,2 032,22.juin,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,36,89,56,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Juan Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,03.août,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,8,21,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Carlos Akapo,gq EQG,DF,Huesca,25,1993,13,12,1 023,11.avr,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,9,0.00,0.50,0.50,0.00,0.50,0.00,0.03,0.03,0.00,0.03
Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,2 991,33.2,2,8,10,2,0,0,6,0,01.août,01.août,06.juil,08.mai,63,207,372,0.06,0.24,0.30,0.06,0.30,0.05,0.20,0.25,0.05,0.25
Pedro Alcalá,es ESP,DF,Girona,29,1989,25,20,1 868,20.août,1,1,2,1,0,0,9,0,1.0,1.0,0.6,01.juin,13,47,3,0.05,0.05,0.10,0.05,0.10,0.05,0.03,0.08,0.05,0.08
