Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,02.mars,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,3 42,38.0,0,0,0,0,0,0,2,0,01.juin,01.juin,0.1,01.août,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05
Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26,23,2 023,22.mai,3,0,3,2,1,1,6,0,02.sept,02.janv,01.juin,03.août,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17
Charles Abi,fr FRA,DF FW,Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29
Khaled Adénon,bj BEN,DF,Amiens,33,1985,23,22,1 994,22.févr,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Yacine Adli,fr FRA,MF,Bordeaux,18,2000,7,2,216,02.avr,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.34,0.34,0.01,0.34
Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13,12,1 05,11.juil,3,0,3,3,0,0,4,1,01.mai,01.mai,0.1,01.juin,11,32,3,0.26,0.00,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14
Ruben Aguilar,fr FRA,DF,Montpellier,25,1993,29,29,2 528,28.janv,1,4,5,1,0,0,8,0,0.9,0.9,02.mai,03.avr,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12
Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17,12,1 075,11.sept,0,1,1,0,0,0,2,0,0.8,0.8,0.6,01.mai,36,64,27,0.00,0.08,0.08,0.00,0.08,0.07,0.05,0.12,0.07,0.12
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,10.avr,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07
Youssef Aït Bennasser,ma MAR,MF,Monaco,22,1996,13,12,1 073,11.sept,0,2,2,0,0,0,2,0,0.3,0.3,0.8,01.janv,21,86,13,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.09,0.02,0.09
Rayan Aït-Nouri,dz ALG,DF MF,Angers,17,2001,3,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
