Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Maxime Barthelmé,fr FRA,FW MF,Lorient,27,1988,9,3,327,03.juin,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28
Marko Baša,me MNE,DF,Lille,33,1982,23,23,1 949,21.juil,1,0,1,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05
Nicolas Basin,fr FRA,DF,Metz,18,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Amine Bassi,fr FRA,FW MF,Nancy,18,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Éric Bauthéac,fr FRA,FW MF,Lille,28,1987,13,9,725,08.janv,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Paul Baysse,fr FRA,DF,Nice,28,1988,22,20,1 858,20.juin,2,1,3,2,0,0,1,0,0.10,0.05,0.15,0.10,0.15
Hervé Bazile,ht HAI,FW MF,Caen,26,1990,19,7,732,08.janv,2,2,4,2,0,0,1,0,0.25,0.25,0.49,0.25,0.49
Henri Bedimo,cm CMR,DF,Marseille,32,1984,16,13,1 173,13.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jérémie Bela,ao ANG,DF FW,Dijon,23,1993,14,2,375,04.févr,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24
Younès Belhanda,ma MAR,FW MF,Nice,26,1990,31,28,2 541,28.févr,3,5,8,3,0,0,8,1,0.11,0.18,0.28,0.11,0.28
François Bellugou,fr FRA,DF MF,Lorient,29,1987,26,16,1 422,15.août,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Anthony Belmonte,fr FRA,MF,Dijon,20,1995,8,4,261,02.sept,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Hatem Ben Arfa,fr FRA,FW MF,Paris S-G,29,1987,23,5,643,07.janv,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Issam Ben Khémis,tn TUN,MF,Lorient,20,1996,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Syam Ben Youssef,tn TUN,DF,Caen,27,1989,17,14,1 293,14.avr,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Nicolas Benezet,fr FRA,FW MF,Guingamp,25,1991,5,3,169,01.sept,1,1,2,1,0,0,0,0,0.53,0.53,01.juil,0.53,01.juil
Pierre Bengtsson,se SWE,DF MF,Bastia,28,1988,30,29,2 626,29.2,1,1,2,1,0,0,0,0,0.03,0.03,0.07,0.03,0.07
Walter Benítez,ar ARG,GK,Nice,23,1993,3,2,215,02.avr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ramy Bensebaini,dz ALG,DF MF,Rennes,21,1995,25,22,1 838,20.avr,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00
Yassine Benzia,dz ALG,FW MF,Lille,21,1994,25,21,1 627,18.janv,3,3,6,2,1,1,3,0,0.17,0.17,0.33,0.11,0.28
Franck Béria,fr FRA,DF,Lille,33,1983,28,27,2 326,25.août,1,0,1,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04
Robert Berić,si SVN,FW,Saint-Étienne,25,1991,22,18,1 444,16.0,6,0,6,6,0,1,0,0,0.37,0.00,0.37,0.37,0.37
Kévin Bérigaud,fr FRA,FW,Montpellier,28,1988,13,6,625,06.sept,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14
Kévin Bérigaud,fr FRA,FW,Angers,28,1988,13,4,470,05.févr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Quentin Bernard,fr FRA,DF,Dijon,27,1989,7,6,554,06.févr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Vincent Bessat,fr FRA,DF MF,Caen,30,1985,37,31,2 815,31.mars,0,5,5,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16
Thievy Bifouma,cg CGO,FW MF,Bastia,24,1992,14,9,707,07.sept,2,1,3,2,0,0,3,0,0.25,0.13,0.38,0.25,0.38
Milan Biševac,rs SRB,DF,Metz,32,1983,21,21,1 834,20.avr,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Yves Bissouma,ml MLI,MF,Lille,19,1996,23,5,766,08.mai,1,0,1,1,0,0,4,1,0.12,0.00,0.12,0.12,0.12
Ludovic Blas,fr FRA,FW MF,Guingamp,18,1997,24,10,1 16,12.sept,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16
Alexis Blin,fr FRA,MF,Toulouse,19,1996,26,26,2 148,23.sept,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00
Yann Bodiger,fr FRA,MF,Toulouse,21,1995,29,23,1 836,20.avr,1,3,4,0,1,1,7,1,0.05,0.15,0.20,0.00,0.15
Mathieu Bodmer,fr FRA,DF MF,Nice,33,1982,12,7,587,06.mai,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Mathieu Bodmer,fr FRA,DF MF,Guingamp,33,1982,10,8,671,07.mai,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
