Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Karim Azamoum,fr FRA,MF,Troyes,27,1990,30,26,2 251,25.0,1,0,1,1,0,0,5,1,01.févr,01.févr,01.août,3.0,26,80,76,0.04,0.00,0.04,0.04,0.04,0.05,0.07,0.12,0.05,0.12
Ludovic Baal,gf GUF,DF,Rennes,31,1986,17,14,1 159,12.sept,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,29,85,35,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
Dylan Bahamboula,cg CGO,FW MF,Dijon,22,1995,4,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Farès Bahlouli,fr FRA,MF FW,Lille,22,1995,11,2,307,03.avr,1,0,1,1,0,0,2,0,0.2,0.2,0.7,0.9,11,9,34,0.29,0.00,0.29,0.29,0.29,0.07,0.21,0.28,0.07,0.28
Stéphane Bahoken,cm CMR,FW,Strasbourg,25,1992,26,19,1 662,18.mai,7,1,8,7,0,0,5,0,06.juil,06.juil,01.juil,08.avr,31,22,124,0.38,0.05,0.43,0.38,0.43,0.36,0.09,0.45,0.36,0.45
Keita Baldé,sn SEN,FW MF,Monaco,22,1995,23,19,1 473,16.avr,8,5,13,8,0,0,3,1,05.avr,05.avr,02.mars,07.août,57,32,139,0.49,0.31,0.79,0.49,0.79,0.33,0.14,0.47,0.33,0.47
Iván Balliu,al ALB,DF,Metz,25,1992,25,22,1 951,21.juil,0,1,1,0,0,0,6,0,0.2,0.2,1.0,01.janv,34,137,92,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05
Fodé Ballo-Touré,sn SEN,DF,Lille,20,1997,27,25,2 055,22.août,0,0,0,0,0,0,5,1,0.1,0.1,0.7,0.8,43,72,98,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Florent Balmont,fr FRA,MF,Dijon,37,1980,21,9,860,09.juin,1,3,4,1,0,0,3,0,0.3,0.3,01.juil,2.0,10,75,21,0.10,0.31,0.42,0.10,0.42,0.03,0.18,0.21,0.03,0.21
Mario Balotelli,it ITA,FW,Nice,26,1990,28,26,2 269,25.févr,18,1,19,12,6,7,10,1,15.mars,09.août,03.janv,12.sept,46,86,173,0.71,0.04,0.75,0.48,0.52,0.61,0.12,0.73,0.39,0.51
