Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Tammy Abraham,eng ENG,FW,Roma,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.juil,18.avr,04.août,23.févr,41,70,199,0.50,0.12,0.61,0.41,0.53,0.60,0.14,0.74,0.54,0.68
Francesco Acerbi,it ITA,DF,Lazio,33,1988,30,29,2536,28.févr,4,0,4,4,0,0,2,1,02.avr,02.avr,0.5,02.sept,31,119,10,0.14,0.00,0.14,0.14,0.14,0.09,0.02,0.10,0.09,0.10
Michel Aebischer,ch SUI,MF,Bologna,24,1997,12,4,443,04.sept,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,19,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
Felix Afena-Gyan,gh GHA,FW MF,Roma,18,2003,17,6,668,07.avr,2,0,2,2,0,0,5,1,01.juil,01.juil,0.6,02.févr,19,7,77,0.27,0.00,0.27,0.27,0.27,0.22,0.08,0.30,0.22,0.30
Kevin Agudelo,co COL,MF FW,Spezia,22,1998,23,12,1237,13.juil,3,1,4,3,0,0,2,1,02.juin,02.juin,0.9,03.mai,41,46,56,0.22,0.07,0.29,0.22,0.29,0.19,0.06,0.25,0.19,0.25
Ola Aina,ng NGA,DF,Torino,24,1996,21,17,1437,16.0,0,0,0,0,0,0,4,0,0.2,0.2,01.août,2.0,42,68,78,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12
Marley Aké,fr FRA,FW MF,Juventus,20,2001,4,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,10,4,315,03.mai,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,5,3,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Luis Alberto,es ESP,MF,Lazio,28,1992,34,27,2353,26.janv,5,9,14,5,0,0,5,0,03.mars,03.mars,07.août,11.janv,84,223,89,0.19,0.34,0.54,0.19,0.54,0.12,0.30,0.42,0.12,0.42
Giorgio Altare,it ITA,DF,Cagliari,22,1998,19,17,1466,16.mars,1,0,1,1,0,0,5,0,1.0,1.0,0.6,01.juin,13,71,10,0.06,0.00,0.06,0.06,0.06,0.06,0.04,0.10,0.06,0.10
Wisdom Amey,it ITA,DF,Bologna,15,2005,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kelvin Amian,fr FRA,DF,Spezia,23,1998,32,31,2646,29.avr,1,1,2,1,0,0,9,2,02.juin,02.juin,01.mars,03.sept,38,64,50,0.03,0.03,0.07,0.03,0.07,0.09,0.04,0.13,0.09,0.13
Nadiem Amiri,de GER,MF FW,Genoa,24,1996,13,9,683,07.juin,0,1,1,0,0,0,0,0,0.9,0.9,02.janv,3.0,17,33,34,0.00,0.13,0.13,0.00,0.13,0.12,0.28,0.40,0.12,0.40
Ethan Ampadu,wls WAL,MF DF,Venezia,20,2000,29,26,2282,25.avr,0,3,3,0,0,0,13,2,0.3,0.3,01.juin,01.sept,26,112,23,0.00,0.12,0.12,0.00,0.12,0.01,0.06,0.08,0.01,0.08
Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,23,8,944,10.mai,1,0,1,1,0,0,6,0,0.1,0.1,0.2,0.4,13,63,3,0.10,0.00,0.10,0.10,0.10,0.01,0.02,0.04,0.01,0.04
Felipe Anderson,br BRA,FW,Lazio,28,1993,38,33,2888,32.1,6,8,14,6,0,0,2,0,06.févr,06.févr,06.mai,12.juil,142,123,264,0.19,0.25,0.44,0.19,0.44,0.19,0.20,0.40,0.19,0.40
Ebenezer Annan,gh GHA,DF,Bologna,18,2002,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristian Ansaldi,ar ARG,DF,Torino,34,1986,19,5,691,07.juil,0,3,3,0,0,0,2,0,0.3,0.3,02.janv,02.avr,24,41,40,0.00,0.39,0.39,0.00,0.39,0.04,0.28,0.32,0.04,0.32
