Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,27,27,2 302,25.juin,0,2,2,0,0,0,3,0,0.4,0.4,0.7,01.janv,17,103,7,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04
Amir Abrashi,al ALB,MF,Freiburg,27,1990,12,11,850,09.avr,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,38,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
René Adler,de GER,GK,Mainz 05,32,1985,14,14,1 26,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Ailton,br BRA,DF MF,Stuttgart,22,1995,5,1,108,01.févr,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,4,3,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14
Manuel Akanji,ch SUI,DF,Dortmund,22,1995,11,10,904,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,15,47,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Chadrac Akolo,cd COD,MF FW,Stuttgart,22,1995,22,13,1 102,12.févr,5,0,5,5,0,1,2,0,04.juil,4.0,1.0,04.sept,27,35,75,0.41,0.00,0.41,0.41,0.41,0.39,0.08,0.47,0.32,0.40
Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,22,17,1 69,18.août,0,1,1,0,0,0,1,0,0.2,0.2,01.avr,01.juin,23,85,8,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09
David Alaba,at AUT,DF,Bayern Munich,25,1992,23,17,1 551,17.févr,2,2,4,2,0,0,1,0,01.mars,01.mars,02.mars,03.mai,53,110,178,0.12,0.12,0.23,0.12,0.23,0.07,0.13,0.20,0.07,0.20
Lucas Alario,ar ARG,FW,Leverkusen,24,1992,23,17,1 55,17.févr,9,4,13,8,1,2,4,1,10.mai,08.sept,01.août,10.août,16,28,111,0.52,0.23,0.75,0.46,0.70,0.61,0.11,0.72,0.52,0.63
Miiko Albornoz,cl CHI,DF MF,Hannover 96,26,1990,10,7,703,07.août,0,0,0,0,0,0,1,0,0.2,0.2,01.avr,01.juin,10,25,19,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.21,0.02,0.21
