Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Antony,br BRA,FW,Manchester Utd,22,2000,25,23,1 802,20.0,4,2,6,4,0,0,5,0,06.juin,06.juin,02.sept,09.avr,95,74,168,0.20,0.10,0.30,0.20,0.30,0.33,0.14,0.47,0.33,0.47
Cameron Archer,eng ENG,FW MF,Aston Villa,21,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,2,309,03.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Aribo,ng NGA,MF FW,Southampton,26,1996,21,13,1 224,13.juin,2,0,2,2,0,0,2,0,01.mai,01.mai,0.8,02.mars,19,39,64,0.15,0.00,0.15,0.15,0.15,0.11,0.06,0.17,0.11,0.17
Adam Armstrong,eng ENG,FW MF,Southampton,25,1997,30,14,1 335,14.août,2,1,3,2,0,0,2,0,02.janv,02.janv,01.mars,03.mars,39,16,70,0.13,0.07,0.20,0.13,0.20,0.14,0.09,0.23,0.14,0.23
Stuart Armstrong,sct SCO,MF FW,Southampton,30,1992,32,14,1 408,15.juin,2,1,3,2,0,0,6,0,02.avr,02.avr,02.févr,04.juil,61,75,88,0.13,0.06,0.19,0.13,0.19,0.15,0.14,0.30,0.15,0.30
Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,29,2 565,28.mai,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,15,5,554,06.févr,1,0,1,1,0,0,1,0,01.mai,01.mai,0.4,01.sept,9,3,29,0.16,0.00,0.16,0.16,0.16,0.24,0.07,0.30,0.24,0.30
Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,24,22,1 943,21.juin,1,0,1,1,0,0,2,0,0.8,0.8,1.0,01.août,37,71,50,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.08,0.04,0.08
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,27,17,1 404,15.juin,10,1,11,10,0,0,2,0,06.juin,06.juin,01.janv,07.juil,18,12,55,0.64,0.06,0.71,0.64,0.71,0.42,0.07,0.49,0.42,0.49
Yasin Ayari,se SWE,MF,Brighton,18,2003,3,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,2,2,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21
André Ayew,gh GHA,FW MF,Nott'ham Forest,32,1989,13,1,316,03.mai,0,0,0,0,0,1,1,0,1.0,0.3,0.0,0.3,3,11,16,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.31,0.07,0.08
Jordan Ayew,gh GHA,FW MF,Crystal Palace,30,1991,38,31,2 714,30.2,4,3,7,4,0,0,5,0,03.févr,03.févr,03.févr,06.avr,83,63,174,0.13,0.10,0.23,0.13,0.23,0.10,0.11,0.21,0.10,0.21
Luke Ayling,eng ENG,DF,Leeds United,30,1991,29,22,2 054,22.août,2,1,3,2,0,0,3,0,03.févr,03.févr,2.0,05.févr,28,77,100,0.09,0.04,0.13,0.09,0.13,0.14,0.09,0.23,0.14,0.23
