Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,22,20,1 777,19.juil,0,1,1,0,0,0,2,0,01.avr,01.avr,0.7,02.janv,38,103,87,0.00,0.05,0.05,0.00,0.05,0.07,0.04,0.11,0.07,0.11
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22,12,1 04,11.juin,6,1,7,6,0,0,0,0,05.sept,05.sept,0.7,06.juin,12,11,66,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57
Che Adams,sct SCO,FW,Southampton,24,1996,36,30,2 667,29.juin,9,5,14,9,0,0,1,0,09.août,09.août,5.0,14.août,32,57,149,0.30,0.17,0.47,0.30,0.47,0.33,0.17,0.50,0.33,0.50
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,33,33,2 953,32.8,0,0,0,0,0,0,1,0,01.janv,01.janv,0.3,01.avr,5,75,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Adrián,es ESP,GK,Liverpool,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Agüero,ar ARG,FW,Manchester City,32,1988,12,7,559,06.févr,4,1,5,3,1,2,0,0,03.mai,01.sept,01.févr,03.janv,12,12,39,0.64,0.16,0.81,0.48,0.64,0.56,0.19,0.75,0.31,0.50
Ola Aina,ng NGA,DF,Fulham,23,1996,31,31,2 664,29.juin,2,1,3,2,0,0,3,0,01.févr,01.févr,01.mai,02.août,63,106,50,0.07,0.03,0.10,0.07,0.10,0.04,0.05,0.09,0.04,0.09
Rayan Aït-Nouri,dz ALG,DF,Wolves,19,2001,21,16,1 404,15.juin,1,1,2,1,0,0,1,0,0.6,0.6,0.6,01.févr,47,54,85,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08
Semi Ajayi,ng NGA,DF,West Brom,26,1993,33,31,2 78,30.sept,2,0,2,2,0,0,3,1,01.sept,01.sept,0.5,02.avr,13,73,7,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08
Nathan Aké,nl NED,DF,Manchester City,25,1995,10,9,797,08.sept,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3,12,52,6,0.11,0.00,0.11,0.11,0.11,0.03,0.00,0.03,0.03,0.03
Marc Albrighton,eng ENG,DF FW,Leicester City,30,1989,31,17,1 746,19.avr,1,5,6,1,0,0,2,0,01.févr,01.févr,03.mai,04.juil,46,84,139,0.05,0.26,0.31,0.05,0.31,0.06,0.18,0.24,0.06,0.24
Thiago Alcántara,es ESP,MF,Liverpool,29,1991,24,20,1 854,20.juin,1,0,1,1,0,0,4,0,01.févr,01.févr,02.mars,03.mai,27,203,25,0.05,0.00,0.05,0.05,0.05,0.06,0.11,0.17,0.06,0.17
Toby Alderweireld,be BEL,DF,Tottenham,31,1989,25,25,2 24,24.sept,1,0,1,1,0,0,2,0,0.7,0.7,0.7,01.avr,3,59,1,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,36,34,3 031,33.7,2,7,9,2,0,0,2,0,02.juin,02.juin,08.juin,11.févr,98,251,249,0.06,0.21,0.27,0.06,0.27,0.08,0.26,0.33,0.08,0.33
