Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,25,19,1 822,20.févr,1,4,5,1,0,0,6,0,0.4,0.4,2.0,02.avr,38,77,95,0.05,0.20,0.25,0.05,0.25,0.02,0.10,0.12,0.02,0.12
Ridle Baku,de GER,DF FW,Wolfsburg,23,1998,34,28,2 446,27.févr,3,5,8,3,0,0,4,0,01.août,01.août,05.mars,07.janv,74,104,171,0.11,0.18,0.29,0.11,0.29,0.07,0.19,0.26,0.07,0.26
Aymen Barkok,ma MAR,MF DF,Eint Frankfurt,23,1998,5,2,160,01.août,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,9,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,31,20,1 789,19.sept,1,2,3,1,0,0,3,0,02.mai,02.mai,02.juil,05.janv,15,54,53,0.05,0.10,0.15,0.05,0.15,0.12,0.14,0.26,0.12,0.26
Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,24,20,1 632,18.janv,2,0,2,2,0,0,1,0,0.2,0.2,0.4,0.7,25,42,24,0.11,0.00,0.11,0.11,0.11,0.01,0.02,0.04,0.01,0.04
Abdourahmane Barry,gn GUI,DF,Greuther Fürth,21,2000,8,1,210,02.mars,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,8,12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,26,18,1 69,18.août,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,4,27,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,33,2 97,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timo Baumgartl,de GER,DF,Union Berlin,25,1996,25,25,2 166,24.janv,1,2,3,1,0,0,5,0,01.mai,01.mai,1.0,02.mai,7,103,14,0.04,0.08,0.12,0.04,0.12,0.06,0.04,0.10,0.06,0.10
Julian Baumgartlinger,at AUT,MF FW,Leverkusen,33,1988,6,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christoph Baumgartner,at AUT,MF FW,Hoffenheim,21,1999,29,23,1 888,21.0,7,2,9,7,0,0,5,0,7.0,7.0,03.juil,10.août,34,83,116,0.33,0.10,0.43,0.33,0.43,0.33,0.18,0.51,0.33,0.51
Noah Joel Sarenren Bazee,ng NGA,MF FW,Augsburg,24,1996,14,1,241,02.juil,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,10,5,26,0.37,0.00,0.37,0.37,0.37,0.22,0.09,0.31,0.22,0.31
Ihlas Bebou,tg TOG,FW DF,Hoffenheim,27,1994,28,25,2 091,23.févr,7,2,9,7,0,0,0,0,09.avr,09.avr,01.juin,11.0,48,55,166,0.30,0.09,0.39,0.30,0.39,0.41,0.07,0.47,0.41,0.47
Sheraldo Becker,sr SUR,FW MF,Union Berlin,26,1995,28,22,1 758,19.mai,4,6,10,4,0,0,4,0,02.avr,02.avr,06.août,09.janv,82,58,195,0.20,0.31,0.51,0.20,0.51,0.12,0.35,0.47,0.12,0.47
Kevin Behrens,de GER,FW,Union Berlin,30,1991,24,2,499,05.mai,2,2,4,2,0,0,1,0,02.avr,02.avr,01.juin,4.0,9,16,48,0.36,0.36,0.72,0.36,0.72,0.44,0.29,0.73,0.44,0.73
Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,26,17,1 636,18.févr,5,2,7,4,1,1,1,0,03.juil,3.0,02.févr,05.févr,35,34,129,0.28,0.11,0.39,0.22,0.33,0.21,0.12,0.33,0.16,0.28
Stefan Bell,de GER,DF,Mainz 05,29,1991,33,33,2 864,31.août,2,0,2,2,0,0,9,0,01.juil,01.juil,01.avr,03.janv,13,93,15,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.10,0.05,0.10
Armel Bella Kotchap,de GER,DF,Bochum,19,2001,22,20,1 768,19.juin,0,0,0,0,0,0,5,0,0.6,0.6,0.1,0.6,9,37,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Karim Bellarabi,de GER,FW MF,Leverkusen,31,1990,16,9,683,07.juin,3,2,5,3,0,0,2,0,2.0,2.0,01.févr,03.févr,24,17,69,0.40,0.26,0.66,0.40,0.66,0.27,0.15,0.42,0.27,0.42
Jude Bellingham,eng ENG,MF,Dortmund,18,2003,32,32,2 79,31.0,3,8,11,3,0,0,9,0,04.août,04.août,6.0,10.août,78,144,138,0.10,0.26,0.35,0.10,0.35,0.15,0.19,0.35,0.15,0.35
George Bello,us USA,DF,Arminia,19,2002,10,3,434,04.août,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,13,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
László Bénes,sk SVK,MF,Gladbach,23,1997,13,2,246,02.juil,0,0,0,0,0,0,0,0,0.6,0.6,0.6,01.févr,6,13,9,0.00,0.00,0.00,0.00,0.00,0.21,0.23,0.44,0.21,0.44
Keanan Bennetts,eng ENG,FW DF,Gladbach,22,1999,4,0,50,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Ramy Bensebaini,dz ALG,DF,Gladbach,26,1995,23,22,2 02,22.avr,4,1,5,2,2,2,6,0,03.juil,02.janv,0.9,3.0,26,72,66,0.18,0.04,0.22,0.09,0.13,0.17,0.04,0.22,0.10,0.14
Jordan Beyer,de GER,DF,Gladbach,21,2000,17,15,1 384,15.avr,0,0,0,0,0,0,5,0,0.6,0.6,0.3,0.9,25,46,30,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Bartosz Białek,pl POL,FW DF,Wolfsburg,19,2001,12,1,178,2.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,4,14,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.24,0.19,0.24
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tom Bischof,de GER,MF,Hoffenheim,16,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Danny Blum,de GER,FW,Bochum,30,1991,13,2,346,03.août,2,0,2,2,0,0,0,0,0.8,0.8,01.janv,01.sept,9,10,34,0.52,0.00,0.52,0.52,0.52,0.21,0.29,0.50,0.21,0.50
Kevin-Prince Boateng,gh GHA,MF FW,Hertha BSC,34,1987,18,8,696,07.juil,0,0,0,0,0,0,8,0,0.3,0.3,0.5,0.8,0,35,21,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Herbert Bockhorn,ug UGA,DF,Bochum,26,1995,18,7,850,09.avr,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,31,24,27,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Jean-Paul Boëtius,sr SUR,MF,Mainz 05,27,1994,33,19,1 8,20.0,2,2,4,2,0,0,3,0,1.0,1.0,02.juil,03.juil,17,119,49,0.10,0.10,0.20,0.10,0.20,0.05,0.13,0.19,0.05,0.19
Tarsis Bonga,de GER,MF FW,Bochum,24,1997,3,0,17,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,janv.24,0.00,janv.24,janv.24,janv.24
Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,27,23,2 007,22.mars,1,0,1,1,0,0,4,0,01.janv,01.janv,0.2,01.mars,0,35,5,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,31,28,2 378,26.avr,8,4,12,8,0,0,5,0,07.mai,07.mai,03.mai,11.0,43,60,168,0.30,0.15,0.45,0.30,0.45,0.29,0.13,0.42,0.29,0.42
Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,23,22,1 898,21.janv,0,0,0,0,0,0,1,1,0.8,0.8,0.2,1.0,4,18,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Julian Brandt,de GER,MF FW,Dortmund,25,1996,31,22,2 078,23.janv,9,8,17,9,0,0,3,0,04.sept,04.sept,04.juin,09.avr,66,126,171,0.39,0.35,0.74,0.39,0.74,0.21,0.20,0.41,0.21,0.41
Iker Bravo,es ESP,FW,Leverkusen,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,1,0,21,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,3,0.00,avr.29,avr.29,0.00,avr.29,0.00,janv.50,janv.50,0.00,janv.50
Brian Brobbey,nl NED,FW MF,RB Leipzig,19,2002,9,1,131,01.mai,0,2,2,0,0,0,0,0,0.6,0.6,0.7,01.avr,1,2,12,0.00,janv.37,janv.37,0.00,janv.37,0.42,0.51,0.93,0.42,0.93
John Brooks,us USA,DF,Wolfsburg,28,1993,31,29,2 615,29.janv,1,1,2,1,0,0,2,0,0.7,0.7,0.4,01.janv,22,130,4,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04
Daniel Brosinski,de GER,DF,Mainz 05,33,1988,11,4,390,04.mars,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,9,21,24,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
Cédric Brunner,ch SUI,DF,Arminia,27,1994,27,26,2 183,24.mars,0,1,1,0,0,0,6,0,0.2,0.2,01.févr,01.mai,23,82,45,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06
Jacob Bruun Larsen,dk DEN,FW MF,Hoffenheim,22,1998,25,9,812,9.0,4,0,4,4,0,0,1,0,02.août,02.août,2.0,04.août,31,27,106,0.44,0.00,0.44,0.44,0.44,0.31,0.22,0.53,0.31,0.53
Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14,14,1 26,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delano Burgzorg,sr SUR,MF,Mainz 05,22,1998,3,0,27,0.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,0,3,mars.33,0.00,mars.33,mars.33,mars.33,0.85,0.00,0.85,0.85,0.85
Jonathan Burkardt,de GER,FW MF,Mainz 05,21,2000,34,32,2 611,29.0,11,3,14,10,1,1,0,0,12.août,12.0,02.juil,14.août,64,64,200,0.38,0.10,0.48,0.34,0.45,0.44,0.09,0.54,0.42,0.51
Roman Bürki,ch SUI,GK,Dortmund,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Daniel Caligiuri,it ITA,DF MF,Augsburg,33,1988,28,24,2 004,22.mars,4,2,6,1,3,3,4,0,04.mars,01.sept,02.avr,04.mars,52,77,90,0.18,0.09,0.27,0.04,0.13,0.19,0.11,0.30,0.08,0.19
Emre Can,de GER,DF MF,Dortmund,27,1994,24,19,1 69,18.août,5,1,6,1,4,4,5,0,03.mars,0.2,0.8,1.0,31,119,19,0.27,0.05,0.32,0.05,0.11,0.18,0.04,0.22,0.01,0.05
Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28,28,2 52,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gonzalo Castro,de GER,MF FW,Arminia,34,1987,12,4,436,04.août,1,1,2,1,0,0,0,0,0.8,0.8,0.4,01.févr,7,13,15,0.21,0.21,0.41,0.21,0.41,0.17,0.07,0.24,0.17,0.24
Julian Chabot,de GER,DF,Köln,23,1998,4,2,209,02.mars,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,17,15,1 212,13.mai,0,0,0,0,0,0,4,0,0.5,0.5,0.6,01.févr,16,40,63,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Justin Che,us USA,FW DF,Hoffenheim,17,2003,2,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Max Christiansen,de GER,MF,Greuther Fürth,24,1996,27,22,2 054,22.août,0,0,0,0,0,0,5,0,0.4,0.4,0.5,0.9,8,79,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Kingsley Coman,fr FRA,FW DF,Bayern Munich,25,1996,21,16,1 359,15.janv,6,2,8,6,0,0,1,1,4.0,4.0,3.0,7.0,83,55,233,0.40,0.13,0.53,0.40,0.53,0.26,0.20,0.46,0.26,0.46
Lucas Copado,de GER,FW,Bayern Munich,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Sergio Córdova,ve VEN,FW MF,Augsburg,23,1997,13,2,328,03.juin,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,6,9,16,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22
Danny da Costa,de GER,DF MF,Eint Frankfurt,28,1993,11,7,725,08.janv,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,12,30,29,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Tanguy Coulibaly,fr FRA,FW MF,Stuttgart,20,2001,21,11,1 079,12.0,0,1,1,0,0,0,8,0,0.8,0.8,0.6,01.avr,27,14,88,0.00,0.08,0.08,0.00,0.08,0.07,0.05,0.12,0.07,0.12
Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,mars.46,mars.46,0.00,mars.46
Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,1,1,64,0.7,0,1,1,0,0,0,0,0,0.3,0.3,0.9,01.févr,2,1,1,0.00,janv.41,janv.41,0.00,janv.41,0.40,janv.24,janv.64,0.40,janv.64
Rafael Czichos,de GER,DF,Köln,31,1990,17,16,1 402,15.juin,0,1,1,0,0,0,4,0,0.1,0.1,0.4,0.5,19,87,3,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03
Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,4,1,131,01.mai,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
