Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Moussa Konaté,24,Senegal,Centre-Forward,4000000,FC Sion,3500000
Enzo Crivelli,22,France,Centre-Forward,4000000,FC Girondins Bordeaux,4000000
Thomas Touré,23,Cote d'Ivoire,Centre-Forward,1500000,FC Girondins Bordeaux,3000000
Lassana Coulibaly,21,Mali,Central Midfield,1250000,SC Bastia,2000000
Nicolas de Préville,26,France,Centre-Forward,5500000,LOSC Lille,8000000
Jonathan Cafu,26,Brazil,Right Winger,10000000,Ludogorets Razgrad,7500000
Lukas Lerager,23,Denmark,Central Midfield,2500000,Zulte Waregem,3500000
Adam Ounas,20,Algeria,Right Winger,4000000,SSC Napoli,12000000
Nicolas Pépé,22,Cote d'Ivoire,Right Winger,3000000,Angers SCO,18000000
Luiz Araújo,21,Brazil,Right Winger,500000,São Paulo,10500000
Xeka,22,Portugal,Central Midfield,1250000,SC Braga,5000000
Nicolas de Préville,26,France,Centre-Forward,5500000,KV Oostende,4500000
Martin Terrier,20,France,Left Winger,12000000,LOSC Lille,11000000
Bertrand Traoré,21,Burkina Faso,Right Winger,8000000,Chelsea,10000000
Pape Cheikh,20,Senegal,Central Midfield,800000,Celta de Vigo,10000000
Mariano Diaz,23,Dominican Republic,Centre-Forward,5000000,Real Madrid,8000000
Konstantinos Mitroglou,29,Greece,Centre-Forward,12000000,SL Benfica,15000000
Florian Thauvin,24,France,Second Striker,18000000,Newcastle United,11000000
Valère Germain,27,France,Centre-Forward,10000000,AS Monaco,8000000
Clinton N'Jie,23,Cameroon,Right Winger,7000000,Tottenham Hotspur,7000000
Keita Baldé,22,Senegal,Left Winger,25000000,SS Lazio,30000000
Youri Tielemans,20,Belgium,Central Midfield,22000000,RSC Anderlecht,25000000
Pietro Pellegri,16,Italy,Centre-Forward,8000000,Genoa,20900000
Stevan Jovetić,27,Montenegro,Second Striker,10000000,Inter Milan,10500000
Adama Diakhaby,21,France,Attacking Midfield,1500000,Stade Rennais FC,10000000
Allan Saint-Maximin,20,France,Left Winger,3000000,AS Monaco,10000000
Jean-Victor Makengo,19,France,Central Midfield,900000,SM Caen,6000000
Neymar,25,Brazil,Attacking Midfield,100000000,FC Barcelona,222000000
Ismaïla Sarr,19,Senegal,Right Winger,2500000,FC Metz,17000000
Rafik Guitane,18,Algeria,Right Winger,150000,Le Havre AC,8000000
Diafra Sakho,28,Senegal,Centre-Forward,8000000,West Ham United,5000000
Loïs Diony,24,France,Centre-Forward,3000000,Dijon FCO,10000000
