Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Tanguy Ndombélé,21,France,Central Midfield,25000000,Amiens SC,8000000
Samuel Kalu,20,Nigeria,Right Winger,5000000,KAA Gent,8500000
Rafael Leão,19,Portugal,Left Winger,6000000,Sporting CP,20200000
Jonathan Ikoné,20,France,Right Winger,700000,Paris Saint-Germain,5000000
Moussa Dembélé,22,France,Centre-Forward,7000000,Celtic,22000000
Tanguy Ndombélé,21,France,Central Midfield,25000000,Amiens SC,8000000
Lenny Pintor,18,France,Right Winger,500000,Stade Brestois 29,5000000
Aleksandr Golovin,22,Russia,Attacking Midfield,25000000,CSKA Moscow,30000000
Willem Geubbels,16,France,Centre-Forward,6000000,Olympique Lyon,20000000
Nacer Chadli,29,Belgium,Left Winger,15000000,West Bromwich Albion,12000000
Cesc Fàbregas,31,Spain,Central Midfield,25000000,Chelsea,9000000
Kylian Mbappé,19,France,Centre-Forward,120000000,AS Monaco,180000000
Gonçalo Guedes,21,Portugal,Left Winger,40000000,Valencia,40000000
Javier Pastore,29,Argentina,Attacking Midfield,15000000,AS Roma,24700000
Odsonne Édouard,20,France,Centre-Forward,1500000,Celtic,10300000
Jonathan Ikoné,20,France,Right Winger,700000,LOSC Lille,5000000
Jordan,22,United States,Centre-Forward,2500000,Stade Reims,9000000
Wahbi Khazri,27,Tunisia,Left Winger,10000000,Sunderland,7000000
Rémy Cabella,28,France,Attacking Midfield,9000000,Olympique Marseille,6000000
