Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Victor Osimhen,21,Nigeria,Centre-Forward,40000000,Lille,78900000
Vedat Muriqi,26,Kosovo,Centre-Forward,12000000,Fenerbahçe,21000000
Nicolò Barella,23,Italy,Central Midfield,50000000,Cagliari,32500000
Stefano Sensi,25,Italy,Central Midfield,20000000,Sassuolo,25000000
Christian Kouamé,22,Ivory Coast,Centre-Forward,17500000,Genoa,15500000
Alfred Duncan,27,Ghana,Central Midfield,15000000,Sassuolo,15000000
Marko Rog,25,Croatia,Central Midfield,13000000,Napoli,15000000
Giovanni Simeone,25,Argentina,Centre-Forward,15000000,Fiorentina,13000000
Carles Pérez,22,Spain,Right Wing,9000000,Barcelona,13000000
Dennis Man,22,Romania,Right Wing,6500000,FCSB,12600000
Grégoire Defrel,29,France,Centre-Forward,8000000,Roma,11000000
Valentin Mihăilă,20,Romania,Left Wing,2500000,CS U Craiova,9100000
Yann Karamoh,22,France,Left Wing,7500000,Inter,8000000
Mikkel Damsgaard,20,Denmark,Attacking Midfield,6500000,Nordsjælland,6750000
Hernani,26,Brazil,Central Midfield,5500000,Zenit,6470000
Simon Sohm,19,Switzerland,Central Midfield,1100000,FC Zurich,6400000
