Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,Club
Marcel Sabitzer,27,Austria,Central Midfield,42000000,RB Leipzig,15000000,Bayern Munich
Donyell Malen,22,Netherlands,Right Winger,30000000,PSV Eindhoven,30000000,Borussia Dortmund
Jonas Wind,22,Denmark,Centre-Forward,7000000,FC Copenhagen,12000000,VfL Wolfsburg
Luca Waldschmidt,25,Germany,Centre-Forward,15000000,Benfica,12000000,VfL Wolfsburg
Lukas Nmecha,22,Germany,Centre-Forward,12000000,Manchester City,8000000,VfL Wolfsburg
Maximilian Philipp,27,Germany,Second Striker,7000000,Dynamo Moscow,7500000,VfL Wolfsburg
Aster Vranckx,18,Belgium,Central Midfield,6800000,KV Mechelen,8000000,VfL Wolfsburg
Kevin Paredes,18,USA,Left Midfield,4000000,D.C. United,6680000,VfL Wolfsburg
Jesper Lindstrøm,21,Denmark,Right Winger,7000000,Brøndby IF,7000000,Eintracht Frankfurt
Amine Adli,21,Morocco,Left Winger,6000000,Toulouse,7500000,Bayer Leverkusen
Taiwo Awoniyi,23,Nigeria,Centre-Forward,5000000,Liverpool,8550000,1.FC Union Berlin
Hannes Wolf,22,Austria,Right Winger,8000000,RB Leipzig,9500000,Borussia Mönchengladbach
Ricardo Pepi,18,USA,Centre-Forward,8000000,FC Dallas,16360000,FC Augsburg
Suat Serdar,24,Germany,Central Midfield,9000000,FC Schalke 04,8000000,Hertha BSC
Marco Richter,23,Germany,Attacking Midfield,5000000,FC Augsburg,7100000,Hertha BSC
