Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
Willem Geubbels,16,France,Centre-Forward,6000000,Olympique Lyon,20000000.0,Ligue_1_2018.csv,Ligue 1,,
Nacer Chadli,29,Belgium,Left Winger,15000000,West Bromwich Albion,12000000.0,Ligue_1_2018.csv,Ligue 1,,
Cesc Fàbregas,31,Spain,Central Midfield,25000000,Chelsea,9000000.0,Ligue_1_2018.csv,Ligue 1,,
Kylian Mbappé,19,France,Centre-Forward,120000000,AS Monaco,180000000.0,Ligue_1_2018.csv,Ligue 1,,
Gonçalo Guedes,21,Portugal,Left Winger,40000000,Valencia,40000000.0,Ligue_1_2018.csv,Ligue 1,,
Javier Pastore,29,Argentina,Attacking Midfield,15000000,AS Roma,24700000.0,Ligue_1_2018.csv,Ligue 1,,
Odsonne Édouard,20,France,Centre-Forward,1500000,Celtic,10300000.0,Ligue_1_2018.csv,Ligue 1,,
Jonathan Ikoné,20,France,Right Winger,700000,LOSC Lille,5000000.0,Ligue_1_2018.csv,Ligue 1,,
Jordan,22,United States,Centre-Forward,2500000,Stade Reims,9000000.0,Ligue_1_2018.csv,Ligue 1,,
Wahbi Khazri,27,Tunisia,Left Winger,10000000,Sunderland,7000000.0,Ligue_1_2018.csv,Ligue 1,,
Rémy Cabella,28,France,Attacking Midfield,9000000,Olympique Marseille,6000000.0,Ligue_1_2018.csv,Ligue 1,,
Thorgan Hazard,26,Belgium,Attacking Midfield,38000000,Borussia Mönchengladbach,25500000.0,Bundesliga_2019.csv,Bundesliga,Borussia Dortmund,
Julian Brandt,23,Germany,Attacking Midfield,50000000,Bayer Leverkusen,25000000.0,Bundesliga_2019.csv,Bundesliga,Borussia Dortmund,
Paco Alcácer,25,Spain,Centre-Forward,37000000,Barcelona,21000000.0,Bundesliga_2019.csv,Bundesliga,Borussia Dortmund,
Erling Haaland,19,Norway,Centre-Forward,45000000,Red Bull Salzburg,20000000.0,Bundesliga_2019.csv,Bundesliga,Borussia Dortmund,
Dani Olmo,21,Spain,Attacking Midfield,35000000,Dinamo Zagreb,34200000.0,Bundesliga_2019.csv,Bundesliga,RB Leipzig,
Christopher Nkunku,21,France,Centre-Forward,12000000,PSG,19500000.0,Bundesliga_2019.csv,Bundesliga,RB Leipzig,
Ademola Lookman,21,England,Second Striker,20000000,Everton,18000000.0,Bundesliga_2019.csv,Bundesliga,RB Leipzig,
Hannes Wolf,20,Austria,Right Winger,12000000,Red Bull Salzburg,12000000.0,Bundesliga_2019.csv,Bundesliga,RB Leipzig,
Kerem Demirbay,25,Germany,Central Midfield,32000000,TSG Hoffenheim,32000000.0,Bundesliga_2019.csv,Bundesliga,Bayer Leverkusen,
Exequiel Palacios,21,Argentina,Central Midfield,25000000,River Plate,17000000.0,Bundesliga_2019.csv,Bundesliga,Bayer Leverkusen,
Moussa Diaby,19,France,Right Winger,12000000,PSG,15000000.0,Bundesliga_2019.csv,Bundesliga,Bayer Leverkusen,
Nadiem Amiri,22,Germany,Central Midfield,17000000,TSG Hoffenheim,10500000.0,Bundesliga_2019.csv,Bundesliga,Bayer Leverkusen,
Breel Embolo,22,Switzerland,Centre-Forward,14000000,FC Schalke 04,11000000.0,Bundesliga_2019.csv,Bundesliga,Borussia Mönchengladbach,
Marcus Thuram,21,France,Centre-Forward,9000000,Guingamp,9000000.0,Bundesliga_2019.csv,Bundesliga,Borussia Mönchengladbach,
Xaver Schlager,21,Austria,Central Midfield,15000000,Red Bull Salzburg,12000000.0,Bundesliga_2019.csv,Bundesliga,VfL Wolfsburg,
Luka Jović,21,Serbia,Centre-Forward,60000000,Benfica,22340000.0,Bundesliga_2019.csv,Bundesliga,Eintracht Frankfurt,
Djibril Sow,22,Switzerland,Central Midfield,9000000,Young Boys,14000000.0,Bundesliga_2019.csv,Bundesliga,Eintracht Frankfurt,
Bas Dost,30,Netherlands,Centre-Forward,17000000,Sporting CP,7000000.0,Bundesliga_2019.csv,Bundesliga,Eintracht Frankfurt,
Filip Kostić,26,Serbia,Left Midfield,22000000,Hamburger SV,6300000.0,Bundesliga_2019.csv,Bundesliga,Eintracht Frankfurt,
Niclas Füllkrug,26,Germany,Centre-Forward,8000000,Hannover 96,6500000.0,Bundesliga_2019.csv,Bundesliga,SV Werder Bremen,
Munas Dabbur,27,Israel,Centre-Forward,10000000,Sevilla FC,12000000.0,Bundesliga_2019.csv,Bundesliga,TSG Hoffenheim,
Robert Skov,23,Denmark,Left Midfield,13000000,FC Copenhagen,10000000.0,Bundesliga_2019.csv,Bundesliga,TSG Hoffenheim,
Ihlas Bebou,25,Togo,Centre-Forward,12000000,Hannover 96,9000000.0,Bundesliga_2019.csv,Bundesliga,TSG Hoffenheim,
Jacob Bruun Larsen,21,Denmark,Left Winger,12000000,Borussia Dortmund,9000000.0,Bundesliga_2019.csv,Bundesliga,TSG Hoffenheim,
Lucas Tousart,22,France,Central Midfield,20000000,Olympique Lyon,25000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,
Krzysztof Piątek,24,Poland,Centre-Forward,32000000,AC Milan,24000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,
Dodi Lukebakio,21,Belgium,Right Winger,18000000,Watford,20000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,
Matheus Cunha,20,Brazil,Second Striker,13000000,RB Leipzig,18000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,
Edward Löwen,22,Germany,Central Midfield,7000000,1.FC Nuremberg,7000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,
Vincenzo Grifo,26,Italy,Left Winger,9000000,TSG Hoffenheim,7000000.0,Bundesliga_2019.csv,Bundesliga,SC Freiburg,
David Kownacki,22,Poland,Centre-Forward,7500000,Sampdoria,6750000.0,Bundesliga_2019.csv,Bundesliga,Fortuna Düsseldorf,
Benito Raman,24,Belgium,Centre-Forward,12000000,Fortuna Düsseldorf,10000000.0,Bundesliga_2019.csv,Bundesliga,FC Schalke 04,
Michael Cuisance,20,France,Central Midfield,5000000,Borussia Mönchengladbach,8000000.0,Bundesliga_2019.csv,Bundesliga,Bayern Munich,
Marcel Sabitzer,27,Austria,Central Midfield,42000000,RB Leipzig,15000000.0,Bundesliga_2021.csv,Bundesliga,Bayern Munich,
Donyell Malen,22,Netherlands,Right Winger,30000000,PSV Eindhoven,30000000.0,Bundesliga_2021.csv,Bundesliga,Borussia Dortmund,
Jonas Wind,22,Denmark,Centre-Forward,7000000,FC Copenhagen,12000000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,
Luca Waldschmidt,25,Germany,Centre-Forward,15000000,Benfica,12000000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,
Lukas Nmecha,22,Germany,Centre-Forward,12000000,Manchester City,8000000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,
Maximilian Philipp,27,Germany,Second Striker,7000000,Dynamo Moscow,7500000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,
Aster Vranckx,18,Belgium,Central Midfield,6800000,KV Mechelen,8000000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,
Kevin Paredes,18,USA,Left Midfield,4000000,D.C. United,6680000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,
Jesper Lindstrøm,21,Denmark,Right Winger,7000000,Brøndby IF,7000000.0,Bundesliga_2021.csv,Bundesliga,Eintracht Frankfurt,
Amine Adli,21,Morocco,Left Winger,6000000,Toulouse,7500000.0,Bundesliga_2021.csv,Bundesliga,Bayer Leverkusen,
Taiwo Awoniyi,23,Nigeria,Centre-Forward,5000000,Liverpool,8550000.0,Bundesliga_2021.csv,Bundesliga,1.FC Union Berlin,
Hannes Wolf,22,Austria,Right Winger,8000000,RB Leipzig,9500000.0,Bundesliga_2021.csv,Bundesliga,Borussia Mönchengladbach,
Ricardo Pepi,18,USA,Centre-Forward,8000000,FC Dallas,16360000.0,Bundesliga_2021.csv,Bundesliga,FC Augsburg,
Suat Serdar,24,Germany,Central Midfield,9000000,FC Schalke 04,8000000.0,Bundesliga_2021.csv,Bundesliga,Hertha BSC,
Marco Richter,23,Germany,Attacking Midfield,5000000,FC Augsburg,7100000.0,Bundesliga_2021.csv,Bundesliga,Hertha BSC,
,25,Brazil,Centre-Forward,50000000,Manchester City,52200000.0,premier_league_2022.csv,Premier League,,Gabriel Jesus
,22,Portugal,Attacking Midfield,25000000,FC Porto,35000000.0,premier_league_2022.csv,Premier League,,Fábio Vieira
,28,Belgium,Left Winger,30000000,Brighton & Hove Albion,24000000.0,premier_league_2022.csv,Premier League,,Leandro Trossard
