Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
Ibrahima Koné,24,Mali,Centre-Forward,4000000,FC Lorient,7500000.0,La_Liga_2023.csv,La Liga,,
Raúl García,22,Spain,Centre-Forward,4000000,Real Betis,6500000.0,La_Liga_2023.csv,La Liga,,
Johnny Cardoso,22,United States,Central Midfield,6000000,Internacional,6000000.0,La_Liga_2023.csv,La Liga,,
Sergio Arribas,21,Spain,Attacking Midfield,5000000,RM Castilla,6000000.0,La_Liga_2023.csv,La Liga,,
Samu Aghehowa,19,Nigeria,Centre-Forward,200000,Granada CF,6000000.0,La_Liga_2023.csv,La Liga,,
Jhon Solís,18,Colombia,Central Midfield,700000,Atl. Nacional,6000000.0,La_Liga_2023.csv,La Liga,,
Cédric Bakambu,32,DR Congo,Centre-Forward,2800000,Galatasaray,5000000.0,La_Liga_2023.csv,La Liga,,
Yangel Herrera,25,Venezuela,Central Midfield,5000000,Man City,5000000.0,La_Liga_2023.csv,La Liga,,
Sergio Camello,22,Spain,Centre-Forward,10000000,Atlético,5000000.0,La_Liga_2023.csv,La Liga,,
Martin Ødegaard,22,Norway,Attacking Midfield,40000000,Real Madrid,35000000.0,premier_league_2021.csv,Premier League,,
Emiliano Buendía,24,Argentina,Attacking Midfield,35000000,Norwich,38400000.0,premier_league_2021.csv,Premier League,,
Danny Ings,29,England,Centre-Forward,22000000,Southampton,29400000.0,premier_league_2021.csv,Premier League,,
Enock Mwepu,23,Zambia,Central Midfield,13000000,Salzburg,23000000.0,premier_league_2021.csv,Premier League,,
Deniz Undav,25,Germany,Centre-Forward,5000000,Union SG,7000000.0,premier_league_2021.csv,Premier League,,
Wout Weghorst,29,Netherlands,Centre-Forward,20000000,Wolfsburg,17500000.0,premier_league_2021.csv,Premier League,,
Romelu Lukaku,28,Belgium,Centre-Forward,100000000,Inter,113000000.0,premier_league_2021.csv,Premier League,,
Odsonne Édouard,23,France,Centre-Forward,17000000,Celtic,16300000.0,premier_league_2021.csv,Premier League,,
Jean-Philippe Mateta,24,France,Centre-Forward,5000000,Mainz,11000000.0,premier_league_2021.csv,Premier League,,
Will Hughes,26,England,Central Midfield,7000000,Watford,7000000.0,premier_league_2021.csv,Premier League,,
Patson Daka,22,Zambia,Centre-Forward,22000000,Salzburg,30000000.0,premier_league_2021.csv,Premier League,,
Julián Alvarez,22,Argentina,Centre-Forward,20000000,River Plate,21400000.0,premier_league_2021.csv,Premier League,,
Cristiano Ronaldo,36,Portugal,Centre-Forward,45000000,Juventus,17000000.0,premier_league_2021.csv,Premier League,,
Bruno Guimarães,24,Brazil,Central Midfield,30000000,Lyon,42100000.0,premier_league_2021.csv,Premier League,,
Joe Willock,21,England,Central Midfield,16000000,Arsenal,29400000.0,premier_league_2021.csv,Premier League,,
Josh Sargent,21,USA,Centre-Forward,8000000,Werder Bremen,9500000.0,premier_league_2021.csv,Premier League,,
Adam Armstrong,24,England,Centre-Forward,18000000,Blackburn,17700000.0,premier_league_2021.csv,Premier League,,
Rodrigo Bentancur,24,Uruguay,Central Midfield,25000000,Juventus,19000000.0,premier_league_2021.csv,Premier League,,
Pape Matar Sarr,18,Senegal,Central Midfield,10000000,FC Metz,16900000.0,premier_league_2021.csv,Premier League,,
Imrân Louza,22,Morocco,Central Midfield,12000000,FC Nantes,10000000.0,premier_league_2021.csv,Premier League,,
Nikola Vlašić,23,Croatia,Attacking Midfield,30000000,CSKA Moscow,30000000.0,premier_league_2021.csv,Premier League,,
Thomas Lemar,22,France,Attacking Midfield,65000000,Monaco,72000000.0,La_Liga_2018.csv,La Liga,,
Gerard Moreno,26,Spain,Centre-Forward,20000000,Espanyol,20000000.0,La_Liga_2018.csv,La Liga,,
Karl Toko Ekambi,25,Cameroon,Centre-Forward,18000000,Angers SCO,18000000.0,La_Liga_2018.csv,La Liga,,
Fran Beltrán,19,Spain,Central Midfield,2000000,Rayo Vallecano,8000000.0,La_Liga_2018.csv,La Liga,,
Nemanja Maksimovic,23,Serbia,Central Midfield,5000000,Valencia,10000000.0,La_Liga_2018.csv,La Liga,,
Youssef En-Nesyri,21,Morocco,Centre-Forward,6000000,Málaga CF,6000000.0,La_Liga_2018.csv,La Liga,,
Borja Iglesias,25,Spain,Centre-Forward,1000000,Celta de Vigo,10000000.0,La_Liga_2018.csv,La Liga,,
Raphael Dwamena,22,Ghana,Centre-Forward,6000000,FC Zurich,6200000.0,La_Liga_2018.csv,La Liga,,
Sergi Darder,24,Spain,Central Midfield,11000000,Lyon,8000000.0,La_Liga_2018.csv,La Liga,,
Nikola Kalinić,30,Croatia,Centre-Forward,14000000,AC Milan,14500000.0,La_Liga_2018.csv,La Liga,,
Roger Martínez,24,Colombia,Centre-Forward,2500000,JS Suning,14900000.0,La_Liga_2018.csv,La Liga,,
William Carvalho,26,Portugal,Defensive Midfield,25000000,Sporting,18500000.0,La_Liga_2018.csv,La Liga,,
Arturo Vidal,31,Chile,Central Midfield,35000000,Bayern Munich,18000000.0,La_Liga_2018.csv,La Liga,,
Ferran Torres,21,Spain,Centre-Forward,45000000,Man City,55000000.0,La_Liga_2021.csv,La Liga,,
Rodrigo De Paul,27,Argentina,Central Midfield,38000000,Udinese,35000000.0,La_Liga_2021.csv,La Liga,,
Matheus Cunha,22,Brazil,Second Striker,30000000,Hertha BSC,35000000.0,La_Liga_2021.csv,La Liga,,
Eduardo Camavinga,18,France,Central Midfield,55000000,Stade Rennais,31000000.0,La_Liga_2021.csv,La Liga,,
Rafa Mir,24,Spain,Centre-Forward,12000000,Wolves,16000000.0,La_Liga_2021.csv,La Liga,,
Boulaye Dia,24,Senegal,Centre-Forward,14000000,Stade Reims,12000000.0,La_Liga_2021.csv,La Liga,,
Marcos André,24,Brazil,Centre-Forward,3500000,Real Valladolid,8500000.0,La_Liga_2021.csv,La Liga,,
Ante Budimir,29,Croatia,Centre-Forward,9000000,RCD Mallorca,8000000.0,La_Liga_2021.csv,La Liga,,
Matías Arezo,19,Uruguay,Centre-Forward,7000000,River Plate,5700000.0,La_Liga_2021.csv,La Liga,,
Jakub Jankto,25,Czech Republic,Left Midfield,11000000,Sampdoria,5160000.0,La_Liga_2021.csv,La Liga,,
Carles Aleñá,23,Spain,Central Midfield,15000000,Barcelona,5000000.0,La_Liga_2021.csv,La Liga,,
João Félix,19,Portugal,Second Striker,70000000,Benfica,127200000.0,La_Liga_2019.csv,La Liga,,
Frenkie de Jong,22,Netherlands,Central Midfield,85000000,Ajax,86000000.0,La_Liga_2019.csv,La Liga,,
Antoine Griezmann,28,France,Second Striker,130000000,Atlético,120000000.0,La_Liga_2019.csv,La Liga,,
Luka Jović,21,Serbia,Centre-Forward,60000000,Frankfurt,63000000.0,La_Liga_2019.csv,La Liga,,
Pedri,16,Spain,Central Midfield,0,UD Las Palmas,23000000.0,La_Liga_2019.csv,La Liga,,
Reinier,18,Brazil,Attacking Midfield,25000000,Flamengo,30000000.0,La_Liga_2019.csv,La Liga,,
Martin Braithwaite,28,Denmark,Centre-Forward,10000000,CD Leganés,18000000.0,La_Liga_2019.csv,La Liga,,
Raúl de Tomás,25,Spain,Centre-Forward,15000000,Benfica,22500000.0,La_Liga_2019.csv,La Liga,,
Paco Alcácer,26,Spain,Centre-Forward,42000000,Dortmund,25000000.0,La_Liga_2019.csv,La Liga,,
Borja Iglesias,26,Spain,Centre-Forward,28000000,Espanyol,28000000.0,La_Liga_2019.csv,La Liga,,
Nabil Fekir,26,France,Attacking Midfield,60000000,Lyon,19750000.0,La_Liga_2019.csv,La Liga,,
Denis Suárez,25,Spain,Attacking Midfield,12000000,Barcelona,12900000.0,La_Liga_2019.csv,La Liga,,
Alexander Isak,19,Sweden,Centre-Forward,8000000,Dortmund,15000000.0,La_Liga_2019.csv,La Liga,,
Vitinha,22,Portugal,Centre-Forward,15000000,SC Braga,32000000.0,Ligue_1_2022.csv,Ligue 1,,
Amine Gouiri,22,Algeria,Centre-Forward,42000000,OGC Nice,28000000.0,Ligue_1_2022.csv,Ligue 1,,
Arnaud Kalimuendo,20,France,Centre-Forward,18000000,Paris Saint-Germain,20000000.0,Ligue_1_2022.csv,Ligue 1,,
Ibrahim Salah,21,Morocco,Left Winger,800000,KAA Gent,6500000.0,Ligue_1_2022.csv,Ligue 1,,
Sofiane Diop,22,Morocco,Left Winger,20000000,AS Monaco,22000000.0,Ligue_1_2022.csv,Ligue 1,,
Gaëtan Laborde,28,France,Centre-Forward,18000000,Stade Rennais FC,15000000.0,Ligue_1_2022.csv,Ligue 1,,
Loïs Openda,22,Belgium,Centre-Forward,7500000,Club Brugge,15390000.0,Ligue_1_2022.csv,Ligue 1,,
Adam Buksa,25,Poland,Centre-Forward,9000000,New England Revolution,6000000.0,Ligue_1_2022.csv,Ligue 1,,
Mohamed Bayo,24,Guinea,Centre-Forward,12000000,Clermont Foot 63,14000000.0,Ligue_1_2022.csv,Ligue 1,,
Amin Sarr,21,Sweden,Centre-Forward,3500000,SC Heerenveen,11000000.0,Ligue_1_2022.csv,Ligue 1,,
Jeffinho,23,Brazil,Left Winger,1500000,Botafogo,10000000.0,Ligue_1_2022.csv,Ligue 1,,
Junya Ito,29,Japan,Right Winger,7500000,KRC Genk,10000000.0,Ligue_1_2022.csv,Ligue 1,,
Jean-Victor Makengo,24,France,Central Midfield,7500000,Udinese,11000000.0,Ligue_1_2022.csv,Ligue 1,,
Bamba Dieng,22,Senegal,Centre-Forward,8000000,Olympique Marseille,7000000.0,Ligue_1_2022.csv,Ligue 1,,
Joel Mvuka,20,Norway,Right Winger,1300000,FK Bodø/Glimt,5500000.0,Ligue_1_2022.csv,Ligue 1,,
Savinho,18,Brazil,Left Winger,6000000,Atlético Mineiro,6500000.0,Ligue_1_2022.csv,Ligue 1,,
Charles De Ketelaere,21,Belgium,Attacking Midfield,30000000,Club Brugge,37500000.0,Serie_A_2022.csv,Serie A,,
Junior Messias,31,Brazil,Right Winger,6000000,Crotone,6200000.0,Serie_A_2022.csv,Serie A,,
Joaquín Correa,27,Argentina,Second Striker,23000000,Lazio,27300000.0,Serie_A_2022.csv,Serie A,,
Frank Anguissa,26,Cameroon,Central Midfield,30000000,Fulham,16000000.0,Serie_A_2022.csv,Serie A,,
Khvicha Kvaratskhelia,21,Georgia,Left Winger,15000000,Dinamo Batumi,13300000.0,Serie_A_2022.csv,Serie A,,
Federico Chiesa,24,Italy,Right Winger,65000000,Fiorentina,44600000.0,Serie_A_2022.csv,Serie A,,
Filip Kostić,29,Serbia,Left Midfield,24000000,Frankfurt,14700000.0,Serie_A_2022.csv,Serie A,,
Marcos Antônio,22,Brazil,Central Midfield,8000000,Shakhtar D.,7500000.0,Serie_A_2022.csv,Serie A,,
Mattia Zaccagni,27,Italy,Left Winger,18000000,Hellas Verona,7100000.0,Serie_A_2022.csv,Serie A,,
Antonín Barák,28,Czech Republic,Attacking Midfield,12000000,Hellas Verona,7860000.0,Serie_A_2022.csv,Serie A,,
Éderson,22,Brazil,Central Midfield,13000000,Salernitana,22900000.0,Serie_A_2022.csv,Serie A,,
Jérémie Boga,25,Ivory Coast,Left Winger,19000000,Sassuolo,22000000.0,Serie_A_2022.csv,Serie A,,
Rasmus Højlund,19,Denmark,Centre-Forward,4500000,Sturm Graz,21000000.0,Serie_A_2022.csv,Serie A,,
Ademola Lookman,24,England,Second Striker,10000000,Leipzig,10850000.0,Serie_A_2022.csv,Serie A,,
Giovanni Simeone,26,Argentina,Centre-Forward,17000000,Cagliari,10500000.0,Serie_A_2022.csv,Serie A,,
Thomas Henry,27,France,Centre-Forward,5000000,Venice,5230000.0,Serie_A_2022.csv,Serie A,,
Gianluca Caprari,28,Italy,Second Striker,10000000,Sampdoria,5000000.0,Serie_A_2022.csv,Serie A,,
Agustín Álvarez,21,Uruguay,Centre-Forward,4000000,Peñarol,12000000.0,Serie_A_2022.csv,Serie A,,
Kristian Thorstvedt,23,Norway,Attacking Midfield,5000000,Genk,10150000.0,Serie_A_2022.csv,Serie A,,
Armand Laurienté,23,France,Left Winger,7000000,FC Lorient,10100000.0,Serie_A_2022.csv,Serie A,,
Matheus Henrique,24,Brazil,Central Midfield,11000000,Grêmio,7000000.0,Serie_A_2022.csv,Serie A,,
Janis Antiste,20,France,Centre-Forward,4000000,Spezia Calcio,5680000.0,Serie_A_2022.csv,Serie A,,
Beto,24,Portugal,Centre-Forward,10000000,Portimonense,15000000.0,Serie_A_2022.csv,Serie A,,
Matheus Martins,19,Brazil,Left Winger,7000000,Fluminense,6000000.0,Serie_A_2022.csv,Serie A,,
Joshua Zirkzee,21,Netherlands,Centre-Forward,11000000,Bayern Munich,27500000.0,Serie_A_2022.csv,Serie A,,
Federico Bonazzoli,25,Italy,Centre-Forward,5000000,Sampdoria,5000000.0,Serie_A_2022.csv,Serie A,,
Cyriel Dessers,27,Nigeria,Centre-Forward,6000000,Genk,6500000.0,Serie_A_2022.csv,Serie A,,
Felix Afena-Gyan,19,Ghana,Left Winger,6000000,Roma,6000000.0,Serie_A_2022.csv,Serie A,,
Andrea Colpani,23,Italy,Attacking Midfield,2400000,Atalanta,11000000.0,Serie_A_2022.csv,Serie A,,
Kai Havertz,24,Germany,Centre-Forward,55000000,Chelsea FC,75000000.0,premier_league_2023.csv,Premier League,,
Folarin Balogun,22,England,Centre-Forward,30000000,AS Monaco,30000000.0,premier_league_2023.csv,Premier League,,
Morgan Rogers,21,England,Attacking Midfield,2800000,Middlesbrough FC,9400000.0,premier_league_2023.csv,Premier League,,
Alex Scott,19,Guernsey,Central Midfield,20000000,Bristol City,23000000.0,premier_league_2023.csv,Premier League,,
Justin Kluivert,24,Suriname,Attacking Midfield,14000000,AS Roma,10800000.0,premier_league_2023.csv,Premier League,,
João Pedro,21,Brazil,Centre-Forward,32000000,Watford FC,34200000.0,premier_league_2023.csv,Premier League,,
Valentin Barco,19,Argentina,Central Midfield,13000000,CA Boca Juniors,9150000.0,premier_league_2023.csv,Premier League,,
Alexis Mac Allister,24,Italy,Central Midfield,65000000,Brighton & Hove Albion,42000000.0,premier_league_2023.csv,Premier League,,
Zeki Amdouni,22,Turkey,Centre-Forward,10000000,FC Basel 1893,18600000.0,premier_league_2023.csv,Premier League,,
Aaron Ramsey,20,England,Attacking Midfield,5000000,Aston Villa U21,16450000.0,premier_league_2023.csv,Premier League,,
Christopher Nkunku,25,DR Congo,Centre-Forward,80000000,RB Leipzig,60000000.0,premier_league_2023.csv,Premier League,,
Cole Palmer,21,St. Kitts & Nevis,Attacking Midfield,18000000,Manchester City,47000000.0,premier_league_2023.csv,Premier League,,
Nicolas Jackson,22,The Gambia,Centre-Forward,30000000,Villarreal CF,37000000.0,premier_league_2023.csv,Premier League,,
David Washington,18,Brazil,Centre-Forward,4000000,Santos FC,16000000.0,premier_league_2023.csv,Premier League,,
Mason Mount,24,England,Attacking Midfield,60000000,Arsenal FC,67700000.0,premier_league_2023.csv,Premier League,,
Mateo Kovacic,29,Croatia,Central Midfield,38000000,Manchester City,29100000.0,premier_league_2023.csv,Premier League,,
Ruben Loftus-Cheek,27,Guyana,Central Midfield,25000000,Chelsea FC,18900000.0,premier_league_2023.csv,Premier League,,
Matheus França,19,Brazil,Attacking Midfield,9000000,CR Flamengo,20000000.0,premier_league_2023.csv,Premier League,,
Beto,25,Portugal,Centre-Forward,25000000,Udinese Calcio,25000000.0,premier_league_2023.csv,Premier League,,
Youssef Chermiti,19,Tunisia,Centre-Forward,3000000,Sporting CP,12500000.0,premier_league_2023.csv,Premier League,,
Dominik Szoboszlai,22,Hungary,Attacking Midfield,50000000,RB Leipzig,70000000.0,premier_league_2023.csv,Premier League,,
Claudio Echeverri,18,Argentina,Attacking Midfield,12000000,CA River Plate,18500000.0,premier_league_2023.csv,Premier League,,
Rasmus Højlund,20,Denmark,Centre-Forward,45000000,Atalanta BC,77800000.0,premier_league_2023.csv,Premier League,,
Gustavo Hamer,26,Brazil,Central Midfield,8000000,Coventry City,17300000.0,premier_league_2023.csv,Premier League,,
James Maddison,26,England,Attacking Midfield,60000000,Leicester City,46300000.0,premier_league_2023.csv,Premier League,,
Dejan Kulusevski,23,North Macedonia,Attacking Midfield,50000000,Juventus FC,30000000.0,premier_league_2023.csv,Premier League,,
Alejo Veliz,19,Argentina,Centre-Forward,7000000,CA Rosario Central,15000000.0,premier_league_2023.csv,Premier League,,
Nikola Vlašić,25,Croatia,Attacking Midfield,17000000,West Ham United,10600000.0,premier_league_2023.csv,Premier League,,
Matheus Cunha,24,Brazil,Second Striker,25000000,Atlético de Madrid,50000000.0,premier_league_2023.csv,Premier League,,
Jean-Ricner Bellegarde,25,France,Central Midfield,10000000,RC Strasbourg Alsace,15000000.0,premier_league_2023.csv,Premier League,,
Fred,25,Brazil,Central Midfield,32000000,Shakhtar D.,59000000.0,premier_league_2018.csv,Premier League,,
Xherdan Shaqiri,26,Switzerland,Attacking Midfield,18000000,Stoke City,14700000.0,premier_league_2018.csv,Premier League,,
Richarlison,21,Brazil,Centre-Forward,25000000,Watford,39200000.0,premier_league_2018.csv,Premier League,,
James Maddison,21,England,Attacking Midfield,10000000,Norwich,25000000.0,premier_league_2018.csv,Premier League,,
Yoshinori Muto,26,Japan,Centre-Forward,6000000,Mainz,10700000.0,premier_league_2018.csv,Premier League,,
Gerard Deulofeu,24,Spain,Centre-Forward,14000000,Barcelona,13000000.0,premier_league_2018.csv,Premier League,,
Alexis Mac Allister,20,Argentina,Central Midfield,5000000,Argentinos Jrs.,8000000.0,premier_league_2018.csv,Premier League,,
Florin Andone,25,Romania,Centre-Forward,6000000,Dep. La Coruña,6000000.0,premier_league_2018.csv,Premier League,,
Adama Diakhaby,22,France,Attacking Midfield,5000000,Monaco,10000000.0,premier_league_2018.csv,Premier League,,
Ramadan Sobhi,21,Egypt,Attacking Midfield,7000000,Stoke City,6500000.0,premier_league_2018.csv,Premier League,,
Mohamed Elyounoussi,23,Norway,Second Striker,8500000,Basel,18000000.0,premier_league_2018.csv,Premier League,,
Stuart Armstrong,26,Scotland,Central Midfield,2000000,Celtic,7950000.0,premier_league_2018.csv,Premier League,,
João Moutinho,31,Portugal,Central Midfield,10000000,Monaco,5600000.0,premier_league_2018.csv,Premier League,,
Aleksandar Mitrović,23,Serbia,Centre-Forward,15000000,Newcastle,24700000.0,premier_league_2018.csv,Premier League,,
Bruno Fernandes,25,Portugal,Attacking Midfield,60000000,Sporting,65000000.0,premier_league_2019.csv,Premier League,,
Raúl Jiménez,28,Mexico,Centre-Forward,35000000,Benfica,38000000.0,premier_league_2019.csv,Premier League,,
Patrick Cutrone,21,Italy,Centre-Forward,28000000,AC Milan,18000000.0,premier_league_2019.csv,Premier League,,
Moise Kean,19,Italy,Centre-Forward,40000000,Juventus,27500000.0,premier_league_2019.csv,Premier League,,
André Gomes,25,Portugal,Central Midfield,28000000,Barcelona,25000000.0,premier_league_2019.csv,Premier League,,
Youri Tielemans,22,Belgium,Central Midfield,38000000,Monaco,45000000.0,premier_league_2019.csv,Premier League,,
Ayoze Pérez,25,Spain,Centre-Forward,20000000,Newcastle,33400000.0,premier_league_2019.csv,Premier League,,
Dennis Praet,25,Belgium,Central Midfield,24000000,Sampdoria,19200000.0,premier_league_2019.csv,Premier League,,
Sébastien Haller,25,Ivory Coast,Centre-Forward,40000000,Frankfurt,50000000.0,premier_league_2019.csv,Premier League,,
Pablo Fornals,23,Spain,Central Midfield,25000000,Villarreal,28000000.0,premier_league_2019.csv,Premier League,,
Albian Ajeti,22,Switzerland,Centre-Forward,7000000,Basel,11300000.0,premier_league_2019.csv,Premier League,,
João Pedro,18,Brazil,Centre-Forward,20000000,Fluminense,11500000.0,premier_league_2019.csv,Premier League,,
Ignacio Pussetto,24,Argentina,Centre-Forward,8000000,Udinese,8500000.0,premier_league_2019.csv,Premier League,,
Joelinton,22,Brazil,Central Midfield,35000000,Hoffenheim,43500000.0,premier_league_2019.csv,Premier League,,
Philip Billing,23,Denmark,Central Midfield,7000000,Huddersfield,16500000.0,premier_league_2019.csv,Premier League,,
Danny Ings,26,England,Centre-Forward,15000000,Liverpool,25100000.0,premier_league_2019.csv,Premier League,,
Che Adams,22,England,Centre-Forward,7000000,Birmingham,16700000.0,premier_league_2019.csv,Premier League,,
Neal Maupay,22,France,Centre-Forward,12000000,Brentford,15560000.0,premier_league_2019.csv,Premier League,,
Oli McBurnie,23,Scotland,Centre-Forward,8000000,Swansea,19100000.0,premier_league_2019.csv,Premier League,,
Lys Mousset,23,France,Centre-Forward,3500000,Bournemouth,11100000.0,premier_league_2019.csv,Premier League,,
Callum Robinson,24,Ireland,Centre-Forward,4500000,Preston,7800000.0,premier_league_2019.csv,Premier League,,
Luke Freeman,27,England,Attacking Midfield,3500000,QPR,5600000.0,premier_league_2019.csv,Premier League,,
Wesley Moraes,22,Brazil,Centre-Forward,20000000,Club Brugge,25000000.0,premier_league_2019.csv,Premier League,,
Ally Samatta,27,Tanzania,Centre-Forward,12000000,Genk,10500000.0,premier_league_2019.csv,Premier League,,
Tanguy Ndombélé,22,France,Central Midfield,65000000,Lyon,62000000.0,premier_league_2019.csv,Premier League,,
Serhou Guirassy,23,Guinea,Centre-Forward,3500000,1.FC Köln,6000000.0,Ligue_1_2019.csv,Ligue 1,,
Victor Osimhen,20,Nigeria,Centre-Forward,13000000,Royal Charleroi SC,22400000.0,Ligue_1_2019.csv,Ligue 1,,
Renato Sanches,22,Portugal,Central Midfield,18000000,Bayern Munich,20000000.0,Ligue_1_2019.csv,Ligue 1,,
Yusuf Yazıcı,22,Turkey,Attacking Midfield,13000000,Trabzonspor,18500000.0,Ligue_1_2019.csv,Ligue 1,,
Timothy Weah,19,United States,Right Winger,6000000,Paris Saint-Germain,10000000.0,Ligue_1_2019.csv,Ligue 1,,
Jeff Reine-Adélaïde,21,France,Attacking Midfield,11000000,Angers SCO,25000000.0,Ligue_1_2019.csv,Ligue 1,,
Bruno Guimarães,22,Brazil,Central Midfield,20000000,Athletico Paranaense,20000000.0,Ligue_1_2019.csv,Ligue 1,,
Tino Kadewere,24,Zimbabwe,Centre-Forward,4000000,Le Havre AC,12000000.0,Ligue_1_2019.csv,Ligue 1,,
Jean Lucas,21,Brazil,Central Midfield,1000000,CR Flamengo,8000000.0,Ligue_1_2019.csv,Ligue 1,,
Wissam Ben Yedder,29,France,Centre-Forward,40000000,Sevilla,40000000.0,Ligue_1_2019.csv,Ligue 1,,
Gelson Martins,24,Portugal,Right Winger,28000000,Atlético Madrid,30000000.0,Ligue_1_2019.csv,Ligue 1,,
Henry Onyekuru,22,Nigeria,Left Winger,13000000,Everton,13500000.0,Ligue_1_2019.csv,Ligue 1,,
Téji Savanier,27,France,Attacking Midfield,12000000,Nîmes Olympique,9500000.0,Ligue_1_2019.csv,Ligue 1,,
Ludovic Blas,21,France,Right Winger,5000000,EA Guingamp,8000000.0,Ligue_1_2019.csv,Ligue 1,,
Kasper Dolberg,21,Denmark,Centre-Forward,18000000,Ajax,20500000.0,Ligue_1_2019.csv,Ligue 1,,
Alexis Claude-Maurice,21,France,Attacking Midfield,7500000,FC Lorient,13000000.0,Ligue_1_2019.csv,Ligue 1,,
Pablo Sarabia,27,Spain,Right Winger,40000000,Sevilla,18000000.0,Ligue_1_2019.csv,Ligue 1,,
Raphinha,22,Brazil,Left Winger,8000000,Sporting CP,21000000.0,Ligue_1_2019.csv,Ligue 1,,
M'Baye Niang,24,Senegal,Centre-Forward,12000000,Torino,15000000.0,Ligue_1_2019.csv,Ligue 1,,
Flavien Tait,26,France,Central Midfield,8000000,Angers SCO,9000000.0,Ligue_1_2019.csv,Ligue 1,,
Wesley Saïd,24,France,Centre-Forward,6000000,Dijon FCO,8000000.0,Ligue_1_2019.csv,Ligue 1,,
Rémi Oudin,23,France,Attacking Midfield,11000000,Stade Reims,10000000.0,Ligue_1_2019.csv,Ligue 1,,
Ousmane Dembélé,20,France,Centre-Forward,33000000,Dortmund,148000000.0,La_Liga_2017.csv,La Liga,,
Philippe Coutinho,25,Brazil,Attacking Midfield,90000000,Liverpool,135000000.0,La_Liga_2017.csv,La Liga,,
Paulinho,29,Brazil,Central Midfield,15000000,GZ Evergrande,40000000.0,La_Liga_2017.csv,La Liga,,
Diego Costa,29,Spain,Centre-Forward,50000000,Chelsea,60000000.0,La_Liga_2017.csv,La Liga,,
Vitolo,27,Spain,Left Winger,25000000,Sevilla FC,35600000.0,La_Liga_2017.csv,La Liga,,
Enes Ünal,20,Turkey,Centre-Forward,10000000,Man City,14000000.0,La_Liga_2017.csv,La Liga,,
Emre Mor,20,Turkey,Right Winger,5000000,Dortmund,13000000.0,La_Liga_2017.csv,La Liga,,
Pablo Fornals,21,Spain,Central Midfield,10000000,Málaga CF,12000000.0,La_Liga_2017.csv,La Liga,,
Simone Zaza,26,Italy,Centre-Forward,15000000,Juventus,16000000.0,La_Liga_2017.csv,La Liga,,
Luis Muriel,26,Colombia,Centre-Forward,17000000,Sampdoria,24500000.0,La_Liga_2017.csv,La Liga,,
Éver Banega,29,Argentina,Central Midfield,16000000,Inter,7000000.0,La_Liga_2017.csv,La Liga,,
Nolito,30,Spain,Left Winger,12000000,Man City,7000000.0,La_Liga_2017.csv,La Liga,,
Ryad Boudebouz,27,Algeria,Attacking Midfield,10000000,Montpellier,7000000.0,La_Liga_2017.csv,La Liga,,
Víctor Camarasa,23,Spain,Central Midfield,5000000,Levante,7000000.0,La_Liga_2017.csv,La Liga,,
Dani Ceballos,20,Spain,Central Midfield,10000000,Real Betis,16500000.0,La_Liga_2017.csv,La Liga,,
Leroy Sané,24,Germany,Right Winger,80000000,Manchester City,49000000.0,Bundesliga_2020.csv,Bundesliga,Bayern Munich,
Dominik Szoboszlai,20,Hungary,Attacking Midfield,25000000,Red Bull Salzburg,36000000.0,Bundesliga_2020.csv,Bundesliga,RB Leipzig,
Jude Bellingham,17,England,Attacking Midfield,11000000,Birmingham City,30150000.0,Bundesliga_2020.csv,Bundesliga,Borussia Dortmund,
Patrik Schick,24,Czech Republic,Centre-Forward,25000000,AS Roma,26500000.0,Bundesliga_2020.csv,Bundesliga,Bayer Leverkusen,
Alexander Sørloth,24,Norway,Centre-Forward,20000000,Crystal Palace,20000000.0,Bundesliga_2020.csv,Bundesliga,RB Leipzig,
Jhon Córdoba,27,Colombia,Centre-Forward,12000000,1.FC Köln,15000000.0,Bundesliga_2020.csv,Bundesliga,Hertha BSC,
Hee-chan Hwang,24,South Korea,Centre-Forward,10000000,Red Bull Salzburg,12000000.0,Bundesliga_2020.csv,Bundesliga,RB Leipzig,
Leonardo Bittencourt,26,Germany,Central Midfield,4800000,TSG Hoffenheim,7000000.0,Bundesliga_2020.csv,Bundesliga,SV Werder Bremen,
Sebastian Andersson,29,Sweden,Centre-Forward,7000000,1.FC Union Berlin,6500000.0,Bundesliga_2020.csv,Bundesliga,1.FC Köln,
Ondrej Duda,25,Slovakia,Central Midfield,7000000,Hertha BSC,7000000.0,Bundesliga_2020.csv,Bundesliga,1.FC Köln,
Bartosz Bialek,18,Poland,Centre-Forward,3000000,Zagłębie Lubin,5000000.0,Bundesliga_2020.csv,Bundesliga,VfL Wolfsburg,
Robert Lewandowski,33,Poland,Centre-Forward,45000000,Bayern Munich,45000000.0,La_Liga_2022.csv,La Liga,,
Umar Sadiq,25,Nigeria,Centre-Forward,18000000,UD Almería,20000000.0,La_Liga_2022.csv,La Liga,,
Brais Méndez,25,Spain,Attacking Midfield,18000000,Celta de Vigo,14000000.0,La_Liga_2022.csv,La Liga,,
William José,30,Brazil,Centre-Forward,12000000,Real Sociedad,10000000.0,La_Liga_2022.csv,La Liga,,
Raúl de Tomás,27,Spain,Centre-Forward,25000000,Espanyol,11000000.0,La_Liga_2022.csv,La Liga,,
